gameId,market,source_or_reason,clv
2250066,fg_over,line_moved,O9.5->9.5
2250066,fg_under,line_moved,U9.5->9.5
2250067,fg_ml_home,proxy_snapshot,0
2250067,fg_ml_away,proxy_snapshot,0
2250067,fg_over,line_moved,O8.5->8.5
2250067,fg_under,line_moved,U8.5->8.5
2250068,fg_ml_home,proxy_snapshot,0
2250068,fg_ml_away,proxy_snapshot,0
2250068,fg_over,line_moved,O8.0->8
2250068,fg_under,line_moved,U8.0->8
2250069,fg_ml_home,proxy_snapshot,0
2250069,fg_ml_away,proxy_snapshot,0
2250069,fg_over,line_moved,O9.0->9
2250069,fg_under,line_moved,U9.0->9
2250070,fg_ml_home,proxy_snapshot,0
2250070,fg_ml_away,proxy_snapshot,0
2250070,fg_over,line_moved,O7.0->7
2250070,fg_under,line_moved,U7.0->7
2250071,fg_ml_home,proxy_snapshot,0
2250071,fg_ml_away,proxy_snapshot,0
2250071,fg_over,line_moved,O7.5->7.5
2250071,fg_under,line_moved,U7.5->7.5
2250072,fg_ml_home,proxy_snapshot,0
2250072,fg_ml_away,proxy_snapshot,0
2250072,fg_over,line_moved,O8.5->8.5
2250072,fg_under,line_moved,U8.5->8.5
2250073,fg_ml_home,proxy_snapshot,0
2250073,fg_ml_away,proxy_snapshot,0
2250073,fg_over,line_moved,O7.5->7.5
2250073,fg_under,line_moved,U7.5->7.5
2250074,fg_ml_home,proxy_snapshot,0
2250074,fg_ml_away,proxy_snapshot,0
2250074,fg_over,line_moved,O7.5->7.5
2250074,fg_under,line_moved,U7.5->7.5
2250075,fg_ml_home,proxy_snapshot,0
2250075,fg_ml_away,proxy_snapshot,0
2250075,fg_over,line_moved,O7.0->7
2250075,fg_under,line_moved,U7.0->7
2250076,fg_ml_away,proxy_snapshot,0
2250076,fg_over,line_moved,O8.0->8
2250076,fg_under,line_moved,U8.0->8
2250085,fg_ml_home,proxy_snapshot,0
2250085,fg_ml_away,proxy_snapshot,0
2250085,fg_over,line_moved,O7.0->7
2250085,fg_under,line_moved,U7.0->7
2250087,fg_ml_home,proxy_snapshot,0
2250087,fg_ml_away,proxy_snapshot,0
2250087,fg_over,line_moved,O8.0->8
2250087,fg_under,line_moved,U8.0->8
2250080,fg_ml_home,proxy_snapshot,0
2250080,fg_ml_away,proxy_snapshot,0
2250080,fg_over,line_moved,O8.0->8
2250080,fg_under,line_moved,U8.0->8
2250081,fg_ml_home,proxy_snapshot,0
2250081,fg_ml_away,proxy_snapshot,0
2250081,fg_over,line_moved,O7.5->7.5
2250081,fg_under,line_moved,U7.5->7.5
2250082,fg_ml_home,proxy_snapshot,0
2250082,fg_ml_away,proxy_snapshot,0
2250082,fg_over,line_moved,O7.5->7.5
2250082,fg_under,line_moved,U7.5->7.5
2250083,fg_ml_home,proxy_snapshot,0
2250083,fg_ml_away,proxy_snapshot,0
2250083,fg_over,line_moved,O7.5->7.5
2250083,fg_under,line_moved,U7.5->7.5
2250084,fg_ml_home,proxy_snapshot,0
2250084,fg_ml_away,proxy_snapshot,0
2250084,fg_over,line_moved,O7.0->7
2250084,fg_under,line_moved,U7.0->7
2250078,fg_ml_home,proxy_snapshot,0
2250078,fg_ml_away,proxy_snapshot,0
2250078,fg_over,line_moved,O8.5->8.5
2250078,fg_under,line_moved,U8.5->8.5
2250086,fg_ml_home,proxy_snapshot,0
2250086,fg_ml_away,proxy_snapshot,0
2250086,fg_over,line_moved,O6.0->6
2250086,fg_under,line_moved,U6.0->6
2250079,fg_ml_away,proxy_snapshot,0
2250079,fg_over,line_moved,O7.5->7.5
2250079,fg_under,line_moved,U7.5->7.5
2250088,fg_ml_home,proxy_snapshot,0
2250088,fg_ml_away,proxy_snapshot,0
2250088,fg_over,line_moved,O7.0->7
2250088,fg_under,line_moved,U7.0->7
2250089,fg_ml_home,proxy_snapshot,0
2250089,fg_ml_away,proxy_snapshot,0
2250089,fg_over,line_moved,O8.0->8
2250089,fg_under,line_moved,U8.0->8
2250090,fg_ml_home,proxy_snapshot,0
2250090,fg_ml_away,proxy_snapshot,0
2250090,fg_over,line_moved,O8.0->8
2250090,fg_under,line_moved,U8.0->8
2252360,fg_ml_home,proxy_snapshot,0
2252360,fg_ml_away,proxy_snapshot,0
2252360,fg_over,line_moved,O7.5->7.5
2252360,fg_under,line_moved,U7.5->7.5
2250077,fg_ml_home,proxy_snapshot,0
2250077,fg_ml_away,proxy_snapshot,0
2250077,fg_over,line_moved,O7.5->7.5
2250077,fg_under,line_moved,U7.5->7.5
2252367,fg_ml_home,proxy_snapshot,0
2252367,fg_ml_away,proxy_snapshot,0
2252367,fg_over,line_moved,O9.0->9
2252367,fg_under,line_moved,U9.0->9
2250093,fg_ml_home,proxy_snapshot,0
2250093,fg_ml_away,proxy_snapshot,0
2250093,fg_over,line_moved,O8.0->8
2250093,fg_under,line_moved,U8.0->8
2250091,fg_ml_home,proxy_snapshot,0
2250091,fg_ml_away,proxy_snapshot,0
2250091,fg_over,line_moved,O9.5->9.5
2250091,fg_under,line_moved,U9.5->9.5
2250102,fg_ml_home,proxy_snapshot,0
2250102,fg_ml_away,proxy_snapshot,0
2250102,fg_over,line_moved,O8.5->8.5
2250102,fg_under,line_moved,U8.5->8.5
2250098,fg_ml_away,proxy_snapshot,0
2250098,fg_over,line_moved,O8.0->8
2250098,fg_under,line_moved,U8.0->8
2250099,fg_ml_home,proxy_snapshot,0
2250099,fg_ml_away,proxy_snapshot,0
2250099,fg_over,line_moved,O7.5->7.5
2250099,fg_under,line_moved,U7.5->7.5
2250100,fg_ml_home,proxy_snapshot,-0.0043
2250100,fg_ml_away,proxy_snapshot,0.0043
2250100,fg_over,line_moved,O7.5->7.5
2250100,fg_under,line_moved,U7.5->7.5
2250101,fg_ml_away,proxy_snapshot,0
2250101,fg_over,line_moved,O10.0->10
2250101,fg_under,line_moved,U10.0->10
2250097,fg_ml_home,proxy_snapshot,-0.0004
2250097,fg_ml_away,proxy_snapshot,0.0004
2250097,fg_over,line_moved,O8.5->8
2250097,fg_under,line_moved,U8.5->8
2250104,fg_ml_home,proxy_snapshot,0
2250104,fg_ml_away,proxy_snapshot,0
2250104,fg_over,line_moved,O8.0->8
2250104,fg_under,line_moved,U8.0->8
2250105,fg_ml_home,proxy_snapshot,0
2250105,fg_ml_away,proxy_snapshot,0
2250105,fg_over,line_moved,O9.5->9.5
2250105,fg_under,line_moved,U9.5->9.5
2250106,fg_ml_home,proxy_snapshot,0
2250106,fg_ml_away,proxy_snapshot,0
2250106,fg_over,line_moved,O7.5->7.5
2250106,fg_under,line_moved,U7.5->7.5
2252381,fg_ml_home,proxy_snapshot,0
2252381,fg_ml_away,proxy_snapshot,0
2252381,fg_over,line_moved,O9.0->9
2252381,fg_under,line_moved,U9.0->9
2250094,fg_ml_home,proxy_snapshot,0.0058
2250094,fg_ml_away,proxy_snapshot,-0.0058
2250094,fg_over,line_moved,O9.5->9.5
2250094,fg_under,line_moved,U9.5->9.5
2250020,fg_ml_home,proxy_snapshot,0
2250020,fg_ml_away,proxy_snapshot,0
2250039,fg_over,line_moved,O8.0->8
2250076,fg_ml_home,proxy_snapshot,0
2250079,fg_ml_home,proxy_snapshot,0
2250098,fg_ml_home,proxy_snapshot,0
2250101,fg_ml_home,proxy_snapshot,0
2250095,fg_ml_home,proxy_snapshot,-0.0057
2250095,fg_ml_away,proxy_snapshot,0.0057
2250095,fg_over,line_moved,O8.0->8
2250095,fg_under,line_moved,U8.0->8
2250096,fg_ml_home,proxy_snapshot,0.0037
2250096,fg_ml_away,proxy_snapshot,-0.0037
2250096,fg_over,line_moved,O8.0->8
2250096,fg_under,line_moved,U8.0->8
2250111,fg_ml_home,proxy_snapshot,0
2250111,fg_ml_away,proxy_snapshot,0
2250111,fg_over,line_moved,O8.5->8.5
2250111,fg_under,line_moved,U8.5->8.5
2250119,fg_ml_home,proxy_snapshot,0
2250119,fg_ml_away,proxy_snapshot,0
2250119,fg_over,line_moved,O7.5->7.5
2250119,fg_under,line_moved,U7.5->7.5
2250113,fg_ml_home,proxy_snapshot,-0.0348
2250113,fg_ml_away,proxy_snapshot,0.0348
2250113,fg_over,line_moved,O8.0->8.5
2250113,fg_under,line_moved,U8.0->8.5
2250114,fg_ml_home,proxy_snapshot,0
2250114,fg_ml_away,proxy_snapshot,0
2250114,fg_over,line_moved,O8.5->8.5
2250114,fg_under,line_moved,U8.5->8.5
2250115,fg_ml_home,proxy_snapshot,0
2250115,fg_ml_away,proxy_snapshot,0
2250115,fg_over,line_moved,O7.5->7.5
2250115,fg_under,line_moved,U7.5->7.5
2250116,fg_ml_home,proxy_snapshot,0
2250116,fg_ml_away,proxy_snapshot,0
2250116,fg_over,line_moved,O8.0->8
2250116,fg_under,line_moved,U8.0->8
2250118,fg_ml_home,proxy_snapshot,0
2250118,fg_ml_away,proxy_snapshot,0
2250118,fg_over,line_moved,O10.0->10
2250118,fg_under,line_moved,U10.0->10
2250112,fg_ml_home,proxy_snapshot,0
2250112,fg_ml_away,proxy_snapshot,0
2250112,fg_over,line_moved,O7.5->7.5
2250112,fg_under,line_moved,U7.5->7.5
2250120,fg_ml_home,proxy_snapshot,0
2250120,fg_ml_away,proxy_snapshot,0
2250120,fg_over,line_moved,O9.5->9.5
