table,column,rows,nulls,pct
mlb_hr_props,backtestRunAt,17503,11913,68.06
mlb_game_backtest,modelSide,12720,3136,24.65
mlb_game_backtest,modelProb,12720,1814,14.26
mlb_game_backtest,bookLine,12720,1014,7.97
mlb_game_backtest,bookOdds,12720,2165,17.02
mlb_game_backtest,bookNoVigProb,12720,4696,36.92
mlb_game_backtest,edge,12720,7316,57.52
mlb_game_backtest,ev,12720,7139,56.12
mlb_game_backtest,confidencePassed,12720,3076,24.18
mlb_game_backtest,correct,12720,8622,67.78
mlb_game_backtest,actualAwayScore,12720,3617,28.44
mlb_game_backtest,actualHomeScore,12720,3617,28.44
mlb_game_backtest,awayPitcher,12720,168,1.32
mlb_game_backtest,homePitcher,12720,168,1.32
mlb_game_backtest,backtestRunAt,12720,3076,24.18
mlb_game_backtest,homeTeam,12720,1954,15.36
mlb_game_backtest,awayTeam,12720,1954,15.36
mlb_game_backtest,dayNight,12720,5030,39.54
mlb_game_backtest,isDoubleheader,12720,3076,24.18
mlb_game_backtest,gameNumber,12720,3076,24.18
mlb_game_backtest,quarantineReason,12720,6092,47.89
mlb_game_backtest,bookOddsOpposite,12720,3608,28.36
mlb_game_backtest,closingOdds,12720,12720,100
mlb_game_backtest,closingOddsOpposite,12720,12720,100
mlb_game_backtest,clv,12720,12720,100
mlb_game_backtest,profitLoss,12720,8730,68.63
mlb_game_backtest,leakageSafe,12720,364,2.86
mlb_game_backtest,modelRunAt,12720,2318,18.22
mlb_game_backtest,gameTime,12720,5030,39.54
mlb_game_backtest,gameStartUtcMs,12720,9644,75.82
mlb_game_backtest,voidReason,12720,12636,99.34
mlb_game_backtest,auditVersion,12720,1954,15.36
mlb_drift_state,lastRecalibrationAt,1,1,100
mlb_calibration_constants,baselineValue,54,48,88.89
mlb_calibration_constants,previousValue,54,36,66.67
mlb_calibration_constants,ciLower,54,48,88.89
mlb_calibration_constants,ciUpper,54,48,88.89
games,awayBookSpread,1580,13,0.82
games,awayModelSpread,1580,18,1.14
games,homeBookSpread,1580,13,0.82
games,homeModelSpread,1580,18,1.14
games,bookTotal,1580,13,0.82
games,modelTotal,1580,18,1.14
games,spreadEdge,1580,862,54.56
games,spreadDiff,1580,583,36.9
games,totalEdge,1580,821,51.96
games,totalDiff,1580,645,40.82
games,conference,1580,1580,100
games,rotNums,1580,1580,100
games,ncaaContestId,1580,40,2.53
games,spreadAwayBetsPct,1580,11,0.7
games,spreadAwayMoneyPct,1580,11,0.7
games,totalOverBetsPct,1580,10,0.63
games,totalOverMoneyPct,1580,10,0.63
games,mlAwayBetsPct,1580,10,0.63
games,mlAwayMoneyPct,1580,10,0.63
games,awayML,1580,13,0.82
games,homeML,1580,13,0.82
games,awayScore,1580,62,3.92
games,homeScore,1580,62,3.92
games,gameClock,1580,63,3.99
games,modelAwayML,1580,18,1.14
games,modelHomeML,1580,18,1.14
games,modelAwayScore,1580,19,1.2
games,modelHomeScore,1580,19,1.2
games,modelOverRate,1580,19,1.2
games,modelUnderRate,1580,19,1.2
games,modelAwayWinPct,1580,19,1.2
games,modelHomeWinPct,1580,19,1.2
games,modelCoverDirection,1580,1580,100
games,modelRunAt,1580,34,2.15
games,awaySpreadOdds,1580,13,0.82
games,homeSpreadOdds,1580,13,0.82
games,overOdds,1580,13,0.82
games,underOdds,1580,13,0.82
games,openAwaySpread,1580,13,0.82
games,openAwaySpreadOdds,1580,15,0.95
games,openHomeSpread,1580,13,0.82
games,openHomeSpreadOdds,1580,15,0.95
games,openTotal,1580,13,0.82
games,openOverOdds,1580,1565,99.05
games,openUnderOdds,1580,1565,99.05
games,openAwayML,1580,13,0.82
games,openHomeML,1580,13,0.82
games,awayGoalie,1580,1580,100
games,homeGoalie,1580,1580,100
games,modelAwayPLCoverPct,1580,970,61.39
games,modelHomePLCoverPct,1580,970,61.39
games,modelAwayPuckLine,1580,1580,100
games,modelHomePuckLine,1580,1580,100
games,modelAwayPLOdds,1580,1576,99.75
games,modelHomePLOdds,1580,1576,99.75
games,modelOverOdds,1580,18,1.14
games,modelUnderOdds,1580,18,1.14
games,bracketGameId,1580,1580,100
games,bracketRound,1580,1580,100
games,bracketRegion,1580,1580,100
games,bracketSlot,1580,1580,100
games,nextBracketGameId,1580,1580,100
games,nextBracketSlot,1580,1580,100
games,modelAwaySpreadOdds,1580,18,1.14
games,modelHomeSpreadOdds,1580,18,1.14
games,mlbGamePk,1580,3,0.19
games,broadcaster,1580,11,0.7
games,awayStartingPitcher,1580,12,0.76
games,homeStartingPitcher,1580,12,0.76
games,venue,1580,3,0.19
games,awayRunLine,1580,14,0.89
games,homeRunLine,1580,14,0.89
games,awayRunLineOdds,1580,14,0.89
games,homeRunLineOdds,1580,14,0.89
games,rlAwayBetsPct,1580,11,0.7
games,rlAwayMoneyPct,1580,11,0.7
games,actualAwayScore,1580,79,5
games,actualHomeScore,1580,79,5
games,fgMlResult,1580,1580,100
games,fgRlResult,1580,1580,100
games,fgTotalResult,1580,1580,100
games,fgMlCorrect,1580,1580,100
games,fgRlCorrect,1580,1580,100
games,fgTotalCorrect,1580,1580,100
games,fgBacktestRunAt,1580,1580,100
games,f5AwayRunLine,1580,719,45.51
games,f5HomeRunLine,1580,718,45.44
