gamesId,anGameId,gameDate,matchup,seq,completed,schedStatus,fg_proj,fg_ml_book,fg_total_book,fg_rl_book,fg_actual,fg_graded_games,f5_proj,f5_total_proj,f5_book,f5_actual,f5_graded_games,nrfi_proj,nrfi_book,nrfi_actual,nrfi_graded_games,teamhr_proj,k_props,k_proj,k_line,k_actual,k_graded,hr_props,hr_proj,hr_actual,hr_graded,bt_rows,bt_settled,bt_no_action,bt_quarantined,bt_with_clv,bt_with_closing,outcomeIngested
2250093,286070,2026-04-02,NYM@SF,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250092,286068,2026-04-02,TOR@CWS,1,0,postponed,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0
2252381,286112,2026-04-03,ATL@ARI,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,18,18,18,18,15,0,1,14,0,0,0
2250102,286108,2026-04-03,BAL@PIT,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,19,19,19,19,15,0,1,14,0,0,0
2250099,286105,2026-04-03,CHC@CLE,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,19,19,19,19,15,0,1,14,0,0,0
2250098,286104,2026-04-03,CIN@TEX,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,18,18,18,18,15,0,1,14,0,0,0
2250105,286111,2026-04-03,HOU@ATH,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,18,18,18,18,15,0,1,14,0,0,0
2250094,286100,2026-04-03,LAD@WSH,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,17,17,17,17,15,0,1,14,0,0,0
2250096,286102,2026-04-03,MIA@NYY,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,18,18,18,18,15,0,1,14,0,0,0
2250103,286109,2026-04-03,MIL@KC,1,0,postponed,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,2,2,2,2,2,0,0,0,0,14,0,0,14,0,0,0
2250106,286113,2026-04-03,NYM@SF,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,18,18,18,18,15,0,1,14,0,0,0
2250101,286106,2026-04-03,PHI@COL,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,18,18,18,18,15,0,1,14,0,0,0
2250097,286103,2026-04-03,SD@BOS,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,18,18,18,18,15,0,1,14,0,0,0
2250104,286110,2026-04-03,SEA@LAA,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,18,18,18,18,15,0,1,14,0,0,0
2250095,286101,2026-04-03,STL@DET,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,18,18,18,18,15,0,1,14,0,0,0
2250100,286107,2026-04-03,TB@MIN,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,18,18,18,18,15,0,1,14,0,0,0
2252394,286129,2026-04-04,ATL@ARI,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250111,286122,2026-04-04,BAL@PIT,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,18,18,18,18,15,0,1,14,0,0,0
2250114,286126,2026-04-04,CIN@TEX,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,1,18,18,18,18,15,0,1,14,0,0,0
2250110,286121,2026-04-04,HOU@ATH,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,18,18,18,18,15,0,1,14,0,0,0
2250109,286120,2026-04-04,LAD@WSH,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,17,17,17,17,15,0,1,14,0,0,0
2250115,286125,2026-04-04,MIA@NYY,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250113,286123,2026-04-04,MIL@KC,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,23,23,23,23,15,0,1,14,0,0,0
2250119,286131,2026-04-04,NYM@SF,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250118,286130,2026-04-04,PHI@COL,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
