id,gamePk,date,month,away,home,venue,game_no,dh,start_et,local_hour,day_night,fav,fav_src,away_ml,home_ml,book_total,line_src,bucket,hand,away_sp,home_sp,actual_away,actual_home,actual_total,away_won,quarantined,live_proj_pure,live_proj_rule,live_proj_src,live_p_away,p1_proj,p1_p_away,p2_proj,p2_p_away,se_live_pure,se_live_rule,se_p1,se_p2,brier_live,brier_p1,brier_p2,hit_live,hit_p1,hit_p2
2250031,823892,2026-03-28,2026-03,COL,MIA,loanDepot park,1,N,3:10 PM ET,15.17,day,home_fav,games,159,-193,7.5,games,<8,R-R,Michael Lorenzen,Eury Pérez,3.0,4.0,7.0,0.0,1,,7.5,modelTotal(book),0.3835,8.43,0.4213,8.43,0.4213,,0.5,1.43,1.43,0.14707,0.17749,0.17749,1.0,1.0,1.0
2250032,824213,2026-03-28,2026-03,LAA,HOU,Daikin Park,1,N,6:10 PM ET,17.17,night,home_fav,games,113,-136,9.0,games,8-9,L-R,Reid Detmers,Cristian Javier,9.0,11.0,20.0,0.0,1,,9.0,modelTotal(book),0.456,8.45,0.4195,8.45,0.4195,,-11.0,-11.55,-11.55,0.20794,0.17598,0.17598,1.0,1.0,1.0
2250033,823811,2026-03-28,2026-03,CWS,MIL,American Family Field,1,N,6:10 PM ET,17.17,night,home_fav,games,163,-199,8.0,games,8-9,R-R,Sean Burke,Chad Patrick,1.0,6.0,7.0,0.0,1,,8.0,modelTotal(book),0.3836,8.63,0.3817,8.63,0.3817,,1.0,1.63,1.63,0.14715,0.14569,0.14569,1.0,1.0,1.0
2250034,824945,2026-03-28,2026-03,KC,ATL,Truist Park,1,N,6:15 PM ET,18.25,night,home_fav,games,129,-156,8.5,games,8-9,R-R,Michael Wacha,Reynaldo López,2.0,6.0,8.0,0.0,1,,8.5,modelTotal(book),0.4364,9.85,0.5188,9.85,0.5188,,0.5,1.85,1.85,0.19044,0.26915,0.26915,1.0,0.0,0.0
2250035,823241,2026-03-28,2026-03,NYY,SF,Oracle Park,1,N,6:15 PM ET,15.25,day,away_fav,games,-131,109,8.5,games,8-9,R-R,Will Warren,Tyler Mahle,3.0,1.0,4.0,1.0,1,,8.5,modelTotal(book),0.4393,8.18,0.3825,8.18,0.3825,,4.5,4.18,4.18,0.31438,0.38131,0.38131,0.0,0.0,0.0
2250036,823323,2026-03-28,2026-03,DET,SD,Petco Park,1,N,7:40 PM ET,16.67,day,home_fav,games,-108,-112,8.0,games,8-9,R-R,Jack Flaherty,Randy Vásquez,0.0,3.0,3.0,0.0,1,,8.0,modelTotal(book),0.4454,8.02,0.4356,8.02,0.4356,,5.0,5.02,5.02,0.19838,0.18975,0.18975,1.0,1.0,1.0
2250037,823161,2026-03-28,2026-03,CLE,SEA,T-Mobile Park,1,N,8:40 PM ET,17.67,night,home_fav,games,158,-193,7.0,games,<8,L-R,Joey Cantillo,Bryan Woo,6.0,5.0,11.0,1.0,1,,7.0,modelTotal(book),0.42219999999999996,6.8,0.4122,6.8,0.4122,,-4.0,-4.2,-4.2,0.33385,0.34551,0.34551,0.0,0.0,0.0
2250038,824864,2026-03-29,2026-03,MIN,BAL,Oriole Park at Camden Yards,1,N,12:35 PM ET,12.58,day,home_fav,games,135,-163,9.0,games,8-9,R-R,Bailey Ober,Shane Baz,6.0,8.0,14.0,0.0,1,,9.0,modelTotal(book),0.44020000000000004,9.55,0.4256,9.55,0.4256,,-5.0,-4.45,-4.45,0.19378,0.18114,0.18114,1.0,1.0,1.0
2250039,823487,2026-03-29,2026-03,TEX,PHI,Citizens Bank Park,1,N,12:35 PM ET,12.58,day,home_fav,games,135,-163,8.0,games,8-9,L-L,MacKenzie Gore,Jesús Luzardo,8.0,3.0,11.0,1.0,1,,8.0,modelTotal(book),0.3784,9.25,0.4149,9.25,0.4149,,-3.0,-1.75,-1.75,0.38639,0.34234,0.34234,0.0,0.0,0.0
2250040,824944,2026-03-29,2026-03,KC,ATL,Truist Park,1,N,12:35 PM ET,12.58,day,home_fav,games,126,-153,8.0,games,8-9,R-R,Seth Lugo,Grant Holmes,4.0,1.0,5.0,1.0,1,,8.0,modelTotal(book),0.39899999999999997,8.96,0.4027,8.96,0.4027,,3.0,3.96,3.96,0.3612,0.35677,0.35677,0.0,0.0,0.0
