game_id,date,month,teams,series,sub_market,pick,proj_odds_pick,proj_odds_opp,close_odds_pick,close_odds_opp,novig_proj_pick,novig_close_pick,closing_source,line_match,clv,stored_market,stored_clv,delta_vs_stored
2250008,2026-03-26,2026-03,CWS@MIL,p2,ML,HOME,-193,159,-193,159,0.630456,0.630456,proxy,1,0.000000,fg_ml_home,0.000000,0.000000
2250008,2026-03-26,2026-03,CWS@MIL,p2,RL,AWAY,130,-130,-136,113,0.434783,0.551058,proxy,1,0.116275,fg_rl_away,-0.014100,0.130375
2250008,2026-03-26,2026-03,CWS@MIL,p2,TOTAL,OVER,-112,-108,-112,-108,0.504330,0.504330,proxy,1,0.000000,fg_over,,
2250009,2026-03-26,2026-03,WSH@CHC,live,ML,HOME,-207,169,-207,169,0.644606,0.644606,proxy,1,0.000000,fg_ml_home,0.000000,0.000000
2250009,2026-03-26,2026-03,WSH@CHC,live,RL,AWAY,102,-102,-136,113,0.495050,0.551058,proxy,1,0.056008,fg_rl_away,0.046100,0.009908
2250009,2026-03-26,2026-03,WSH@CHC,live,TOTAL,OVER,-105,-115,-105,-115,0.489166,0.489166,proxy,1,0.000000,fg_over,,
2250009,2026-03-26,2026-03,WSH@CHC,p1,ML,HOME,-207,169,-207,169,0.644606,0.644606,proxy,1,0.000000,fg_ml_home,0.000000,0.000000
2250009,2026-03-26,2026-03,WSH@CHC,p1,RL,AWAY,102,-102,-136,113,0.495050,0.551058,proxy,1,0.056008,fg_rl_away,0.046100,0.009908
2250009,2026-03-26,2026-03,WSH@CHC,p1,TOTAL,OVER,-105,-115,-105,-115,0.489166,0.489166,proxy,1,0.000000,fg_over,,
2250009,2026-03-26,2026-03,WSH@CHC,p2,ML,HOME,-207,169,-207,169,0.644606,0.644606,proxy,1,0.000000,fg_ml_home,0.000000,0.000000
2250009,2026-03-26,2026-03,WSH@CHC,p2,RL,AWAY,102,-102,-136,113,0.495050,0.551058,proxy,1,0.056008,fg_rl_away,0.046100,0.009908
2250009,2026-03-26,2026-03,WSH@CHC,p2,TOTAL,OVER,-105,-115,-105,-115,0.489166,0.489166,proxy,1,0.000000,fg_over,,
