gameId,gameDate,month,mlbGamePk,awayTeam,homeTeam,venue,parkFactor3yr,roof,doubleHeader,gameNumber,startET,localHour,dayNight,aScore,hScore,totalActual,homeWin,lineOu,lineSrc,p1_pAwayMl,p1_projTotal,p1_pOver,p1_projAway,p1_projHome,p1_pAwayRl,p2_pAwayMl,p2_projTotal,p2_pOver,envMultUsed,TfgUsed,totalSdUsed
2250056,2026-03-30,2026-03,824943,ATH,ATL,Truist Park,0.9774370157800405,open,N,1,18.25,18.25,night,0,4,4.0,1,9.0,games.bookTotal,0.44790,8.830,0.43100,4.290,4.540,0.60150,0.44790,8.830,0.43100,1.0,1.0,4.5
2250057,2026-03-30,2026-03,824702,LAA,CHC,Wrigley Field,1.005140346320558,open,N,1,18.667,17.667,night,2,7,9.0,1,10.0,games.bookTotal,0.31510,10.070,0.44930,4.000,6.070,0.45650,0.31510,10.070,0.44930,1.0,1.0,4.5
2250058,2026-03-30,2026-03,823809,TB,MIL,American Family Field,0.9522189984168762,roof,N,1,18.667,17.667,night,3,2,5.0,0,8.0,games.bookTotal,0.41710,8.350,0.47410,3.880,4.460,0.57870,0.41710,8.350,0.47410,1.0,1.0,4.5
2250059,2026-03-30,2026-03,823080,NYM,STL,Busch Stadium,0.9270781176097251,open,N,1,18.75,17.75,night,4,2,6.0,0,9.0,games.bookTotal,0.42130,7.920,0.35240,3.700,4.220,0.32410,0.42130,7.920,0.35240,1.0,1.0,4.5
2250060,2026-03-30,2026-03,824214,BOS,HOU,Daikin Park,0.9911732357433639,roof,N,1,19.167,18.167,night,1,8,9.0,1,8.5,games.bookTotal,0.51860,9.380,0.52210,4.980,4.400,0.42940,0.51860,9.380,0.52210,1.0,1.0,4.5
2250061,2026-03-30,2026-03,823320,SF,SD,Petco Park,0.8944051349677884,open,N,1,20.667,17.667,night,3,2,5.0,0,8.5,games.bookTotal,0.45570,8.710,0.46550,4.270,4.440,0.36270,0.45570,8.710,0.46550,1.0,1.0,4.5
2250062,2026-03-30,2026-03,823159,NYY,SEA,T-Mobile Park,0.8411265978531404,roof,N,1,20.667,17.667,night,1,2,3.0,1,7.5,games.bookTotal,0.44260,7.360,0.42170,3.540,3.820,0.33600,0.44260,7.360,0.42170,1.0,1.0,4.5
2250063,2026-03-30,2026-03,823972,CLE,LAD,Dodger Stadium,1.0009612737608329,open,N,1,21.167,18.167,night,4,2,6.0,0,9.0,games.bookTotal,0.43270,8.970,0.44180,4.270,4.700,0.58640,0.43270,8.970,0.44180,1.0,1.0,4.5
2252334,2026-03-30,2026-03,825108,DET,ARI,Chase Field,1.0804533346607728,roof,N,1,21.167,18.167,night,6,9,15.0,1,9.0,games.bookTotal,0.41590,9.250,0.46510,4.300,4.950,0.33290,0.41590,9.250,0.46510,1.0,1.0,4.5
2250064,2026-03-31,2026-03,824861,TEX,BAL,Oriole Park at Camden Yards,1.0451331923662392,open,N,1,17.583,17.583,night,8,5,13.0,0,8.5,games.bookTotal,0.52190,9.290,0.51440,4.960,4.330,0.43110,0.52190,9.290,0.51440,1.0,1.0,4.5
2250065,2026-03-31,2026-03,824537,PIT,CIN,Great American Ball Park,0.9902854490964874,open,N,1,17.667,17.667,night,8,3,11.0,0,9.0,games.bookTotal,0.47630,7.950,0.35390,4.010,3.940,0.37410,0.47630,7.950,0.35390,1.0,1.0,4.5
