gameId,gameDate,month,pAwayMl,pOver,pAwayRl,projAwayScore,projHomeScore,projTotal,additivity_abs_diff,core_violations,supp_violations
2250090,2026-04-01,2026-04,0.36620,0.46850,0.53050,3.570,4.720,8.290,0.000000,,
2250091,2026-04-02,2026-04,0.40030,0.35780,0.55950,3.850,4.650,8.500,0.000000,,
2250092,2026-04-03,2026-04,0.45830,0.44210,0.61530,4.150,4.290,8.430,0.010000,,
2250093,2026-04-02,2026-04,0.42540,0.44100,0.32890,3.760,4.230,7.990,0.000000,,
2250094,2026-04-03,2026-04,0.54810,0.45720,0.46230,5.350,4.350,9.700,0.000000,,
2250095,2026-04-03,2026-04,0.41950,0.46880,0.58190,3.870,4.420,8.290,0.000000,,
2250096,2026-04-03,2026-04,0.45640,0.49840,0.61140,4.230,4.390,8.620,0.000000,,
2250097,2026-04-03,2026-04,0.44600,0.41390,0.60780,3.930,4.190,8.120,0.000000,,
2250098,2026-04-03,2026-04,0.48160,0.44210,0.64130,4.060,3.940,8.000,0.000000,,
2250099,2026-04-03,2026-04,0.46810,0.44140,0.36150,3.780,3.790,7.570,0.000000,,
2250100,2026-04-03,2026-04,0.45160,0.58700,0.36500,4.510,4.730,9.230,0.010000,,
2250101,2026-04-03,2026-04,0.42540,0.58340,0.35940,5.630,6.320,11.950,0.000000,,
2250102,2026-04-03,2026-04,0.48650,0.46510,0.39180,4.450,4.250,8.700,0.000000,,
2250103,2026-04-04,2026-04,0.50820,0.39480,0.40830,4.410,3.990,8.400,0.000000,,
2250104,2026-04-03,2026-04,0.48470,0.43000,0.38040,4.020,3.860,7.870,0.010000,,
2250105,2026-04-03,2026-04,0.44070,0.52810,0.36520,5.110,5.530,10.640,0.000000,,
2250106,2026-04-03,2026-04,0.44290,0.43510,0.33820,3.610,3.880,7.490,0.000000,,
2250107,2026-04-04,2026-04,0.40830,0.52130,0.56820,3.890,4.580,8.460,0.010000,,
2250108,2026-04-04,2026-04,0.49830,0.39680,0.39400,4.120,3.810,7.930,0.000000,,
2250109,2026-04-04,2026-04,0.55410,0.49830,0.47240,5.670,4.570,10.240,0.000000,,
2250110,2026-04-04,2026-04,0.42970,0.49750,0.35410,5.060,5.630,10.690,0.000000,,
2250111,2026-04-04,2026-04,0.42460,0.53380,0.34310,4.490,5.040,9.530,0.000000,,
2250112,2026-04-04,2026-04,0.38180,0.45740,0.55260,3.410,4.330,7.740,0.000000,,
2250113,2026-04-04,2026-04,0.36180,0.42370,0.27150,3.330,4.470,7.800,0.000000,,
2250114,2026-04-04,2026-04,0.46770,0.41430,0.62730,4.050,4.080,8.120,0.010000,,
2250115,2026-04-04,2026-04,0.37440,0.58590,0.52830,4.040,5.190,9.230,0.000000,,
2250116,2026-04-04,2026-04,0.52990,0.52600,0.43510,4.830,4.130,8.960,0.000000,,
2250117,2026-04-05,2026-04,0.49190,0.44860,0.38250,3.930,3.710,7.640,0.000000,,
2250118,2026-04-04,2026-04,0.44010,0.47280,0.36150,4.970,5.390,10.360,0.000000,,
2250119,2026-04-04,2026-04,0.45760,0.53140,0.36420,4.210,4.340,8.550,0.000000,,
2250120,2026-04-04,2026-04,0.50530,0.45390,0.42050,5.070,4.620,9.690,0.000000,,
2250121,2026-04-05,2026-04,0.43400,0.54720,0.35840,4.920,5.390,10.300,0.010000,,
2250122,2026-04-05,2026-04,0.41100,0.52530,0.32570,4.130,4.820,8.950,0.000000,,
2250123,2026-04-05,2026-04,0.37210,0.39110,0.53510,3.640,4.730,8.370,0.000000,,
2250124,2026-04-05,2026-04,0.31780,0.31900,0.50060,2.800,4.310,7.110,0.000000,,
2250125,2026-04-05,2026-04,0.44110,0.46080,0.33940,3.730,4.030,7.760,0.000000,,
2250126,2026-04-05,2026-04,0.43540,0.53000,0.34660,4.300,4.710,9.010,0.000000,,
2250127,2026-04-05,2026-04,0.49150,0.43450,0.38690,4.070,3.840,7.910,0.000000,,
2250128,2026-04-05,2026-04,0.39250,0.51020,0.30390,3.740,4.580,8.320,0.000000,,
2250129,2026-04-05,2026-04,0.42560,0.45310,0.59430,3.610,4.070,7.680,0.000000,,
