gameId,gameDate,matchup,mlbGamePk,actualAway,actualHome,schedScore,linescoreScore,bookTotal,awayRunLine,modelAwayWinPct,modelOverRate,modelAwayScore,modelHomeScore,stored_fgMlResult,derived_fgMlResult,fgMl_status,stored_fgMlCorrect,derived_fgMlCorrect,stored_fgRlResult,derived_fgRlResult,fgRl_status,stored_fgRlCorrect,derived_fgRlCorrect,stored_fgTotalResult,derived_fgTotalResult,fgTotal_status,stored_fgTotalCorrect,derived_fgTotalCorrect,stored_brierFgMl,derived_brierFgMl_away,derived_brierFgMl_home,brierFgMl_status,stored_brierFgTotal,derived_brierFgTotal,brierFgTotal_status
2250041,2026-03-29,ATH@TOR 2026-03-29,822837,2,5,2-5,2-5,9,1.5,47.62,51.03,4.76,5.05,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,UNDER,UNDER,match,0,0,0.226766,0.226766,0.226766,match-away-base,0.260406,0.260406,match
2250042,2026-03-29,BOS@CIN 2026-03-29,824538,2,3,2-3,2-3,8.5,-1.5,51.65,42.11,4.19,4.01,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,UNDER,UNDER,match,1,1,0.266772,0.266772,0.266772,match-away-base,0.177325,0.177325,match
2250043,2026-03-29,PIT@NYM 2026-03-29,823647,4,3,4-3,4-3,7.5,1.5,38.1,52.21,3.56,4.9,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,UNDER,UNDER,match,0,0,0.383161,0.383161,0.383161,match-away-base,0.272588,0.272588,match
2250044,2026-03-29,COL@MIA 2026-03-29,823891,3,4,3-4,3-4,8,1.5,48.7,50.05,4.25,4.4,WIN,WIN,match,1,1,WIN,WIN,match,1,1,UNDER,UNDER,match,0,0,0.237169,0.237169,0.237169,match-away-base,0.2505,0.2505,match
2250045,2026-03-29,LAA@HOU 2026-03-29,824215,7,9,7-9,7-9,9,1.5,36.75,52.17,4.14,5.85,WIN,WIN,match,1,1,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.135056,0.135056,0.135056,match-away-base,0.228771,0.228771,match
2250046,2026-03-29,CWS@MIL 2026-03-29,823810,7,9,7-9,7-9,7.5,1.5,37.77,62.91,4.12,5.68,WIN,WIN,match,1,1,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.142657,0.142657,0.142657,match-away-base,0.137567,0.137567,match
2250047,2026-03-29,TB@STL 2026-03-29,823079,11,7,11-7,11-7,7.5,-1.5,53.6,57.88,4.78,4.35,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,OVER,OVER,match,1,1,0.215296,0.215296,0.215296,match-away-base,0.177409,0.177409,match
2250048,2026-03-29,WSH@CHC 2026-03-29,824700,6,3,6-3,6-3,9,1.5,36.06,43.6,3.63,5.27,LOSS,LOSS,match,0,0,LOSS,LOSS,match,0,0,PUSH,PUSH,match,,,0.408832,0.408832,0.408832,match-away-base,,,both-null
2250049,2026-03-29,CLE@SEA 2026-03-29,823160,0,8,0-8,0-8,7.5,1.5,45.51,50.05,3.85,4.35,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,OVER,OVER,match,1,1,0.207116,0.207116,0.207116,match-away-base,0.2495,0.2495,match
2250050,2026-03-30,MIN@KC 2026-03-30,824135,1,3,1-3,1-3,10,1.5,47.49,24.41,3.62,3.9,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,UNDER,UNDER,match,1,1,0.22553,0.22553,0.22553,match-away-base,0.059585,0.059585,match
2250051,2026-03-30,TEX@BAL 2026-03-30,824863,5,2,5-2,5-2,9,1.5,46.94,42.83,4.22,4.59,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,UNDER,UNDER,match,1,1,0.281536,0.281536,0.281536,match-away-base,0.183441,0.183441,match
2250052,2026-03-30,PIT@CIN 2026-03-30,824539,0,2,0-2,0-2,8.5,1.5,45.51,42.35,3.86,4.36,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,UNDER,UNDER,match,1,1,0.207116,0.207116,0.207116,match-away-base,0.179352,0.179352,match
2250053,2026-03-30,WSH@PHI 2026-03-30,823484,13,2,13-2,13-2,9,1.5,45.29,57.82,5.04,5.67,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.299318,0.299318,0.299318,match-away-base,0.177915,0.177915,match
2250054,2026-03-30,CWS@MIA 2026-03-30,823890,9,4,9-4,9-4,8,1.5,46.36,51.74,4.22,4.64,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.287725,0.287725,0.287725,match-away-base,0.232903,0.232903,match
2250055,2026-03-30,COL@TOR 2026-03-30,822834,14,5,14-5,14-5,8,1.5,38.13,64.54,4.49,6.09,LOSS,LOSS,match,0,0,LOSS,LOSS,match,0,0,OVER,OVER,match,1,1,0.38279,0.38279,0.38279,match-away-base,0.125741,0.125741,match
2250056,2026-03-30,ATH@ATL 2026-03-30,824943,0,4,0-4,0-4,9,1.5,47.17,42.71,4.23,4.55,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,UNDER,UNDER,match,1,1,0.222501,0.222501,0.222501,match-away-base,0.182414,0.182414,match
