dim,slice,n_games,live_pure_n,live_pure_bias,live_pure_ci_lo,live_pure_ci_hi,live_pure_mae,live_pure_mean_proj,live_pure_mean_actual,live_pure_flag_bias,live_pure_flag_bias_centered,live_rule_n,live_rule_bias,live_rule_ci_lo,live_rule_ci_hi,live_rule_mae,live_rule_mean_proj,live_rule_mean_actual,live_rule_flag_bias,live_rule_flag_bias_centered,p1_n,p1_bias,p1_ci_lo,p1_ci_hi,p1_mae,p1_mean_proj,p1_mean_actual,p1_flag_bias,p1_flag_bias_centered,p2_n,p2_bias,p2_ci_lo,p2_ci_hi,p2_mae,p2_mean_proj,p2_mean_actual,p2_flag_bias,p2_flag_bias_centered,live_ml_n,live_brier,live_hit,live_mean_p_away,live_actual_away_rate,live_brier_dev,live_flag_brier,p1_ml_n,p1_brier,p1_hit,p1_mean_p_away,p1_actual_away_rate,p1_brier_dev,p1_flag_brier,p2_ml_n,p2_brier,p2_hit,p2_mean_p_away,p2_actual_away_rate,p2_brier_dev,p2_flag_brier
team,PHI,104,63,0.0302,-1.1572,1.2175,3.8638,8.6016,8.5714,0,0,103,-0.1903,-1.0579,0.6773,3.5623,8.5379,8.7282,0,0,104,0.3377,-0.5384,1.2138,3.67,9.1069,8.7692,0,0,104,0.5248,-0.3552,1.4048,3.7295,9.2941,8.7692,0,0,103,0.2409,0.5825,0.4502,0.5243,-0.0063,0,104,0.2336,0.6154,0.4406,0.5288,-0.0135,1,104,0.2347,0.6154,0.456,0.5288,-0.0124,1
team,PIT,104,63,-1.4413,-2.6511,-0.2315,4.1089,9.019,10.4603,1,0,102,-1.4637,-2.4563,-0.4711,4.1114,8.6147,10.0784,1,0,104,-1.1278,-2.1077,-0.1479,4.0897,8.8722,10.0,1,0,104,-0.9432,-1.9231,0.0368,4.0817,9.0568,10.0,0,0,102,0.2599,0.4804,0.449,0.4902,0.0127,1,104,0.2581,0.5385,0.4373,0.4904,0.011,1,104,0.2573,0.5385,0.454,0.4904,0.0102,1
team,SD,104,64,-0.5198,-1.6969,0.6572,3.628,8.0895,8.6094,0,0,102,-0.4095,-1.2739,0.4549,3.4577,8.2572,8.6667,0,0,104,-0.1059,-0.9708,0.759,3.4716,8.4326,8.5385,0,0,104,0.0702,-0.798,0.9384,3.5157,8.6086,8.5385,0,0,102,0.2416,0.5686,0.4413,0.451,-0.0056,0,104,0.2447,0.5577,0.4359,0.4615,-0.0024,0,104,0.2466,0.5577,0.4536,0.4615,-0.0005,0
team,SEA,104,63,0.2194,-0.5547,0.9934,2.5206,7.9971,7.7778,0,0,104,0.0079,-0.7179,0.7336,2.9212,7.9117,7.9038,0,0,104,-0.0333,-0.7658,0.6992,2.951,7.8706,7.9038,0,0,104,0.1324,-0.6039,0.8688,2.9826,8.0363,7.9038,0,0,104,0.2491,0.5243,0.4537,0.4231,0.0019,0,104,0.2431,0.5481,0.4419,0.4231,-0.004,0,104,0.2424,0.5481,0.457,0.4231,-0.0047,0
team,SF,103,63,-0.9887,-2.1634,0.186,3.4221,8.5827,9.5714,0,0,103,-0.5271,-1.3946,0.3404,3.3455,8.3176,8.8447,0,0,103,0.0468,-0.8033,0.8969,3.3674,8.8915,8.8447,0,0,103,0.2374,-0.6091,1.0838,3.4128,9.082,8.8447,0,0,102,0.2523,0.5686,0.4512,0.4314,0.0051,0,103,0.2452,0.5728,0.4449,0.4369,-0.0019,0,103,0.2448,0.5728,0.4611,0.4369,-0.0023,0
team,STL,103,62,-0.19,-1.3171,0.9371,3.461,8.5519,8.7419,0,0,101,-0.5523,-1.4528,0.3483,3.5602,8.4279,8.9802,0,0,103,-0.2868,-1.1555,0.5819,3.4918,8.6258,8.9126,0,0,103,-0.108,-0.9846,0.7686,3.5656,8.8046,8.9126,0,0,101,0.2489,0.55,0.4582,0.5149,0.0017,0,103,0.2517,0.5437,0.4418,0.5243,0.0046,0,103,0.2527,0.5437,0.4582,0.5243,0.0056,0
team,TB,103,64,-0.733,-1.887,0.4211,3.6733,8.3295,9.0625,0,0,102,-0.5677,-1.4463,0.3108,3.4911,8.1577,8.7255,0,0,103,-0.4074,-1.2721,0.4573,3.5169,8.3499,8.7573,0,0,103,-0.2326,-1.0993,0.6342,3.5527,8.5247,8.7573,0,0,102,0.2309,0.6961,0.4476,0.3725,-0.0163,1,103,0.2351,0.6214,0.4352,0.3786,-0.012,1,103,0.2398,0.6214,0.4554,0.3786,-0.0073,0
team,TEX,103,63,-1.6952,-2.6206,-0.7699,3.3403,7.7016,9.3968,1,1,101,-0.8248,-1.5551,-0.0944,3.0786,7.8485,8.6733,1,0,103,-0.4069,-1.0742,0.2604,2.7985,8.263,8.6699,0,0,103,-0.2329,-0.8991,0.4333,2.7897,8.437,8.6699,0,0,101,0.2482,0.5347,0.4499,0.495,0.001,0,103,0.2453,0.5728,0.4398,0.4854,-0.0018,0,103,0.2444,0.5728,0.4573,0.4854,-0.0027,0
team,TOR,104,64,-0.2497,-1.3025,0.8032,3.5322,8.2034,8.4531,0,0,103,-0.3348,-1.1646,0.4951,3.4812,8.1313,8.466,0,0,104,0.1101,-0.7219,0.9421,3.5576,8.5813,8.4712,0,0,104,0.2907,-0.5441,1.1255,3.5762,8.7618,8.4712,0,0,103,0.2554,0.5243,0.4559,0.4951,0.0082,0,104,0.2508,0.5192,0.4413,0.4904,0.0037,0,104,0.2485,0.5192,0.4579,0.4904,0.0014,0
team,WSH,104,63,-0.7092,-1.9766,0.5582,3.8565,9.8622,10.5714,0,0,103,-1.3561,-2.3301,-0.3821,4.0676,9.3332,10.6893,1,0,104,-0.9987,-1.9431,-0.0542,3.876,9.7033,10.7019,1,0,104,-0.7978,-1.7453,0.1497,3.8675,9.9042,10.7019,0,0,103,0.2585,0.4757,0.4463,0.6214,0.0113,1,104,0.2588,0.4904,0.4431,0.6154,0.0117,1,104,0.2565,0.4904,0.4582,0.6154,0.0094,0
