game_id,mlb_game_pk,date,month,teams,game_no,series,sub_market,pick,prob,line,proj_value,actual,correct,brier,logloss,signed_error,abs_error,fav,day_night,allstar,leakage_quarantine,closing_source,score_source,note
2250012,824218,2026-03-26,2026-03,LAA@HOU,1,p1,RL,AWAY,0.52340,+1.5,-1.23,AWAY,1,0.227148,0.647409,-4.23,4.23,home_fav,day,0,0,proxy,games,
2250012,824218,2026-03-26,2026-03,LAA@HOU,1,p1,TOTAL,UNDER,0.46930,8,8.30,UNDER,1,0.220242,0.633558,5.30,5.30,home_fav,day,0,0,proxy,games,
2250012,824218,2026-03-26,2026-03,LAA@HOU,1,p2,ML,HOME,0.35920,149,,AWAY,0,0.410625,1.023876,,,home_fav,day,0,0,proxy,games,
2250012,824218,2026-03-26,2026-03,LAA@HOU,1,p2,RL,AWAY,0.52340,+1.5,-1.23,AWAY,1,0.227148,0.647409,-4.23,4.23,home_fav,day,0,0,proxy,games,
2250012,824218,2026-03-26,2026-03,LAA@HOU,1,p2,TOTAL,UNDER,0.46930,8,8.30,UNDER,1,0.220242,0.633558,5.30,5.30,home_fav,day,0,0,proxy,games,
2250013,823325,2026-03-26,2026-03,DET@SD,1,live,ML,HOME,0.48200,-126,,AWAY,0,0.268324,0.729811,,,away_fav,day,0,1,proxy,games,
2250013,823325,2026-03-26,2026-03,DET@SD,1,live,RL,HOME,,-1.5,-0.18,AWAY,0,,,-6.18,6.18,away_fav,day,0,1,proxy,games,
2250013,823325,2026-03-26,2026-03,DET@SD,1,live,TOTAL,UNDER,0.45400,7,7.00,OVER,0,0.298116,0.789658,-3.00,3.00,away_fav,day,0,1,proxy,games,
2250013,823325,2026-03-26,2026-03,DET@SD,1,p1,ML,HOME,0.46900,-126,,AWAY,0,0.281961,0.757153,,,away_fav,day,0,0,proxy,games,
2250013,823325,2026-03-26,2026-03,DET@SD,1,p1,RL,HOME,0.35000,-1.5,-0.02,AWAY,0,0.422500,1.049822,-6.02,6.02,away_fav,day,0,0,proxy,games,
2250013,823325,2026-03-26,2026-03,DET@SD,1,p1,TOTAL,UNDER,0.41710,7,6.76,OVER,0,0.339772,0.874429,-3.24,3.24,away_fav,day,0,0,proxy,games,
2250013,823325,2026-03-26,2026-03,DET@SD,1,p2,ML,HOME,0.46900,-126,,AWAY,0,0.281961,0.757153,,,away_fav,day,0,0,proxy,games,
2250013,823325,2026-03-26,2026-03,DET@SD,1,p2,RL,HOME,0.35000,-1.5,-0.02,AWAY,0,0.422500,1.049822,-6.02,6.02,away_fav,day,0,0,proxy,games,
2250013,823325,2026-03-26,2026-03,DET@SD,1,p2,TOTAL,UNDER,0.41710,7,6.76,OVER,0,0.339772,0.874429,-3.24,3.24,away_fav,day,0,0,proxy,games,
2250014,823081,2026-03-26,2026-03,TB@STL,1,live,ML,HOME,0.49080,-131,,HOME,1,0.240885,0.674914,,,away_fav,day,0,1,proxy,games,
2250014,823081,2026-03-26,2026-03,TB@STL,1,live,RL,HOME,,-1.5,-0.10,HOME,1,,,1.90,1.90,away_fav,day,0,1,proxy,games,
2250014,823081,2026-03-26,2026-03,TB@STL,1,live,TOTAL,OVER,0.50720,8,8.00,OVER,1,0.242852,0.678850,-8.00,8.00,away_fav,day,0,1,proxy,games,
2250014,823081,2026-03-26,2026-03,TB@STL,1,p1,ML,HOME,0.46670,-131,,HOME,1,0.217809,0.628671,,,away_fav,day,0,0,proxy,games,
