id,gamePk,date,away,home,venue,day_night,fav,bucket,hand,book_total,away_sp,home_sp,actual_away,actual_home,actual_total,quarantined,live_proj_rule,live_proj_src,se_live_rule,p1_proj,se_p1,p2_proj,se_p2
2250839,822974,2026-06-01,DET,TB,Tropicana Field,night,home_fav,8-9,R-R,8.0,Jack Flaherty,Steven Matz,10.0,9.0,19.0,0,7.56,modelProjTotal,-11.44,8.78,-10.22,8.916,-10.084
2251259,824902,2026-07-05,NYM,ATL,Truist Park,day,away_fav,8-9,R-L,8.5,Nolan McLean,Martin Perez,10.0,9.0,19.0,1,7.61,modelProjTotal,-11.39,8.4,-10.6,8.619,-10.381
2250776,823949,2026-05-26,COL,LAD,Dodger Stadium,night,home_fav,8-9,L-L,9.0,Tomoyuki Sugano,Shohei Ohtani,6.0,15.0,21.0,0,9.74,modelProjTotal,-11.26,10.78,-10.22,11.272,-9.728
2250686,824033,2026-05-19,ATH,LAA,Angel Stadium,night,home_fav,8-9,L-L,9.0,Jacob Lopez,Reid Detmers,14.0,6.0,20.0,0,8.8,modelProjTotal,-11.2,9.28,-10.72,9.704,-10.296
2250620,823384,2026-05-15,PHI,PIT,PNC Park,night,home_fav,8-9,R-R,8.0,Aaron Nola,Braxton Ashcraft,11.0,9.0,20.0,0,8.84,modelProjTotal,-11.16,9.38,-10.62,9.808,-10.192
2250007,823649,2026-03-26,PIT,NYM,Citi Field,day,home_fav,<8,R-R,7.0,Paul Skenes,Freddy Peralta,7.0,11.0,18.0,1,7.0,modelTotal(book),-11.0,7.9,-10.1,7.9,-10.1
2250032,824213,2026-03-28,LAA,HOU,Daikin Park,night,home_fav,8-9,L-R,9.0,Reid Detmers,Cristian Javier,9.0,11.0,20.0,1,9.0,modelTotal(book),-11.0,8.45,-11.55,8.45,-11.55
2250055,822834,2026-03-30,COL,TOR,Rogers Centre,night,home_fav,8-9,UNK,8.0,Tomoyuki Sugano,Cody Ponce,14.0,5.0,19.0,1,8.0,modelTotal(book),-11.0,9.66,-9.34,9.66,-9.34
2250815,823375,2026-05-30,MIN,PIT,PNC Park,day,home_fav,8-9,R-R,8.5,Zebby Matthews,Braxton Ashcraft,9.0,10.0,19.0,0,8.15,modelProjTotal,-10.85,8.58,-10.42,8.972,-10.028
2251348,823358,2026-07-12,MIL,PIT,PNC Park,day,home_fav,8-9,L-R,8.5,Robert Gasser,Paul Skenes,5.0,14.0,19.0,0,8.45,modelProjTotal,-10.55,8.81,-10.19,9.04,-9.96
2250047,823079,2026-03-29,TB,STL,Busch Stadium,day,away_fav,<8,L-R,7.5,Steven Matz,Dustin May,11.0,7.0,18.0,1,7.5,modelTotal(book),-10.5,8.1,-9.9,8.1,-9.9
2250262,824289,2026-04-16,KC,DET,Comerica Park,day,away_fav,8-9,L-R,8.5,Kris Bubic,Keider Montero,9.0,10.0,19.0,1,8.5,modelTotal(book),-10.5,6.52,-12.48,6.52,-12.48
2250323,822995,2026-04-21,CIN,TB,Tropicana Field,night,pickem,<8,R-L,7.5,Chase Burns,Steven Matz,12.0,6.0,18.0,0,7.5,modelTotal(book),-10.5,8.13,-9.87,8.13,-9.87
2250356,823639,2026-04-23,MIN,NYM,Citi Field,night,home_fav,<8,R-R,7.5,Joe Ryan,Christian Scott,8.0,10.0,18.0,0,7.5,modelTotal(book),-10.5,8.36,-9.64,8.36,-9.64
2251250,824171,2026-07-04,TB,HOU,Daikin Park,night,home_fav,<8,R-R,7.0,Drew Rasmussen,Hunter Brown,8.0,10.0,18.0,0,7.62,modelProjTotal,-10.38,7.54,-10.46,7.737,-10.263
2251055,824663,2026-06-19,TOR,CHC,Wrigley Field,day,home_fav,<8,R-R,7.0,Kevin Gausman,Ben Brown,2.0,16.0,18.0,1,7.65,modelProjTotal,-10.35,7.84,-10.16,7.962,-10.038
2251168,823283,2026-06-27,LAD,SD,Petco Park,night,away_fav,8-9,R-L,8.0,Y. Yamamoto,Randy Vasquez,15.0,3.0,18.0,0,7.76,modelProjTotal,-10.24,7.26,-10.74,7.373,-10.627
2250843,823781,2026-06-01,SF,MIL,American Family Field,night,home_fav,<8,R-L,7.5,Trevor McDonald,Kyle Harrison,2.0,16.0,18.0,0,7.8,modelProjTotal,-10.2,7.9,-10.1,8.023,-9.977
2252367,825105,2026-04-02,ATL,ARI,Chase Field,night,away_fav,8-9,R-R,9.0,Reynaldo López,Ryne Nelson,17.0,2.0,19.0,1,9.0,modelTotal(book),-10.0,10.61,-8.39,10.61,-8.39
2253806,825055,2026-07-22,ATH,ARI,Chase Field,day,home_fav,8-9,L-R,8.5,Gage Jump,Merrill Kelly,5.0,15.0,20.0,0,10.1,modelProjTotal,-9.9,10.47,-9.53,10.744,-9.256
