state,market,fold,n,logloss,logloss_raw,brier,auc,ece,cal_slope,cal_intercept,sharpness,head,mc_se_mean,crps,mae,bias,calib_shift,bias_post_shift,cov50,cov90,tail_pred,tail_obs,var_pred,var_obs
B,fg_rl,2025,2425,0.6425464768036537,0.6460270310113648,0.22536105863769437,0.5731803023566029,0.02437947707798293,0.9041407485448366,-0.01341798487238779,0.07073584634677804,platt_calib,0.0007752264574550187,,,,,,,,,,,
B,fg_rl,2026,1595,0.6456948233293269,0.6506806295586984,0.22708766278369982,0.5638287517545927,0.019935978731864736,0.8876338560829041,-0.053255345996647205,0.0650900385718293,platt_calib,0.0007758162837800135,,,,,,,,,,,
B,fg_total,2021,2304,,,,,,,,,,,2.4547360516907304,3.5372704926215275,0.41965032508680555,-0.4857208866242039,-0.0660705615373984,0.5772569444444444,0.9340277777777778,0.3772775776909722,0.3506944444444444,21.38467099410818,20.344480726453995
B,fg_total,2022,2421,,,,,,,,,,,2.407969253277174,3.4995217761255675,0.6896259256505577,-0.34344908550347225,0.3461768401470853,0.5621643948781495,0.9285419248244527,0.3506328401486989,0.29120198265179675,20.299367775583335,19.31843717055825
B,fg_total,2023,2427,,,,,,,,,,,2.5267078862983157,3.625060972805933,0.05365947795632476,-0.6382670016522098,-0.5846075236958851,0.5591264936135146,0.9134734239802225,0.3533712715286362,0.35640708693860734,20.416325365603715,20.980993082050254
B,fg_total,2024,2425,,,,,,,,,,,2.3746595912714725,3.4207855410309276,0.36989934226804133,0.029033979810465484,0.39893332207850707,0.5756701030927835,0.9356701030927835,0.3421839278350515,0.3150515463917526,20.01996352731402,18.587300499521735
B,fg_total,2025,2425,,,,,,,,,,,2.5076399464154786,3.631120680824742,0.3673997851546393,-0.4817829187628867,-0.11438313360824783,0.5534020618556701,0.9183505154639175,0.3513124305154639,0.32783505154639175,20.41998985377045,21.122905133382933
B,fg_total,2026,1595,,,,,,,,,,,2.4933480124249865,3.596245685893417,0.20614201065830728,-0.33514125896907226,-0.1289992483107648,0.5542319749216301,0.9253918495297806,0.34835700250783697,0.3341692789968652,20.26245699072817,20.731063570523087
B,f5_ml,2021,2070,0.6709775491484241,0.6733236152033322,0.2391019905013044,0.6196543209876543,0.03201637655671308,1.456344507686778,-0.14357387443489836,0.06985176594152381,platt_calib,0.0007643424247432105,,,,,,,,,,,
B,f5_ml,2022,1994,0.6670344450787467,0.6682982975895657,0.23702598012822554,0.6316254283066893,0.024032839896911372,1.1768452658231752,-0.05820502474552496,0.09377679077391243,platt_calib,0.0007676836003454364,,,,,,,,,,,
B,f5_ml,2023,2062,0.6779678194322016,0.683024181122697,0.2425262000864703,0.5957926314448915,0.020336990821524566,0.7919351650669855,0.010729884413713609,0.10563650310936576,platt_calib,0.0007693817350788424,,,,,,,,,,,
