game_id,date,teams,game_no,market,sub_market,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,correct,signed_error,abs_error,brier,logloss,fav,day_night,completed,notes,stored_correct
2253480,2026-06-24,ARI@STL,1,NRFI,NRFI,,0.4600,YRFI,,,NRFI,0,,,0.291600,0.776529,away_fav,night,1,,
2251135,2026-06-25,KC@TB,1,NRFI,NRFI,,0.5600,NRFI,,,YRFI,0,,,0.313600,0.820981,home_fav,day,1,,
2251136,2026-06-25,SEA@PIT,1,NRFI,NRFI,,0.5600,NRFI,,,YRFI,0,,,0.313600,0.820981,away_fav,day,1,,
2251137,2026-06-25,ATH@SF,1,NRFI,NRFI,,0.4500,YRFI,,,NRFI,0,,,0.302500,0.798508,home_fav,day,1,,
2251138,2026-06-25,HOU@DET,1,NRFI,NRFI,,0.5900,NRFI,,,NRFI,1,,,0.168100,0.527633,home_fav,night,1,,
2251139,2026-06-25,PHI@WSH,1,NRFI,NRFI,,0.4400,YRFI,,,YRFI,1,,,0.193600,0.579818,away_fav,night,1,,
2251140,2026-06-25,TEX@TOR,1,NRFI,NRFI,,0.4800,YRFI,,,YRFI,1,,,0.230400,0.653926,home_fav,night,1,,
2251141,2026-06-25,CHC@NYM,1,NRFI,NRFI,,0.4800,YRFI,,,NRFI,0,,,0.270400,0.733969,away_fav,night,1,,
2251142,2026-06-25,NYY@BOS,1,NRFI,NRFI,,0.5300,NRFI,,,YRFI,0,,,0.280900,0.755023,away_fav,night,1,,
2251143,2026-06-26,HOU@DET,1,NRFI,NRFI,,0.5100,NRFI,,,NRFI,1,,,0.240100,0.673345,away_fav,night,1,,
2251144,2026-06-26,CIN@PIT,1,NRFI,NRFI,,0.5200,NRFI,,,YRFI,0,,,0.270400,0.733969,home_fav,night,1,,
2251145,2026-06-26,WSH@BAL,1,NRFI,NRFI,,0.5200,NRFI,,,NRFI,1,,,0.230400,0.653926,home_fav,night,1,,
2251146,2026-06-26,TEX@TOR,1,NRFI,NRFI,,0.4700,YRFI,,,YRFI,1,,,0.220900,0.634878,away_fav,night,1,,
2251147,2026-06-26,SEA@CLE,1,NRFI,NRFI,,0.4400,YRFI,,,YRFI,1,,,0.193600,0.579818,away_fav,night,1,,
2251148,2026-06-26,PHI@NYM,1,NRFI,NRFI,,0.4900,YRFI,,,YRFI,1,,,0.240100,0.673345,away_fav,night,1,,
2251149,2026-06-26,NYY@BOS,1,NRFI,NRFI,,0.5100,NRFI,,,YRFI,0,,,0.260100,0.713350,home_fav,night,1,,
2251150,2026-06-26,KC@CWS,1,NRFI,NRFI,,0.4600,YRFI,,,NRFI,0,,,0.291600,0.776529,home_fav,night,1,,
2251151,2026-06-26,CHC@MIL,1,NRFI,NRFI,,0.4500,YRFI,,,NRFI,0,,,0.302500,0.798508,home_fav,night,1,,
2251152,2026-06-26,COL@MIN,1,NRFI,NRFI,,0.4000,YRFI,,,YRFI,1,,,0.160000,0.510826,home_fav,night,1,,
2251153,2026-06-26,MIA@STL,1,NRFI,NRFI,,0.4300,YRFI,,,NRFI,0,,,0.324900,0.843970,away_fav,night,1,,
2251154,2026-06-26,ATH@LAA,1,NRFI,NRFI,,0.4400,YRFI,,,NRFI,0,,,0.313600,0.820981,away_fav,night,1,,
2251155,2026-06-26,LAD@SD,1,NRFI,NRFI,,0.4700,YRFI,,,NRFI,0,,,0.280900,0.755023,away_fav,night,1,,
2251156,2026-06-26,ATL@SF,1,NRFI,NRFI,,0.4900,YRFI,,,YRFI,1,,,0.240100,0.673345,away_fav,night,1,,
2253497,2026-06-26,ARI@TB,1,NRFI,NRFI,,0.4000,YRFI,,,YRFI,1,,,0.160000,0.510826,home_fav,night,1,,
2251157,2026-06-27,HOU@DET,1,NRFI,NRFI,,0.5100,NRFI,,,NRFI,1,,,0.240100,0.673345,home_fav,day,1,,
2251158,2026-06-27,NYY@BOS,1,NRFI,NRFI,,0.4900,YRFI,,,YRFI,1,,,0.240100,0.673345,away_fav,day,1,,
2251159,2026-06-27,TEX@TOR,1,NRFI,NRFI,,0.4700,YRFI,,,YRFI,1,,,0.220900,0.634878,home_fav,day,1,,
2251160,2026-06-27,CIN@PIT,1,NRFI,NRFI,,0.5300,NRFI,,,YRFI,0,,,0.280900,0.755023,away_fav,day,1,,
2251161,2026-06-27,PHI@NYM,1,NRFI,NRFI,,0.5500,NRFI,,,NRFI,1,,,0.202500,0.597837,home_fav,day,1,,
2251162,2026-06-27,KC@CWS,1,NRFI,NRFI,,0.4800,YRFI,,,NRFI,0,,,0.270400,0.733969,home_fav,day,1,,
2251163,2026-06-27,WSH@BAL,1,NRFI,NRFI,,0.5900,NRFI,,,NRFI,1,,,0.168100,0.527633,away_fav,night,1,,
2251164,2026-06-27,SEA@CLE,1,NRFI,NRFI,,0.5000,YRFI,,,NRFI,0,,,0.250000,0.693147,away_fav,night,1,,
2251165,2026-06-27,COL@MIN,1,NRFI,NRFI,,0.4200,YRFI,,,YRFI,1,,,0.176400,0.544727,home_fav,night,1,,
2251166,2026-06-27,CHC@MIL,1,NRFI,NRFI,,0.4600,YRFI,,,YRFI,1,,,0.211600,0.616186,home_fav,night,1,,
2251167,2026-06-27,MIA@STL,1,NRFI,NRFI,,0.5100,NRFI,,,YRFI,0,,,0.260100,0.713350,home_fav,night,1,,
2251168,2026-06-27,LAD@SD,1,NRFI,NRFI,,0.4800,YRFI,,,NRFI,0,,,0.270400,0.733969,away_fav,night,1,,
2251169,2026-06-27,ATL@SF,1,NRFI,NRFI,,0.4600,YRFI,,,NRFI,0,,,0.291600,0.776529,home_fav,night,1,,
2251170,2026-06-27,ATH@LAA,1,NRFI,NRFI,,0.5200,NRFI,,,NRFI,1,,,0.230400,0.653926,away_fav,night,1,,
2253513,2026-06-27,ARI@TB,1,NRFI,NRFI,,0.4400,YRFI,,,YRFI,1,,,0.193600,0.579818,home_fav,night,1,,
2251171,2026-06-28,WSH@BAL,1,NRFI,NRFI,,0.5000,YRFI,,,YRFI,1,,,0.250000,0.693147,home_fav,day,1,,
2251172,2026-06-28,CIN@PIT,1,NRFI,NRFI,,0.4500,YRFI,,,NRFI,0,,,0.302500,0.798508,home_fav,day,1,,
2251173,2026-06-28,TEX@TOR,1,NRFI,NRFI,,0.5600,NRFI,,,YRFI,0,,,0.313600,0.820981,home_fav,day,1,,
2251174,2026-06-28,HOU@DET,1,NRFI,NRFI,,0.5300,NRFI,,,NRFI,1,,,0.220900,0.634878,away_fav,day,1,,
2251175,2026-06-28,SEA@CLE,1,NRFI,NRFI,,0.5200,NRFI,,,NRFI,1,,,0.230400,0.653926,home_fav,day,1,,
2251176,2026-06-28,PHI@NYM,1,NRFI,NRFI,,0.4500,YRFI,,,NRFI,0,,,0.302500,0.798508,away_fav,day,1,,
2251177,2026-06-28,COL@MIN,1,NRFI,NRFI,,0.4100,YRFI,,,YRFI,1,,,0.168100,0.527633,home_fav,day,1,,
2251178,2026-06-28,KC@CWS,1,NRFI,NRFI,,0.4700,YRFI,,,YRFI,1,,,0.220900,0.634878,home_fav,day,1,,
2251179,2026-06-28,CHC@MIL,1,NRFI,NRFI,,0.5400,NRFI,,,NRFI,1,,,0.211600,0.616186,home_fav,day,1,,
2251180,2026-06-28,MIA@STL,1,NRFI,NRFI,,0.5700,NRFI,,,NRFI,1,,,0.184900,0.562119,home_fav,day,1,,
2251181,2026-06-28,ATH@LAA,1,NRFI,NRFI,,0.4700,YRFI,,,NRFI,0,,,0.280900,0.755023,away_fav,day,1,,
2251182,2026-06-28,ATL@SF,1,NRFI,NRFI,,0.4700,YRFI,,,NRFI,0,,,0.280900,0.755023,away_fav,day,1,,
2251183,2026-06-28,LAD@SD,1,NRFI,NRFI,,0.5200,NRFI,,,NRFI,1,,,0.230400,0.653926,away_fav,day,1,,
