game_id,date,teams,prop_id,market,sub_market,player,hand,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,actual_ks,correct,signed_error,abs_error,brier,logloss,completed,notes,stored_result,stored_correct,stored_error,verdict
2251366,2026-07-17,TB@BOS,1860001,K_PROP,home,Eduardo Rivera,,2.7,0.3315,UNDER,3.5,,UNDER,3,1,-0.30,0.30,0.109892,0.402719,1,,UNDER,1,0.300,UNDER
2251366,2026-07-17,TB@BOS,1860002,K_PROP,away,Mason Englert,,3.96,0.6147,OVER,3.5,,OVER,4,1,-0.04,0.04,0.148456,0.486621,1,,OVER,1,0.030,OVER
2251363,2026-07-17,LAD@NYY,1860003,K_PROP,away,Emmet Sheehan,,6.1,0.6385,OVER,5.5,,UNDER,5,0,1.10,1.10,0.407682,1.017493,1,,UNDER,0,-1.110,PASS
2251363,2026-07-17,LAD@NYY,1860004,K_PROP,home,Ryan Weathers,,4.99,0.4474,UNDER,5.5,,OVER,8,0,-3.01,3.01,0.305367,0.804302,1,,OVER,0,3.010,UNDER
2251367,2026-07-17,TEX@ATL,1860007,K_PROP,home,Owen Murphy,,3,0.4024,UNDER,3.5,,OVER,6,0,-3.00,3.00,0.357126,0.910309,1,,UNDER,1,-1.410,UNDER
2251368,2026-07-17,MIA@MIL,1860008,K_PROP,away,Max Meyer,,4.07,0.2752,UNDER,5.5,,OVER,7,0,-2.93,2.93,0.525335,1.290257,1,,OVER,0,2.970,UNDER
2251368,2026-07-17,MIA@MIL,1860009,K_PROP,home,Logan Henderson,,4.62,0.3780,UNDER,5.5,,UNDER,4,1,0.62,0.62,0.142884,0.474815,1,,UNDER,1,-0.620,UNDER
2251369,2026-07-17,MIN@CHC,1860010,K_PROP,home,Matthew Boyd,,5,0.6224,OVER,4.5,,OVER,6,1,-1.00,1.00,0.142582,0.474172,1,,OVER,1,0.990,PASS
2251369,2026-07-17,MIN@CHC,1860011,K_PROP,away,Taj Bradley,,4.21,0.3014,UNDER,5.5,,OVER,7,0,-2.79,2.79,0.488042,1.199317,1,,OVER,0,2.800,UNDER
2251370,2026-07-17,BAL@HOU,1860012,K_PROP,away,Trevor Rogers,,2.68,0.1644,UNDER,4.5,,OVER,5,0,-2.32,2.32,0.698227,1.805453,1,,OVER,0,2.320,UNDER
2251370,2026-07-17,BAL@HOU,1860013,K_PROP,home,Spencer Arrighetti,,3.47,0.1736,UNDER,5.5,,OVER,10,0,-6.53,6.53,0.682937,1.751001,1,,OVER,0,6.550,UNDER
2251371,2026-07-17,SD@KC,1860014,K_PROP,home,Seth Lugo,,3.47,0.3170,UNDER,4.5,,UNDER,3,1,0.47,0.47,0.100489,0.381260,1,,UNDER,1,-0.490,UNDER
2251371,2026-07-17,SD@KC,1860015,K_PROP,away,Michael King,,2.92,0.2080,UNDER,4.5,,UNDER,4,1,-1.08,1.08,0.043264,0.233194,1,,UNDER,1,1.090,UNDER
2251372,2026-07-17,CIN@COL,1860016,K_PROP,away,Rhett Lowder,,2.81,0.5805,OVER,2.5,,OVER,6,1,-3.19,3.19,0.175980,0.543865,1,,OVER,1,3.190,UNDER
2251372,2026-07-17,CIN@COL,1860017,K_PROP,home,Tomoyuki Sugano,,1.99,0.1694,UNDER,3.5,,OVER,6,0,-4.01,4.01,0.689896,1.775492,1,,OVER,1,0.730,UNDER
2251373,2026-07-17,DET@LAA,1860018,K_PROP,away,Tarik Skubal,,9.23,0.6571,OVER,8.5,,OVER,9,1,0.23,0.23,0.117580,0.419919,1,,OVER,1,-0.230,UNDER
2251373,2026-07-17,DET@LAA,1860019,K_PROP,home,Grayson Rodriguez,,2.26,0.0995,UNDER,4.5,,OVER,7,0,-4.74,4.74,0.810900,2.307598,1,,OVER,0,4.750,UNDER
2253740,2026-07-17,STL@ARI,1860020,K_PROP,home,Brandon Pfaadt,,2.32,0.2405,UNDER,3.5,,UNDER,3,1,-0.68,0.68,0.057840,0.275095,1,,UNDER,1,0.670,UNDER
2251374,2026-07-17,WSH@ATH,1860021,K_PROP,home,J.T. Ginn,,2.64,0.1581,UNDER,4.5,,OVER,8,0,-5.36,5.36,0.708796,1.844528,1,,OVER,0,5.350,UNDER
2253740,2026-07-17,STL@ARI,1860022,K_PROP,away,Dustin May,,3.07,0.4190,UNDER,3.5,,OVER,5,0,-1.93,1.93,0.337561,0.869884,1,,OVER,0,1.930,UNDER
2251374,2026-07-17,WSH@ATH,1860023,K_PROP,away,Zack Littell,,2.13,0.4003,UNDER,2.5,,OVER,9,0,-6.87,6.87,0.359640,0.915541,1,,OVER,0,6.890,UNDER
2251375,2026-07-17,SF@SEA,1860024,K_PROP,home,Bryan Woo,,3.37,0.1582,UNDER,5.5,,OVER,6,0,-2.63,2.63,0.708627,1.843895,1,,OVER,0,2.640,UNDER
