game_id,date,teams,game_no,market,sub_market,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,correct,signed_error,abs_error,brier,logloss,fav,day_night,completed,notes,stored_correct
2250654,2026-05-17,NYY@NYM,1,F5,ML,,0.4607,HOME,+110,,PUSH,,,,,,home_fav,day,1,push(tie),
2250654,2026-05-17,NYY@NYM,1,F5,RL,,0.5512,AWAY,0.5,,AWAY,1,,,0.201421,0.595658,home_fav,day,1,,
2250654,2026-05-17,NYY@NYM,1,F5,TOTAL,4.50,0.4000,UNDER,4.5,,UNDER,1,2.50,2.50,0.160000,0.510826,home_fav,day,1,,
2250655,2026-05-17,TEX@HOU,1,F5,ML,,0.3936,HOME,-135,,AWAY,0,,,0.367721,0.932420,away_fav,day,1,,
2250655,2026-05-17,TEX@HOU,1,F5,RL,,0.4684,HOME,-0.5,,AWAY,0,,,0.282599,0.758433,away_fav,day,1,,
2250655,2026-05-17,TEX@HOU,1,F5,TOTAL,4.50,0.4400,UNDER,4.5,,UNDER,1,2.50,2.50,0.193600,0.579818,away_fav,day,1,,
2250656,2026-05-17,CHC@CWS,1,F5,ML,,0.4150,HOME,-128,,PUSH,,,,,,away_fav,day,1,push(tie),
2250656,2026-05-17,CHC@CWS,1,F5,RL,,0.4921,HOME,-0.5,,HOME,1,,,0.242162,0.677471,away_fav,day,1,,
2250656,2026-05-17,CHC@CWS,1,F5,TOTAL,4.50,0.4600,UNDER,4.5,,OVER,0,-3.50,3.50,0.291600,0.776529,away_fav,day,1,,
2250657,2026-05-17,MIL@MIN,1,F5,ML,,0.4126,HOME,-130,,HOME,1,,,0.170239,0.532049,away_fav,day,1,,
2250657,2026-05-17,MIL@MIN,1,F5,RL,,0.4921,HOME,-0.5,,HOME,1,,,0.242162,0.677471,away_fav,day,1,,
2250657,2026-05-17,MIL@MIN,1,F5,TOTAL,4.00,0.4900,UNDER,4.5,,OVER,0,-3.00,3.00,0.260100,0.713350,away_fav,day,1,,
2250658,2026-05-17,KC@STL,1,F5,ML,,0.4286,HOME,-106,,AWAY,0,,,0.326498,0.847231,home_fav,day,1,,
2250658,2026-05-17,KC@STL,1,F5,RL,,0.5095,AWAY,0.5,,AWAY,1,,,0.240590,0.674325,home_fav,day,1,,
2250658,2026-05-17,KC@STL,1,F5,TOTAL,5.50,0.3300,UNDER,4.5,,UNDER,1,3.50,3.50,0.108900,0.400478,home_fav,day,1,,
2250659,2026-05-17,SF@ATH,1,F5,ML,,0.3692,HOME,+120,,AWAY,0,,,0.397909,0.996417,home_fav,day,1,,
2250659,2026-05-17,SF@ATH,1,F5,RL,,0.4298,HOME,0.5,,AWAY,0,,,0.325128,0.844435,home_fav,day,1,,
2250659,2026-05-17,SF@ATH,1,F5,TOTAL,5.50,0.4800,UNDER,5.5,,UNDER,1,2.50,2.50,0.230400,0.653926,home_fav,day,1,,
2250660,2026-05-17,LAD@LAA,1,F5,ML,,0.4140,HOME,-132,,AWAY,0,,,0.343396,0.881889,away_fav,day,1,,
2250660,2026-05-17,LAD@LAA,1,F5,RL,,0.4914,HOME,-0.5,,AWAY,0,,,0.258674,0.710497,away_fav,day,1,,
2250660,2026-05-17,LAD@LAA,1,F5,TOTAL,5.50,0.3400,UNDER,5.5,,OVER,0,-2.50,2.50,0.435600,1.078810,away_fav,day,1,,
2250661,2026-05-17,SD@SEA,1,F5,ML,,0.3951,HOME,-295,,AWAY,0,,,0.365904,0.928616,home_fav,night,1,,
2250661,2026-05-17,SD@SEA,1,F5,RL,,0.4803,HOME,-0.5,,AWAY,0,,,0.270088,0.733344,home_fav,night,1,,
2250661,2026-05-17,SD@SEA,1,F5,TOTAL,4.00,0.4000,UNDER,2.5,,UNDER,1,2.00,2.00,0.160000,0.510826,home_fav,night,1,,
2252971,2026-05-17,ARI@COL,1,F5,ML,,0.4808,HOME,-1100,,AWAY,0,,,0.269569,0.732304,away_fav,day,1,,
2252971,2026-05-17,ARI@COL,1,F5,RL,,0.5590,AWAY,-2.5,,AWAY,1,,,0.194481,0.581606,away_fav,day,1,,
2252971,2026-05-17,ARI@COL,1,F5,TOTAL,6.00,0.4400,UNDER,5.5,,OVER,0,-3.00,3.00,0.313600,0.820981,away_fav,day,1,,
2250662,2026-05-18,CLE@DET,1,F5,ML,,0.4013,HOME,+130,,AWAY,0,,,0.358442,0.913046,home_fav,night,1,,
2250662,2026-05-18,CLE@DET,1,F5,RL,,0.4746,HOME,0.5,,AWAY,0,,,0.276045,0.745283,home_fav,night,1,,
2250662,2026-05-18,CLE@DET,1,F5,TOTAL,4.50,0.4800,UNDER,4.5,,OVER,0,-0.50,0.50,0.270400,0.733969,home_fav,night,1,,
2250663,2026-05-18,BAL@TB,1,F5,ML,,0.3443,HOME,+134,,HOME,1,,,0.118542,0.422052,home_fav,night,1,,
2250663,2026-05-18,BAL@TB,1,F5,RL,,0.4117,HOME,0.5,,HOME,1,,,0.169497,0.530518,home_fav,night,1,,
2250663,2026-05-18,BAL@TB,1,F5,TOTAL,4.00,0.4700,UNDER,6.5,,OVER,0,-12.00,12.00,0.280900,0.755023,home_fav,night,1,,
2250664,2026-05-18,CIN@PHI,1,F5,ML,,0.4761,HOME,-108,,PUSH,,,,,,home_fav,night,1,push(tie),
2250664,2026-05-18,CIN@PHI,1,F5,RL,,0.5572,AWAY,0.5,,AWAY,1,,,0.196072,0.584831,home_fav,night,1,,
2250664,2026-05-18,CIN@PHI,1,F5,TOTAL,5.50,0.4300,UNDER,5.5,,UNDER,1,1.50,1.50,0.184900,0.562119,home_fav,night,1,,
2250665,2026-05-18,ATL@MIA,1,F5,ML,,0.4080,HOME,+108,,HOME,1,,,0.166464,0.524249,away_fav,night,1,,
2250665,2026-05-18,ATL@MIA,1,F5,RL,,0.4873,HOME,0.5,,HOME,1,,,0.237461,0.668064,away_fav,night,1,,
2250665,2026-05-18,ATL@MIA,1,F5,TOTAL,4.50,0.4200,UNDER,4.5,,OVER,0,-7.50,7.50,0.336400,0.867501,away_fav,night,1,,
2250666,2026-05-18,NYM@WSH,1,F5,ML,,0.4457,HOME,-310,,AWAY,0,,,0.307248,0.808109,away_fav,night,1,,
2250666,2026-05-18,NYM@WSH,1,F5,RL,,0.5214,AWAY,-1.5,,HOME,0,,,0.271858,0.736890,away_fav,night,1,,
2250666,2026-05-18,NYM@WSH,1,F5,TOTAL,5.50,0.4400,UNDER,4.5,,OVER,0,-1.50,1.50,0.313600,0.820981,away_fav,night,1,,
2250667,2026-05-18,TOR@NYY,1,F5,ML,,0.3576,HOME,+215,,AWAY,0,,,0.412678,1.028340,home_fav,night,1,,
2250667,2026-05-18,TOR@NYY,1,F5,RL,,0.4207,HOME,0.5,,AWAY,0,,,0.335588,0.865835,home_fav,night,1,,
2250667,2026-05-18,TOR@NYY,1,F5,TOTAL,4.50,0.5100,OVER,4.5,,OVER,1,-2.50,2.50,0.240100,0.673345,home_fav,night,1,,
