game_id,date,teams,game_no,market,sub_market,projected_value,projected_probability,pick,line_at_projection,closing_line,closing_novig_p_away,actual_outcome,correct,signed_error,abs_error,brier,logloss,fav,day_night,completed,notes,stored_correct
2251263,2026-07-05,CWS@CLE,1,FG,ML,,0.3696,HOME,+122,122,0.4308,AWAY,0,,,0.397404,0.995334,home_fav,day,1,,
2251263,2026-07-05,CWS@CLE,1,FG,RL,-1.07,,AWAY,+1.5/-181,1.5/-181,,AWAY,1,-2.07,2.07,,,home_fav,day,1,,
2251263,2026-07-05,CWS@CLE,1,FG,TOTAL,7.93,0.4362,UNDER,8,8,,OVER,0,-5.07,5.07,0.317870,0.829654,home_fav,day,1,,
2251264,2026-07-05,STL@CHC,1,FG,ML,,0.3613,HOME,+119,119,0.4369,HOME,1,,,0.130538,0.448320,home_fav,day,1,,
2251264,2026-07-05,STL@CHC,1,FG,RL,-1.29,,AWAY,+1.5/-191,1.5/-188,,HOME,0,0.71,0.71,,,home_fav,day,1,,
2251264,2026-07-05,STL@CHC,1,FG,TOTAL,9.05,0.5324,OVER,8,8,,OVER,1,-0.95,0.95,0.218650,0.630360,home_fav,day,1,,
2251265,2026-07-05,PHI@KC,1,FG,ML,,0.4389,HOME,-136,-136,0.5511,HOME,1,,,0.192633,0.577856,away_fav,day,1,,
2251265,2026-07-05,PHI@KC,1,FG,RL,-0.42,,HOME,-1.5/+114,-1.5/+114,,HOME,1,2.58,2.58,,,away_fav,day,1,,
2251265,2026-07-05,PHI@KC,1,FG,TOTAL,9.54,0.4090,UNDER,10,10,,UNDER,1,2.54,2.54,0.167281,0.525939,away_fav,day,1,,
2251266,2026-07-05,TB@HOU,1,FG,ML,,0.3795,HOME,-102,-102,0.4826,HOME,1,,,0.144020,0.477230,away_fav,day,1,,
2251266,2026-07-05,TB@HOU,1,FG,RL,-1.05,,HOME,-1.5/+155,-1.5/+156,,HOME,1,0.95,0.95,,,away_fav,day,1,,
