series,dimension,bucket,n,base_rate,mean_p,calib_gap,calib_gap_z,brier,brier_const_slice,brier_skill,logloss,n_picks,hits,hit_rate
live,day_night,night,952,0.47899,0.47773,-0.00126,-0.08,0.251362,0.249559,-0.001804,0.695859,877,447,0.50969
p1,day_night,night,962,0.47817,0.51595,0.03778,2.35,0.248806,0.249523,0.000717,0.690732,962,513,0.53326
p2,day_night,night,962,0.47817,0.51595,0.03778,2.35,0.248806,0.249523,0.000717,0.690732,962,513,0.53326
live_clean,day_night,night,773,0.48124,0.47811,-0.00313,-0.17,0.251635,0.249648,-0.001987,0.696395,707,355,0.50212
p1,day_night,unknown,1,1.0,0.4366,-0.5634,-17816.27,0.31742,0.0,-0.31742,0.828738,1,0,0.0
p2,day_night,unknown,1,1.0,0.4366,-0.5634,-17816.27,0.31742,0.0,-0.31742,0.828738,1,0,0.0
live,n_prior_missing,0,1212,0.49257,0.47995,-0.01262,-0.88,0.249404,0.249945,0.000541,0.691865,1115,572,0.513
p1,n_prior_missing,0,1228,0.49104,0.51693,0.02588,1.81,0.248821,0.24992,0.001099,0.690796,1226,654,0.53344
p2,n_prior_missing,0,1228,0.49104,0.51734,0.0263,1.84,0.248607,0.24992,0.001313,0.690209,1226,655,0.53426
live_clean,n_prior_missing,0,895,0.48939,0.47985,-0.00953,-0.57,0.251039,0.249887,-0.001152,0.695176,821,405,0.4933
live,n_prior_missing,1,298,0.47315,0.46943,-0.00372,-0.13,0.252282,0.249279,-0.003002,0.697759,276,138,0.5
p1,n_prior_missing,1,300,0.47333,0.51392,0.04058,1.41,0.250082,0.249289,-0.000793,0.693312,300,158,0.52667
p2,n_prior_missing,1,300,0.47333,0.51392,0.04058,1.41,0.250082,0.249289,-0.000793,0.693312,300,158,0.52667
live_clean,n_prior_missing,1,259,0.48649,0.47004,-0.01645,-0.53,0.253032,0.249817,-0.003215,0.699266,242,120,0.49587
live,n_prior_missing,2,26,0.57692,0.45538,-0.12154,-1.25,0.260938,0.244083,-0.016856,0.715291,26,11,0.42308
p1,n_prior_missing,2,27,0.59259,0.51389,-0.07871,-0.83,0.238403,0.241427,0.003024,0.669683,27,15,0.55556
p2,n_prior_missing,2,27,0.59259,0.51389,-0.07871,-0.83,0.238403,0.241427,0.003024,0.669683,27,15,0.55556
live_clean,n_prior_missing,2,22,0.59091,0.45636,-0.13455,-1.28,0.262382,0.241736,-0.020646,0.718185,22,9,0.40909
live,min_sp_starts26,0,235,0.48936,0.47498,-0.01438,-0.44,0.254317,0.249887,-0.00443,0.701772,222,106,0.47748
p1,min_sp_starts26,0,239,0.48954,0.51511,0.02557,0.79,0.251468,0.249891,-0.001577,0.69596,239,121,0.50628
p2,min_sp_starts26,0,239,0.48954,0.51726,0.02772,0.86,0.250365,0.249891,-0.000475,0.692947,239,122,0.51046
live_clean,min_sp_starts26,0,118,0.45763,0.47695,0.01932,0.42,0.262046,0.248205,-0.013841,0.7174,112,44,0.39286
live,min_sp_starts26,1-4,575,0.48174,0.47671,-0.00503,-0.24,0.247249,0.249667,0.002418,0.687526,540,285,0.52778
p1,min_sp_starts26,1-4,581,0.48021,0.51892,0.03871,1.87,0.248497,0.249608,0.001111,0.690203,580,319,0.55
p2,min_sp_starts26,1-4,581,0.48021,0.51892,0.03871,1.87,0.248497,0.249608,0.001111,0.690203,580,319,0.55
live_clean,min_sp_starts26,1-4,384,0.47917,0.47599,-0.00318,-0.12,0.248694,0.249566,0.000872,0.690448,363,185,0.50964
live,min_sp_starts26,10+,309,0.49838,0.47702,-0.02136,-0.75,0.253366,0.249997,-0.003368,0.699875,278,132,0.47482
p1,min_sp_starts26,10+,309,0.49838,0.51626,0.01787,0.63,0.247797,0.249997,0.0022,0.688761,309,166,0.53722
p2,min_sp_starts26,10+,309,0.49838,0.51626,0.01787,0.63,0.247797,0.249997,0.0022,0.688761,309,166,0.53722
live_clean,min_sp_starts26,10+,289,0.50519,0.4773,-0.02789,-0.95,0.25457,0.249973,-0.004597,0.702322,260,122,0.46923
live,min_sp_starts26,5-9,417,0.4964,0.48034,-0.01607,-0.66,0.249447,0.249987,0.000541,0.692001,377,198,0.5252
p1,min_sp_starts26,5-9,426,0.49531,0.5134,0.01809,0.75,0.248748,0.249978,0.00123,0.690616,425,221,0.52
p2,min_sp_starts26,5-9,426,0.49531,0.5134,0.01809,0.75,0.248748,0.249978,0.00123,0.690616,425,221,0.52
live_clean,min_sp_starts26,5-9,385,0.5013,0.47857,-0.02273,-0.89,0.249343,0.249998,0.000656,0.691784,350,183,0.52286
