comparison,dimension,bucket,n,brier_a,brier_b,delta_a_minus_b,se,z
p1_vs_p2,sp_shrunk_bucket,"Q2[0.544,0.595)",311,0.246371,0.246371,0.0,0.0,
live_clean_vs_p2,sp_shrunk_bucket,"Q2[0.544,0.595)",225,0.25436,0.247582,0.006779,0.004485,1.51
live_vs_p2,sp_shrunk_bucket,"Q3[0.595,0.647)",307,0.251642,0.251108,0.000534,0.00374,0.14
live_vs_p1,sp_shrunk_bucket,"Q3[0.595,0.647)",307,0.251642,0.251108,0.000534,0.00374,0.14
p1_vs_p2,sp_shrunk_bucket,"Q3[0.595,0.647)",311,0.251537,0.251537,0.0,0.0,
live_clean_vs_p2,sp_shrunk_bucket,"Q3[0.595,0.647)",246,0.253252,0.251852,0.001401,0.004296,0.33
live_vs_p2,sp_shrunk_bucket,"Q4[0.647,0.708)",309,0.248723,0.244992,0.00373,0.003221,1.16
live_vs_p1,sp_shrunk_bucket,"Q4[0.647,0.708)",309,0.248723,0.244992,0.00373,0.003221,1.16
p1_vs_p2,sp_shrunk_bucket,"Q4[0.647,0.708)",311,0.244937,0.244937,0.0,0.0,
live_clean_vs_p2,sp_shrunk_bucket,"Q4[0.647,0.708)",261,0.249647,0.245758,0.003889,0.003623,1.07
live_vs_p2,sp_shrunk_bucket,Q5>=0.708,307,0.255167,0.25058,0.004587,0.003504,1.31
live_vs_p1,sp_shrunk_bucket,Q5>=0.708,307,0.255167,0.25058,0.004587,0.003504,1.31
p1_vs_p2,sp_shrunk_bucket,Q5>=0.708,311,0.250823,0.250823,0.0,0.0,
live_clean_vs_p2,sp_shrunk_bucket,Q5>=0.708,270,0.256763,0.249702,0.007061,0.003659,1.93
live_vs_p2,team_i1_bucket,Q1<0.244,304,0.250764,0.250921,-0.000157,0.00409,-0.04
live_vs_p1,team_i1_bucket,Q1<0.244,304,0.250764,0.250921,-0.000157,0.00409,-0.04
p1_vs_p2,team_i1_bucket,Q1<0.244,311,0.251224,0.251224,0.0,0.0,
live_clean_vs_p2,team_i1_bucket,Q1<0.244,180,0.253871,0.254519,-0.000648,0.004846,-0.13
live_vs_p2,team_i1_bucket,"Q2[0.244,0.282)",309,0.255294,0.24694,0.008354,0.00361,2.31
live_vs_p1,team_i1_bucket,"Q2[0.244,0.282)",309,0.255294,0.24694,0.008354,0.00361,2.31
p1_vs_p2,team_i1_bucket,"Q2[0.244,0.282)",311,0.24696,0.24696,0.0,0.0,
live_clean_vs_p2,team_i1_bucket,"Q2[0.244,0.282)",239,0.256599,0.247255,0.009344,0.004105,2.28
live_vs_p2,team_i1_bucket,"Q3[0.282,0.311)",308,0.247178,0.247239,-6.2e-05,0.003493,-0.02
live_vs_p1,team_i1_bucket,"Q3[0.282,0.311)",308,0.247178,0.247239,-6.2e-05,0.003493,-0.02
p1_vs_p2,team_i1_bucket,"Q3[0.282,0.311)",311,0.247337,0.247337,0.0,0.0,
live_clean_vs_p2,team_i1_bucket,"Q3[0.282,0.311)",262,0.24796,0.245795,0.002165,0.003686,0.59
live_vs_p2,team_i1_bucket,"Q4[0.311,0.338)",307,0.248577,0.248916,-0.000339,0.00372,-0.09
live_vs_p1,team_i1_bucket,"Q4[0.311,0.338)",307,0.248577,0.249774,-0.001197,0.003562,-0.34
p1_vs_p2,team_i1_bucket,"Q4[0.311,0.338)",311,0.249998,0.249151,0.000847,0.000847,1.0
live_clean_vs_p2,team_i1_bucket,"Q4[0.311,0.338)",271,0.25146,0.248071,0.003389,0.003947,0.86
live_vs_p2,team_i1_bucket,Q5>=0.338,308,0.24896,0.248835,0.000125,0.004191,0.03
live_vs_p1,team_i1_bucket,Q5>=0.338,308,0.24896,0.248835,0.000125,0.004191,0.03
p1_vs_p2,team_i1_bucket,Q5>=0.338,311,0.248898,0.248898,0.0,0.0,
live_clean_vs_p2,team_i1_bucket,Q5>=0.338,224,0.249342,0.244978,0.004364,0.004745,0.92
live_vs_p2,park,ARI,52,0.256502,0.253317,0.003185,0.007486,0.43
live_vs_p1,park,ARI,52,0.256502,0.253317,0.003185,0.007486,0.43
p1_vs_p2,park,ARI,53,0.25307,0.25307,0.0,0.0,
live_clean_vs_p2,park,ARI,43,0.257358,0.255685,0.001673,0.00817,0.2
live_vs_p2,park,ATH,50,0.24989,0.243247,0.006643,0.006889,0.96
live_vs_p1,park,ATH,50,0.24989,0.243247,0.006643,0.006889,0.96
p1_vs_p2,park,ATH,50,0.243247,0.243247,0.0,0.0,
live_clean_vs_p2,park,ATH,43,0.2491,0.238672,0.010428,0.006511,1.6
live_vs_p2,park,ATL,52,0.258487,0.247625,0.010862,0.008786,1.24
live_vs_p1,park,ATL,52,0.258487,0.247625,0.010862,0.008786,1.24
p1_vs_p2,park,ATL,52,0.247625,0.247625,0.0,0.0,
live_clean_vs_p2,park,ATL,36,0.257311,0.240327,0.016984,0.01013,1.68
live_vs_p2,park,BAL,53,0.248964,0.24994,-0.000976,0.005991,-0.16
live_vs_p1,park,BAL,53,0.248964,0.24994,-0.000976,0.005991,-0.16
p1_vs_p2,park,BAL,54,0.25119,0.25119,0.0,0.0,
live_clean_vs_p2,park,BAL,35,0.242849,0.252671,-0.009823,0.006291,-1.56
live_vs_p2,park,BOS,51,0.262467,0.257301,0.005166,0.00918,0.56
live_vs_p1,park,BOS,51,0.262467,0.257301,0.005166,0.00918,0.56
p1_vs_p2,park,BOS,52,0.256745,0.256745,0.0,0.0,
live_clean_vs_p2,park,BOS,40,0.26442,0.264537,-0.000117,0.009848,-0.01
live_vs_p2,park,CHC,51,0.243886,0.245101,-0.001215,0.007466,-0.16
live_vs_p1,park,CHC,51,0.243886,0.245101,-0.001215,0.007466,-0.16
p1_vs_p2,park,CHC,52,0.244468,0.244468,0.0,0.0,
live_clean_vs_p2,park,CHC,38,0.241958,0.248587,-0.006629,0.008728,-0.76
live_vs_p2,park,CIN,50,0.248312,0.254601,-0.006289,0.006188,-1.02
live_vs_p1,park,CIN,50,0.248312,0.254601,-0.006289,0.006188,-1.02
p1_vs_p2,park,CIN,50,0.254601,0.254601,0.0,0.0,
live_clean_vs_p2,park,CIN,35,0.253743,0.254567,-0.000824,0.007097,-0.12
live_vs_p2,park,CLE,53,0.248726,0.24745,0.001277,0.009248,0.14
live_vs_p1,park,CLE,53,0.248726,0.24745,0.001277,0.009248,0.14
p1_vs_p2,park,CLE,53,0.24745,0.24745,0.0,0.0,
live_clean_vs_p2,park,CLE,42,0.24879,0.249246,-0.000456,0.009916,-0.05
live_vs_p2,park,COL,49,0.206294,0.210311,-0.004017,0.007198,-0.56
live_vs_p1,park,COL,49,0.206294,0.210311,-0.004017,0.007198,-0.56
p1_vs_p2,park,COL,53,0.213693,0.213693,0.0,0.0,
live_clean_vs_p2,park,COL,42,0.209812,0.214005,-0.004193,0.008113,-0.52
live_vs_p2,park,CWS,48,0.244513,0.250447,-0.005934,0.01285,-0.46
live_vs_p1,park,CWS,48,0.244513,0.250447,-0.005934,0.01285,-0.46
p1_vs_p2,park,CWS,49,0.251088,0.251088,0.0,0.0,
live_clean_vs_p2,park,CWS,38,0.247739,0.249646,-0.001907,0.014777,-0.13
live_vs_p2,park,DET,51,0.247751,0.241711,0.00604,0.009778,0.62
live_vs_p1,park,DET,51,0.247751,0.241711,0.00604,0.009778,0.62
p1_vs_p2,park,DET,52,0.241669,0.241669,0.0,0.0,
live_clean_vs_p2,park,DET,36,0.245906,0.239924,0.005982,0.011016,0.54
live_vs_p2,park,HOU,53,0.24263,0.24531,-0.00268,0.007473,-0.36
live_vs_p1,park,HOU,53,0.24263,0.24531,-0.00268,0.007473,-0.36
p1_vs_p2,park,HOU,53,0.24531,0.24531,0.0,0.0,
live_clean_vs_p2,park,HOU,42,0.246962,0.24532,0.001642,0.008776,0.19
live_vs_p2,park,KC,52,0.251625,0.25454,-0.002915,0.006054,-0.48
live_vs_p1,park,KC,52,0.251625,0.25454,-0.002915,0.006054,-0.48
p1_vs_p2,park,KC,53,0.254107,0.254107,0.0,0.0,
live_clean_vs_p2,park,KC,36,0.251606,0.258515,-0.006909,0.006467,-1.07
live_vs_p2,park,LAA,52,0.255898,0.263365,-0.007467,0.010795,-0.69
live_vs_p1,park,LAA,52,0.255898,0.263365,-0.007467,0.010795,-0.69
p1_vs_p2,park,LAA,52,0.263365,0.263365,0.0,0.0,
live_clean_vs_p2,park,LAA,42,0.262474,0.260751,0.001722,0.011323,0.15
live_vs_p2,park,LAD,50,0.249488,0.243735,0.005753,0.006788,0.85
