"package","version","license","needs_compilation","built_r","install_mtime"
"dplyr","1.2.1","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:24:01 UTC; unix","2026-07-26T21:24:01"
"evaluate","1.0.5","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:22:49 UTC; unix","2026-07-26T21:22:49"
"farver","2.1.2","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:22:59 UTC; unix","2026-07-26T21:22:59"
"fastmap","1.2.0","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:22:54 UTC; unix","2026-07-26T21:22:54"
"fastrmodels","2.1.0","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:26:30 UTC; unix","2026-07-26T21:26:30"
"fontawesome","0.5.3","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:37 UTC; unix","2026-07-26T21:23:37"
"fs","2.1.0","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:02 UTC; unix","2026-07-26T21:23:02"
"furrr","0.4.0","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:58 UTC; unix","2026-07-26T21:23:58"
"future","1.75.0","Apache License (>= 2)","no","R 4.6.1; ; 2026-07-27 04:23:26 UTC; unix","2026-07-26T21:23:26"
"generics","0.1.4","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:22:49 UTC; unix","2026-07-26T21:22:49"
"ggpath","1.1.1","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:28:24 UTC; unix","2026-07-26T21:28:24"
"ggplot2","4.0.3","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:57 UTC; unix","2026-07-26T21:23:57"
"globals","0.19.1","LGPL (>= 2.1)","no","R 4.6.1; ; 2026-07-27 04:22:52 UTC; unix","2026-07-26T21:22:52"
"glue","1.8.1","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:11 UTC; unix","2026-07-26T21:23:11"
"gsubfn","0.7","GPL (>= 2)","no","R 4.6.1; ; 2026-07-27 04:23:30 UTC; unix","2026-07-26T21:23:30"
"gt","1.3.0","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:24:38 UTC; unix","2026-07-26T21:24:38"
"gtable","0.3.6","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:40 UTC; unix","2026-07-26T21:23:40"
"highr","0.12","GPL","no","R 4.6.1; ; 2026-07-27 04:23:18 UTC; unix","2026-07-26T21:23:18"
"hms","1.1.4","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:54 UTC; unix","2026-07-26T21:23:54"
"htmltools","0.5.9","GPL (>= 2)","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:33 UTC; unix","2026-07-26T21:23:33"
"htmlwidgets","1.6.4","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:24:35 UTC; unix","2026-07-26T21:24:36"
"isoband","0.3.0","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:32 UTC; unix","2026-07-26T21:23:32"
"janitor","2.2.1","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:26:30 UTC; unix","2026-07-26T21:26:30"
"jquerylib","0.1.4","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:39 UTC; unix","2026-07-26T21:23:39"
"jsonlite","2.0.0","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:06 UTC; unix","2026-07-26T21:23:06"
"juicyjuice","0.1.0","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:40 UTC; unix","2026-07-26T21:23:40"
"knitr","1.51","GPL","no","R 4.6.1; ; 2026-07-27 04:23:31 UTC; unix","2026-07-26T21:23:31"
"labeling","0.4.3","MIT + file LICENSE | Unlimited","no","R 4.6.1; ; 2026-07-27 04:22:59 UTC; unix","2026-07-26T21:22:59"
"lifecycle","1.0.5","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:36 UTC; unix","2026-07-26T21:23:36"
"listenv","1.0.0","Apache License (>= 2)","no","R 4.6.1; ; 2026-07-27 04:22:52 UTC; unix","2026-07-26T21:22:52"
"litedown","0.10","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:21 UTC; unix","2026-07-26T21:23:21"
"lubridate","1.9.5","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:40 UTC; unix","2026-07-26T21:23:40"
