starterId,pitcherName,nLive,meanLiveErr,ci95LiveErr,nP1,meanP1Err,nP2,meanP2Err,meanActualKs,meanKProj,meanOuts
663460,Kris Bubic|Michael Wacha,8,-1.7188,1.5275,9,1.911,9,1.529,5.667,4.281,16.78
687064,Brandon Young|Kyle Bradish|Shane Baz|Trevor Rogers,14,-1.6779,0.9111,16,-0.878,16,-1.32,4.625,3.108,17.12
681517,Andre Pallante|Kyle Leahy|Matthew Liberatore,16,-1.6738,1.168,19,-0.094,19,-0.496,4.158,2.639,15.05
657746,Connor Prielipp|Joe Ryan|Kendry Rojas|Taj Bradley,19,-1.6621,1.2658,21,1.709,21,0.919,6.238,4.601,16.33
669372,J.T. Ginn|Jacob Lopez|Jeffrey Springs,18,-1.6617,1.2143,19,-0.54,19,-1.076,5.053,3.227,16.16
676974,Braxton Garrett|Chris Paddack|Eury Perez|Max Meyer|Ryan Gusto,17,-1.66,0.8847,20,1.004,20,0.208,6.05,4.399,16.65
669302,Emerson Hancock|George Kirby|Logan Gilbert,16,-1.6588,1.4551,20,0.852,20,0.246,6.45,4.904,18.0
543135,Jacob deGrom|Kumar Rocker|MacKenzie Gore|Nathan Eovaldi,16,-1.6525,1.4211,19,-0.297,19,-0.843,6.421,4.848,18.21
621111,German Marquez|Lucas Giolito|Matt Waldron|Michael King|Randy Vasquez|Walker Buehler,20,-1.646,0.7416,20,0.332,20,-0.153,4.2,2.554,14.2
642547,Christian Scott|David Peterson|Freddy Peralta,17,-1.6329,0.8812,21,0.718,21,0.2,5.238,3.955,15.67
681293,Hunter Brown|Kai-Wei Teng|Spencer Arrighetti,16,-1.6275,1.4382,17,1.019,17,0.273,5.118,3.56,15.53
675911,Bryce Elder|Martin Perez|Spencer Strider,8,-1.6163,1.7059,8,-0.464,8,-1.272,5.75,4.134,14.62
608379,Bailey Falter|Luinder Avila|Michael Wacha|Noah Cameron,18,-1.6133,0.8722,20,0.534,20,-0.001,5.05,3.387,18.8
808963,Emmet Sheehan|Roki Sasaki|Yoshinobu Yamamoto,15,-1.6087,1.023,18,-1.382,18,-1.817,5.222,3.658,15.61
676282,Gavin Williams|Joey Cantillo|Slade Cecconi|Tanner Bibee,19,-1.5995,1.3731,22,0.066,22,-0.421,5.273,3.979,14.95
669467,Andre Pallante|Hunter Dobbins|Kyle Leahy|Matthew Liberatore,14,-1.5771,0.9707,19,-0.087,19,-0.513,3.947,2.637,16.63
605280,Christian Scott|Clay Holmes|Kodai Senga,9,-1.5667,1.2314,9,-0.282,9,-0.57,5.0,3.433,17.56
669022,Kumar Rocker|MacKenzie Gore|Nathan Eovaldi,18,-1.5661,1.1115,22,1.295,22,0.646,5.773,4.438,15.77
543037,Carlos Rodon|Gerrit Cole|Ryan Weathers,10,-1.565,1.7633,11,-0.842,11,-1.558,6.0,3.935,16.91
693433,Bryan Woo|Bryce Miller|George Kirby|Logan Gilbert|Luis Castillo,17,-1.5582,1.5582,19,1.624,19,0.925,5.737,4.265,17.42
621121,Lance McCullers|Mike Burrows,5,-1.55,2.3407,8,0.533,8,0.35,5.375,3.65,14.75
800048,Parker Messick|Slade Cecconi|Tanner Bibee,19,-1.5411,1.1607,20,2.175,20,1.337,5.8,4.354,17.65
656427,Casey Mize|Framber Valdez|Jack Flaherty|Keider Montero|Tarik Skubal|Troy Melton,17,-1.5112,1.4911,19,-0.017,19,-0.533,5.368,3.665,13.63
683003,Jared Jones|Mitch Keller|Paul Skenes,9,-1.51,1.1882,10,-0.625,10,-1.262,5.3,3.712,13.8
519242,Bryce Elder|Chris Sale|Grant Holmes|Martin Perez|Owen Murphy|Reynaldo Lopez|Spencer Strider,16,-1.5056,1.7342,19,1.833,19,0.898,7.053,5.369,17.53
669432,Brandon Young|Kyle Bradish|Trevor Rogers,15,-1.4973,1.1576,19,0.422,19,0.056,4.368,3.158,16.37
663436,Davis Martin|Erick Fedde|Sean Burke,19,-1.4105,1.1372,20,2.106,20,1.321,5.0,3.326,16.65
681190,Michael King|Randy Vasquez|Walker Buehler,13,-1.4069,1.394,16,1.577,16,1.16,3.688,2.593,15.12
684007,Edward Cabrera|Jameson Taillon|Javier Assad|Matthew Boyd|Shota Imanaga,16,-1.3981,1.3503,20,0.729,20,0.146,5.45,4.289,17.25
690986,Brandon Woodruff|Chad Patrick|Kyle Harrison|Logan Henderson|Robert Gasser,14,-1.3771,1.8655,17,1.635,17,0.792,5.941,4.48,14.76
594798,Jacob deGrom|Kumar Rocker|MacKenzie Gore|Nathan Eovaldi,17,-1.3676,1.2629,19,0.83,19,0.074,6.737,5.044,16.63
687562,Eduardo Rivera|Jake Bennett|Patrick Sandoval|Sonny Gray,9,-1.3589,1.6787,10,0.765,10,0.088,4.2,2.752,17.8
