rank,gameId,gameDate,side,pitcher,opp,kProj,bookLine,liveTruthKs,liveSignedError,starterOuts,asofK9,daysRest,umpKMod,oppAsofK27,verdict,pOver,pUnder,p1ProjValue,p1SignedError,p2ProjValue,p2SignedError,causeTags
11,2250637,2026-05-16,away,Zack Wheeler,PIT,4.54,6.5,13.0,-8.46,27.0,10.897590361445783,6.0,0.9940908504154151,9.580645161290324,UNDER,0.2196,0.8262,11.1705,-1.8294999999999995,9.4143,-3.585699999999999,LONG_OUTING_UNDERSHOOT;HIGH_K9_UNDERSHOOT;HIGH_K_OPP;ACTUAL_10PLUS
12,2251057,2026-06-19,home,Will Warren,CIN,4.56,5.5,13.0,-8.440000000000001,18.0,9.707865168539325,6.0,1.0324805829012194,8.850524475524477,UNDER,0.3658,0.6929,9.097,-3.9030000000000005,7.8097,-5.1903,LONG_OUTING_UNDERSHOOT;ACTUAL_10PLUS
13,2250976,2026-06-12,home,Jacob Misiorowski,PHI,6.67,8.5,15.0,-8.33,27.0,13.384615384615385,6.0,,8.479768786127167,UNDER,0.292,0.7715,12.2414,-2.7585999999999995,10.5091,-4.4909,LONG_OUTING_UNDERSHOOT;HIGH_K9_UNDERSHOOT;ACTUAL_10PLUS
14,2251451,2026-07-24,home,Casey Mize,KC,3.72,5.5,12.0,-8.28,22.0,10.669354838709676,6.0,,8.001261034047918,UNDER,0.2149,0.8266,9.557,-2.4429999999999996,8.3502,-3.649800000000001,LONG_OUTING_UNDERSHOOT;HIGH_K9_UNDERSHOOT;ACTUAL_10PLUS
15,2251202,2026-06-30,away,Andrew Alvarez,BOS,4.77,4.5,13.0,-8.23,21.0,9.612,5.0,0.9530149984778232,7.912012241775057,PASS,0.5808,0.4818,5.6165,-7.3835,4.8217,-8.1783,LONG_OUTING_UNDERSHOOT;ACTUAL_10PLUS
16,2251284,2026-07-07,home,Shane McClanahan,NYY,3.82,5.5,12.0,-8.18,16.0,10.058823529411764,5.0,1.0139806772944886,9.490196078431373,UNDER,0.2317,0.8121,5.0917,-6.9083,4.4488,-7.5512,HIGH_K9_UNDERSHOOT;HIGH_K_OPP;ACTUAL_10PLUS
17,2251062,2026-06-19,home,Spencer Arrighetti,CLE,2.87,5.5,11.0,-8.129999999999999,18.0,9.514285714285714,7.0,0.9796379863112024,7.578519855595667,UNDER,0.0919,0.85,3.1584,-7.8416,2.7115,-8.288499999999999,LONG_OUTING_UNDERSHOOT;ACTUAL_10PLUS
18,2250672,2026-05-18,away,Jacob Lopez,LAA,2.08,5.5,10.0,-7.92,24.0,7.431192660550458,5.0,1.0324817511172073,9.664345403899722,UNDER,0.03,0.85,4.5138,-5.4862,3.8041,-6.1959,LONG_OUTING_UNDERSHOOT;HIGH_K_OPP;ACTUAL_10PLUS
19,2250433,2026-04-29,away,Miles Mikolas,NYM,2.1,3.5,10.0,-7.9,18.0,10.216216216216216,6.0,1.0386886600603569,7.06595744680851,UNDER,0.1947,0.8391,5.9811,-4.0189,5.9811,-4.0189,LONG_OUTING_UNDERSHOOT;HIGH_K9_UNDERSHOOT;ACTUAL_10PLUS
20,2251015,2026-06-15,home,Kumar Rocker,MIN,2.16,3.5,10.0,-7.84,21.0,9.633802816901408,5.0,1.001178347256774,8.017148014440433,UNDER,0.2045,0.8274,6.7081,-3.2919,5.7588,-4.2412,LONG_OUTING_UNDERSHOOT;ACTUAL_10PLUS
21,2251177,2026-06-28,home,Zebby Matthews,COL,2.31,4.5,10.0,-7.6899999999999995,18.0,8.892215568862275,9.0,1.0108181947462411,8.907874015748032,UNDER,0.1061,0.85,6.2156,-3.7843999999999998,5.336,-4.664,LONG_OUTING_UNDERSHOOT;ACTUAL_10PLUS
22,2251251,2026-07-04,away,Sean Burke,CLE,3.36,5.5,11.0,-7.640000000000001,18.0,9.177339901477833,5.0,0.9530149984778232,7.91590909090909,UNDER,0.1567,0.85,5.9744,-5.0256,5.22,-5.78,LONG_OUTING_UNDERSHOOT;ACTUAL_10PLUS
23,2251125,2026-06-24,home,Bubba Chandler,SEA,2.42,4.5,10.0,-7.58,18.0,9.628676470588236,7.0,1.004365803992054,8.346655791190864,UNDER,0.1218,0.85,9.1045,-0.8955000000000002,7.8161,-2.1839000000000004,LONG_OUTING_UNDERSHOOT;ACTUAL_10PLUS
24,2251157,2026-06-27,away,Hunter Brown,DET,8.47,6.5,1.0,7.470000000000001,11.0,9.37190082644628,6.0,1.0302965348941253,8.754342431761787,PASS,0.8015,0.2599,4.1568,3.1567999999999996,3.5686,2.5686,STARTER_MISMATCH
25,2250099,2026-04-03,away,Cade Horton,CLE,7.43,3.5,0.0,7.43,3.0,5.68421052631579,6.0,1.0108181947462411,9.838983050847457,EDGE,0.9088,0.0912,6.1658,6.1658,6.1658,6.1658,SHORT_OUTING
26,2250753,2026-05-25,away,Michael McGreevy,MIL,2.65,3.5,10.0,-7.35,15.0,7.490322580645161,6.0,,7.871934604904632,OVER,0.3175,0.7259,3.7802,-6.2198,3.1859,-6.8141,ACTUAL_10PLUS
27,2250753,2026-05-25,home,Kyle Harrison,STL,4.74,6.5,12.0,-7.26,21.0,13.894736842105262,6.0,,7.877892030848329,UNDER,0.2516,0.7988,12.5476,0.5475999999999992,10.5749,-1.4251000000000005,LONG_OUTING_UNDERSHOOT;HIGH_K9_UNDERSHOOT;ACTUAL_10PLUS
28,2251136,2026-06-25,away,Bryce Miller,PIT,3.75,5.5,11.0,-7.25,17.0,10.028571428571428,6.0,1.0484417899568463,9.29654036243822,UNDER,0.2191,0.823,9.7118,-1.2881999999999998,8.3375,-2.6624999999999996,HIGH_K9_UNDERSHOOT;HIGH_K_OPP;ACTUAL_10PLUS
29,2251239,2026-07-03,home,Ryan Feltner,SF,1.8,3.5,9.0,-7.2,18.0,5.943396226415094,5.0,1.1050883836683543,7.702127659574469,UNDER,0.1308,0.85,2.4039,-6.5961,2.1004,-6.8995999999999995,LONG_OUTING_UNDERSHOOT;HIGH_K_UMP
