propId,gameId,gameDate,gamePk,side,pitcher,mlbamId,class,ungraded_reason,kProj,bookLine,pOver,pUnder,actualKs,stored_backtestResult,stored_modelCorrect,stored_modelError,derived_backtestResult,derived_modelCorrect,derived_modelError,grade_status,diff_fields,substrate_status,substrate_starterId,substrate_starterKs
90091,2250049,2026-03-29,823160,away,Slade Cecconi,677944,final_in_scope,,3.82,4.5,0.3353,0.6647,5,OVER,0,-1.18,OVER,0,-1.18,MATCH,,SIDE_MATCH_KS_EQUAL,677944,5
90094,2250050,2026-03-30,824135,away,Simeon Woods Richardson,680573,final_in_scope,,2.13,3.5,0.1678,0.8322,2,UNDER,1,0.13,UNDER,1,0.13,MATCH,,SIDE_MATCH_KS_EQUAL,680573,2
90093,2250050,2026-03-30,824135,home,Kris Bubic,663460,final_in_scope,,4.34,4.5,0.4368,0.5632,4,UNDER,1,0.34,UNDER,1,0.34,MATCH,,SIDE_MATCH_KS_EQUAL,663460,4
90096,2250051,2026-03-30,824863,away,Jack Leiter,683004,final_in_scope,,4.39,5.5,0.2786,0.7214,8,OVER,0,-3.61,OVER,0,-3.61,MATCH,,SIDE_MATCH_KS_EQUAL,683004,8
90095,2250051,2026-03-30,824863,home,Chris Bassitt,605135,final_in_scope,,3.75,4.5,0.3231,0.6769,3,UNDER,1,0.75,UNDER,1,0.75,MATCH,,SIDE_MATCH_KS_EQUAL,605135,3
90097,2250052,2026-03-30,824539,home,Chase Burns,695505,final_in_scope,,8.88,7.5,0.6623,0.3377,7,UNDER,0,1.88,UNDER,0,1.88,MATCH,,SIDE_MATCH_KS_EQUAL,695505,7
90099,2250054,2026-03-30,823890,home,Chris Paddack,663978,final_in_scope,,2.56,3.5,0.2548,0.7452,6,OVER,0,-3.44,OVER,0,-3.44,MATCH,,SIDE_MATCH_KS_EQUAL,663978,6
90098,2250054,2026-03-30,823890,away,Davis Martin,663436,final_in_scope,,2.29,3.5,0.1983,0.8017,6,OVER,0,-3.71,OVER,0,-3.71,MATCH,,SIDE_MATCH_KS_EQUAL,663436,6
90101,2250055,2026-03-30,822834,home,Cody Ponce,664074,final_in_scope,,5.21,5.5,0.4209,0.5791,3,UNDER,1,2.21,UNDER,1,2.21,MATCH,,SIDE_MATCH_KS_EQUAL,664074,3
90100,2250055,2026-03-30,822834,away,Tomoyuki Sugano,608372,final_in_scope,,1.53,2.5,0.1981,0.8019,4,OVER,0,-2.47,OVER,0,-2.47,MATCH,,SIDE_MATCH_KS_EQUAL,608372,4
90103,2250056,2026-03-30,824943,home,Bryce Elder,693821,final_in_scope,,3.72,4.5,0.3166,0.6834,5,OVER,0,-1.28,OVER,0,-1.28,MATCH,,SIDE_MATCH_KS_EQUAL,693821,5
90102,2250056,2026-03-30,824943,away,Jacob Lopez,682052,final_in_scope,,4.43,5.5,0.2848,0.7152,0,UNDER,1,4.43,UNDER,1,4.43,MATCH,,SIDE_MATCH_KS_EQUAL,682052,0
90105,2250057,2026-03-30,824702,away,Ryan Johnson,696270,final_in_scope,,3.41,4.5,0.2573,0.7427,2,UNDER,1,1.41,UNDER,1,1.41,MATCH,,SIDE_MATCH_KS_EQUAL,696270,2
90104,2250057,2026-03-30,824702,home,Edward Cabrera,665795,final_in_scope,,7.37,6.5,0.6039,0.3961,5,UNDER,0,2.37,UNDER,0,2.37,MATCH,,SIDE_MATCH_KS_EQUAL,665795,5
90107,2250058,2026-03-30,823809,away,Nick Martinez,607259,final_in_scope,,2.44,3.5,0.2299,0.7701,3,UNDER,1,-0.56,UNDER,1,-0.56,MATCH,,SIDE_MATCH_KS_EQUAL,607259,3
90106,2250058,2026-03-30,823809,home,Kyle Harrison,690986,final_in_scope,,4.14,4.5,0.3986,0.6014,8,OVER,0,-3.86,OVER,0,-3.86,MATCH,,SIDE_MATCH_KS_EQUAL,690986,8
90108,2250059,2026-03-30,823080,away,Clay Holmes,605280,final_in_scope,,2.68,3.5,0.2807,0.7193,5,OVER,0,-2.32,OVER,0,-2.32,MATCH,,SIDE_MATCH_KS_EQUAL,605280,5
90110,2250060,2026-03-30,824214,home,Lance McCullers,621121,final_in_scope,,3.01,4.5,0.1866,0.8134,9,OVER,0,-5.99,OVER,0,-5.99,MATCH,,SIDE_MATCH_KS_EQUAL,621121,9
90109,2250060,2026-03-30,824214,away,Ranger Suarez,624133,final_in_scope,,4.12,4.5,0.3941,0.6059,3,UNDER,1,1.12,UNDER,1,1.12,MATCH,,SIDE_MATCH_KS_EQUAL,624133,3
90114,2250061,2026-03-30,823320,away,Landen Roupp,694738,final_in_scope,,3.2,4.5,0.2187,0.7813,7,OVER,0,-3.8,OVER,0,-3.80,MATCH,,SIDE_MATCH_KS_EQUAL,694738,7
90112,2250061,2026-03-30,823320,home,Walker Buehler,621111,final_in_scope,,2.33,3.5,0.2072,0.7928,3,UNDER,1,-0.67,UNDER,1,-0.67,MATCH,,SIDE_MATCH_KS_EQUAL,621111,3
90113,2250062,2026-03-30,823159,home,Luis Castillo,622491,final_in_scope,,4.84,5.5,0.3552,0.6448,7,OVER,0,-2.16,OVER,0,-2.16,MATCH,,SIDE_MATCH_KS_EQUAL,622491,7
90111,2250062,2026-03-30,823159,away,Ryan Weathers,677960,final_in_scope,,5.09,5.5,0.4002,0.5998,7,OVER,0,-1.91,OVER,0,-1.91,MATCH,,SIDE_MATCH_KS_EQUAL,677960,7
90118,2250063,2026-03-30,823972,home,Roki Sasaki,808963,final_in_scope,,2.11,3.5,0.1641,0.8359,4,OVER,0,-1.89,OVER,0,-1.89,MATCH,,SIDE_MATCH_KS_EQUAL,808963,4
