ledgerId,refId,modelVersion,gameId,gameDate,issues
34723,29668,wf-19288f01-p1,2250186,2026-04-10,null_core_field
34724,29669,wf-19288f01-p1,2250186,2026-04-10,null_core_field
34743,29808,wf-19288f01-p1,2250187,2026-04-10,null_core_field
34744,29809,wf-19288f01-p1,2250187,2026-04-10,null_core_field
34804,30229,wf-19288f01-p1,2250190,2026-04-10,null_core_field
34823,30368,wf-19288f01-p1,2250191,2026-04-10,null_core_field
34883,30788,wf-19288f01-p1,2250194,2026-04-10,null_core_field
34884,30789,wf-19288f01-p1,2250194,2026-04-10,null_core_field
34903,33568,wf-19288f01-p1,2252463,2026-04-10,null_core_field
35244,4981,wf-19288f01-p1,2250210,2026-04-12,null_core_field
35263,5122,wf-19288f01-p1,2250211,2026-04-12,null_core_field
35264,5124,wf-19288f01-p1,2250211,2026-04-12,null_core_field
35283,5288,wf-19288f01-p1,2250212,2026-04-12,null_core_field
35284,5289,wf-19288f01-p1,2250212,2026-04-12,null_core_field
35303,5448,wf-19288f01-p1,2250213,2026-04-12,null_core_field
35304,5449,wf-19288f01-p1,2250213,2026-04-12,null_core_field
35323,5595,wf-19288f01-p1,2250214,2026-04-12,null_core_field
35324,5597,wf-19288f01-p1,2250214,2026-04-12,null_core_field
35343,5768,wf-19288f01-p1,2250215,2026-04-12,null_core_field
35344,5769,wf-19288f01-p1,2250215,2026-04-12,null_core_field
35363,5928,wf-19288f01-p1,2250216,2026-04-12,null_core_field
35364,5929,wf-19288f01-p1,2250216,2026-04-12,null_core_field
35383,6086,wf-19288f01-p1,2250217,2026-04-12,null_core_field
35384,6088,wf-19288f01-p1,2250217,2026-04-12,null_core_field
35403,6248,wf-19288f01-p1,2250218,2026-04-12,null_core_field
35404,6249,wf-19288f01-p1,2250218,2026-04-12,null_core_field
35423,6377,wf-19288f01-p1,2250219,2026-04-12,null_core_field
35424,6379,wf-19288f01-p1,2250219,2026-04-12,null_core_field
35443,6548,wf-19288f01-p1,2250220,2026-04-12,null_core_field
35444,6549,wf-19288f01-p1,2250220,2026-04-12,null_core_field
35463,6708,wf-19288f01-p1,2250221,2026-04-12,null_core_field
35464,6709,wf-19288f01-p1,2250221,2026-04-12,null_core_field
35483,6848,wf-19288f01-p1,2250222,2026-04-12,null_core_field
35484,6849,wf-19288f01-p1,2250222,2026-04-12,null_core_field
35504,33649,wf-19288f01-p1,2252493,2026-04-12,null_core_field
35603,7648,wf-19288f01-p1,2250227,2026-04-13,null_core_field
35604,7649,wf-19288f01-p1,2250227,2026-04-13,null_core_field
35623,7821,wf-19288f01-p1,2250228,2026-04-13,null_core_field
35624,7824,wf-19288f01-p1,2250228,2026-04-13,null_core_field
35663,8128,wf-19288f01-p1,2250230,2026-04-13,null_core_field
35664,8129,wf-19288f01-p1,2250230,2026-04-13,null_core_field
35683,8288,wf-19288f01-p1,2250231,2026-04-13,null_core_field
35684,8289,wf-19288f01-p1,2250231,2026-04-13,null_core_field
35723,8448,wf-19288f01-p1,2250232,2026-04-14,null_core_field
35724,8449,wf-19288f01-p1,2250232,2026-04-14,null_core_field
35743,8608,wf-19288f01-p1,2250233,2026-04-14,null_core_field
35763,8768,wf-19288f01-p1,2250234,2026-04-14,null_core_field
