dimension,tier,series,n,meanErr,ci95,tstat,sd,mae,medianErr,pctUnderProj,meanActualKs,meanProj
line_level,3: 5-5.5,p2,800,0.255,0.1934,2.58,2.7913,2.1813,0.128,0.4738,5.09,5.345
line_level,4: 6-6.5,live,301,-0.1007,0.326,-0.61,2.8859,2.3217,-0.03,0.5017,5.767,5.667
line_level,4: 6-6.5,p1,317,0.7678,0.3288,4.58,2.9866,2.4018,0.7403,0.3849,5.801,6.569
line_level,4: 6-6.5,p2,317,0.1675,0.3301,0.99,2.9987,2.3229,-0.0547,0.5079,5.801,5.969
line_level,5: >=7,live,81,0.6417,0.6256,2.01,2.8725,2.2891,0.96,0.3951,6.136,6.778
line_level,5: >=7,p1,83,1.177,0.674,3.42,3.1328,2.662,1.1564,0.3735,6.193,7.37
line_level,5: >=7,p2,83,0.4428,0.6592,1.32,3.064,2.4317,0.5612,0.4578,6.193,6.636
line_level,no-line,live,0,,,,,,,,,
line_level,no-line,p1,273,1.1568,0.3607,6.29,3.0408,2.5625,1.194,0.3333,4.403,5.56
line_level,no-line,p2,273,0.8365,0.3569,4.59,3.009,2.4317,0.8797,0.3736,4.403,5.239
line_integer,half,live,2684,-1.0193,0.0988,-20.21,2.6126,2.2017,-0.875,0.6442,4.829,3.81
line_integer,half,p1,2827,0.6027,0.1025,11.52,2.7807,2.2199,0.5137,0.4163,4.792,5.395
line_integer,half,p2,2827,0.0485,0.1002,0.95,2.7194,2.115,-0.0349,0.5069,4.792,4.841
line_integer,integer,live,10,-0.185,1.247,-0.29,2.012,1.583,-0.015,0.5,4.3,4.115
line_integer,integer,p1,10,0.743,1.4184,1.03,2.2884,1.7304,0.7616,0.3,4.3,5.043
line_integer,integer,p2,10,0.2882,1.224,0.46,1.9748,1.3894,0.0506,0.5,4.3,4.588
line_integer,no-line,live,0,,,,,,,,,
line_integer,no-line,p1,273,1.1568,0.3607,6.29,3.0408,2.5625,1.194,0.3333,4.403,5.56
line_integer,no-line,p2,273,0.8365,0.3569,4.59,3.009,2.4317,0.8797,0.3736,4.403,5.239
ump_kmod,1: <=0.97,live,327,-0.935,0.2817,-6.5,2.5992,2.2041,-0.87,0.6575,4.716,3.781
ump_kmod,1: <=0.97,p1,364,0.5437,0.2851,3.74,2.7756,2.1847,0.3466,0.4615,4.64,5.184
ump_kmod,1: <=0.97,p2,364,0.0167,0.2811,0.12,2.7363,2.1047,-0.2013,0.5357,4.64,4.657
