gameId,side,gameDate,month,awayTeam,homeTeam,mlbGamePk,oppTeam,starterId,starterHand,starterKs,starterOuts,liveRowId,livePitcherName,liveMlbamId,liveStarterMismatch,kProj,bookLine,lineIsInteger,pOver,pUnder,anNoVigOverPct,verdict,bestSide,edgeOver,edgeUnder,liveStoredActualKs,liveStoredResult,liveStoredModelError,liveStoredModelCorrect,liveTruthKs,liveTruthSource,liveSignedError,p1MlbamId,p1ProjValue,p1POver,p1Line,p1SignedError,p2ProjValue,p2POver,p2Line,p2SignedError,asofK9,asofPriorStarts,daysRest,asofIpPerStart,oppAsofK27,oppAsofPriorGames,snapK9,snapXfip,snapHand,snapJoinVia,oppSplitK9VsHand,umpire,umpKMod
2250018,away,2026-03-27,2026-03,ATH,TOR,822839,TOR,622663,R,3,15,90029,Luis Severino,622663,0,2.17,3.5,0,0.1748,0.8252,0.5911,UNDER,UNDER,-0.4163,0.4163,3,UNDER,-0.83,1,3.0,substrate,-0.8300000000000001,622663,4.4572,0.65043,3.5,1.4572000000000003,4.4572,0.65043,3.5,1.4572000000000003,,0,,,,0,9.34,4.42316,R,id,5.6575,"Umpire: 
                                                                                    Marvin Hudson  9.2 R/G  17.2 K/G",
2250018,home,2026-03-27,2026-03,ATH,TOR,822839,ATH,592332,R,11,18,90030,Kevin Gausman,592332,0,4.88,5.5,0,0.363,0.637,0.5579,UNDER,UNDER,-0.1949,0.1949,11,OVER,-6.12,0,11.0,substrate,-6.12,592332,7.0615,0.70708,5.5,-3.9385000000000003,7.0615,0.70708,5.5,-3.9385000000000003,,0,,,,0,9.1,3.50831,R,id,6.7302,"Umpire: 
                                                                                    Marvin Hudson  9.2 R/G  17.2 K/G",
2250019,away,2026-03-27,2026-03,COL,MIA,823893,MIA,607536,L,2,13,90031,Kyle Freeland,607536,0,2.57,3.5,0,0.257,0.743,0.5813,UNDER,UNDER,-0.3243,0.3243,2,UNDER,0.57,1,2.0,substrate,0.5699999999999998,607536,4.3638,0.6342,3.5,2.3638000000000003,4.3638,0.63421,3.5,2.3638000000000003,,0,,,,0,7.95,4.21411,L,id,7.3582,"Umpire: 
                                                                                    Jordan Baker  9.6 R/G  17.0 K/G",
2250019,home,2026-03-27,2026-03,COL,MIA,823893,COL,645261,R,5,21,90032,Sandy Alcantara,645261,0,5.1,5.5,0,0.4018,0.5982,0.6288,UNDER,UNDER,-0.227,0.227,5,UNDER,0.1,1,5.0,substrate,0.09999999999999964,645261,4.3385,0.26975,5.5,-0.6615000000000002,4.3385,0.26976,5.5,-0.6615000000000002,,0,,,,0,6.89,4.43319,R,id,6.5052,"Umpire: 
                                                                                    Jordan Baker  9.6 R/G  17.0 K/G",
2250020,away,2026-03-27,2026-03,KC,ATL,824946,ATL,666142,L,5,12,90034,Cole Ragans,666142,0,7.39,6.5,0,0.606,0.394,0.3755,OVER,OVER,0.2305,-0.2305,5,UNDER,2.39,0,5.0,substrate,2.3899999999999997,666142,10.2991,0.85,6.5,5.299099999999999,10.2991,0.88762,6.5,5.299099999999999,,0,,,,0,11.46,4.3034,L,id,6.3773,"Umpire: 
                                                                                    Doug Eddings  8.8 R/G  17.9 K/G",
2250020,home,2026-03-27,2026-03,KC,ATL,824946,KC,519242,L,6,18,90033,Chris Sale,519242,0,6.87,6.5,0,0.5303,0.4697,0.398,OVER,OVER,0.1323,-0.1323,6,UNDER,0.87,0,6.0,substrate,0.8700000000000001,519242,11.0771,0.85,6.5,5.0771,11.0771,0.9245,6.5,5.0771,,0,,,,0,10.86,3.18866,L,id,6.3025,"Umpire: 
                                                                                    Doug Eddings  8.8 R/G  17.9 K/G",
2250021,away,2026-03-27,2026-03,LAA,HOU,824216,HOU,579328,L,3,13,90036,Yusei Kikuchi,579328,0,3.48,4.5,0,0.2704,0.7296,0.383,UNDER,UNDER,-0.1126,0.1126,3,UNDER,0.48,1,3.0,substrate,0.48,579328,4.8454,0.53197,4.5,1.8453999999999997,4.8454,0.53197,4.5,1.8453999999999997,,0,,,10.5,1,9.58,4.19267,L,id,6.226,"Umpire: 
                                                                                    John Tumpane  9.3 R/G  17.3 K/G",
2250021,home,2026-03-27,2026-03,LAA,HOU,824216,LAA,681347,R,6,17,90035,Mike Burrows,681347,0,5.85,5.5,0,0.5293,0.4707,0.3755,OVER,OVER,0.1538,-0.1538,6,OVER,-0.15,1,6.0,substrate,-0.15000000000000036,681347,5.4628,0.4647,5.5,-0.5372000000000003,5.4628,0.46469,5.5,-0.5372000000000003,,0,,,17.357142857142858,1,7.13,4.10377,R,id,7.5029,"Umpire: 
                                                                                    John Tumpane  9.3 R/G  17.3 K/G",
2250022,away,2026-03-27,2026-03,DET,SD,823324,SD,664285,L,5,18,90037,Framber Valdez,664285,0,3.87,4.5,0,0.3454,0.6546,0.4097,UNDER,UNDER,-0.0643,0.0643,5,OVER,-1.13,0,5.0,substrate,-1.13,664285,7.1455,0.83987,4.5,2.1455,7.1455,0.83987,4.5,2.1455,,0,,,9.0,1,7.31,4.20578,L,id,6.6522,"Umpire: 
                                                                                    Lance Barrett  9.0 R/G  17.3 K/G",
2250022,home,2026-03-27,2026-03,DET,SD,823324,DET,650633,R,6,15,90038,Michael King,650633,0,4.8,5.5,0,0.3498,0.6502,0.5532,UNDER,UNDER,-0.2034,0.2034,6,OVER,-1.2,0,6.0,substrate,-1.2000000000000002,650633,4.8786,0.36275,5.5,-1.1214000000000004,4.8786,0.36275,5.5,-1.1214000000000004,,0,,,12.0,1,7.77,4.13458,R,id,6.9949,"Umpire: 
                                                                                    Lance Barrett  9.0 R/G  17.3 K/G",
2250023,away,2026-03-27,2026-03,CLE,SEA,823162,SEA,668909,R,7,15,90039,Gavin Williams,668909,0,4.67,5.5,0,0.3269,0.6731,0.9786,UNDER,UNDER,-0.6517,0.6517,7,OVER,-2.33,0,7.0,substrate,-2.33,668909,5.2241,0.42329,5.5,-1.7759,5.2241,0.4233,5.5,-1.7759,,0,,,12.6,1,11.11,3.24381,R,id,6.8789,"Umpire: 
                                                                                    Will Little  9.1 R/G  17.7 K/G",
2250023,home,2026-03-27,2026-03,CLE,SEA,823162,CLE,669923,R,6,18,90040,George Kirby,669923,0,5.65,5.5,0,0.4966,0.5034,0.514,PASS,,-0.0174,0.0174,6,OVER,-0.35,0,6.0,substrate,-0.34999999999999964,669923,7.4961,0.75814,5.5,1.4961000000000002,7.4961,0.75814,5.5,1.4961000000000002,,0,,,11.8125,1,8.07,3.2,R,id,6.6498,"Umpire: 
                                                                                    Will Little  9.1 R/G  17.7 K/G",
2250024,away,2026-03-28,2026-03,TB,STL,823082,STL,671212,R,4,18,90044,Joe Boyle,671212,0,3.33,4.5,0,0.2435,0.7565,0.4039,UNDER,UNDER,-0.1604,0.1604,4,UNDER,-0.67,1,4.0,substrate,-0.6699999999999999,671212,6.8169,0.80964,4.5,2.8169000000000004,6.8169,0.80964,4.5,2.8169000000000004,,0,,,3.6,1,9.19,3.95795,R,id,6.5739,"Umpire: 
                                                                                    David Rackley  9.6 R/G  17.4 K/G",
2250024,home,2026-03-28,2026-03,TB,STL,823082,TB,700241,R,5,18,90043,Michael McGreevy,700241,0,2.73,3.5,0,0.2914,0.7086,0.4964,UNDER,UNDER,-0.205,0.205,5,OVER,-2.27,0,5.0,substrate,-2.27,700241,3.5728,0.47898,3.5,-1.4272,3.5728,0.47899,3.5,-1.4272,,0,,,3.6,1,5.83,3.71359,R,id,5.9016,"Umpire: 
                                                                                    David Rackley  9.6 R/G  17.4 K/G",
2250025,away,2026-03-28,2026-03,WSH,CHC,824701,CHC,571945,R,4,15,90046,Miles Mikolas,571945,0,2.25,3.5,0,0.1903,0.8097,0.6406,UNDER,UNDER,-0.4503,0.4503,4,OVER,-1.75,0,4.0,substrate,-1.75,571945,2.6951,0.28482,3.5,-1.3049,2.6951,0.28483,3.5,-1.3049,,0,,,12.272727272727272,1,4.68,4.35762,R,id,6.787,"Umpire: 
                                                                                    Jim Wolf  9.4 R/G  17.8 K/G",
2250025,home,2026-03-28,2026-03,WSH,CHC,824701,WSH,690990,R,4,19,90045,Cade Horton,690990,0,3.38,4.5,0,0.2523,0.7477,0.9394,UNDER,UNDER,-0.6871,0.6871,4,UNDER,-0.62,1,4.0,substrate,-0.6200000000000001,690990,5.108,0.57825,4.5,1.1079999999999997,5.108,0.57825,4.5,1.1079999999999997,,0,,,17.18181818181818,1,7.4,3.82496,R,id,6.2233,"Umpire: 
                                                                                    Jim Wolf  9.4 R/G  17.8 K/G",
