gameId,gameDate,mlbGamePk,awayTeam,homeTeam,gameStatus
2250173,2026-04-08,823885,CIN,MIA,final
2250174,2026-04-08,823564,ATH,NYY,final
2250175,2026-04-08,823726,DET,MIN,final
2252454,2026-04-08,823646,ARI,NYM,final
2250176,2026-04-09,823884,CIN,MIA,final
2250177,2026-04-09,823565,ATH,NYY,final
2250178,2026-04-09,823724,DET,MIN,final
2250179,2026-04-09,824130,CWS,KC,final
2250180,2026-04-09,823319,COL,SD,final
2252459,2026-04-09,823645,ARI,NYM,final
2250181,2026-04-10,824695,PIT,CHC,final
2250182,2026-04-10,824297,MIA,DET,final
2250183,2026-04-10,824534,LAA,CIN,final
2250184,2026-04-10,822829,MIN,TOR,final
2250185,2026-04-10,823643,ATH,NYM,final
2250186,2026-04-10,822997,NYY,TB,final
2250187,2026-04-10,824858,SF,BAL,final
2250188,2026-04-10,824941,CLE,ATL,final
2250189,2026-04-10,824128,CWS,KC,final
2250190,2026-04-10,823808,WSH,MIL,final
2250191,2026-04-10,823076,BOS,STL,final
2250192,2026-04-10,823318,COL,SD,final
2250193,2026-04-10,823156,HOU,SEA,final
2250194,2026-04-10,823968,TEX,LAD,final
2252463,2026-04-10,823482,ARI,PHI,final
2250195,2026-04-11,824294,MIA,DET,final
2250196,2026-04-11,824697,PIT,CHC,final
2250197,2026-04-11,822830,MIN,TOR,final
2250198,2026-04-11,824535,LAA,CIN,final
2250199,2026-04-11,823644,ATH,NYM,final
2250200,2026-04-11,824129,CWS,KC,final
2250201,2026-04-11,822996,NYY,TB,final
2250202,2026-04-11,823805,WSH,MIL,final
2250203,2026-04-11,824857,SF,BAL,final
2250204,2026-04-11,823074,BOS,STL,final
2250205,2026-04-11,824939,CLE,ATL,final
2250206,2026-04-11,823316,COL,SD,final
2250207,2026-04-11,823967,TEX,LAD,final
2250208,2026-04-11,823155,HOU,SEA,final
2252477,2026-04-11,823480,ARI,PHI,final
2250209,2026-04-12,824859,SF,BAL,final
2250210,2026-04-12,822828,MIN,TOR,final
2250211,2026-04-12,824533,LAA,CIN,final
2250212,2026-04-12,823642,ATH,NYM,final
2250213,2026-04-12,824293,MIA,DET,final
2250214,2026-04-12,822998,NYY,TB,final
2250215,2026-04-12,824126,CWS,KC,final
2250216,2026-04-12,823804,WSH,MIL,final
2250217,2026-04-12,823075,BOS,STL,final
2250218,2026-04-12,824696,PIT,CHC,final
2250219,2026-04-12,823317,COL,SD,final
2250220,2026-04-12,823154,HOU,SEA,final
2250221,2026-04-12,823966,TEX,LAD,final
2250222,2026-04-12,824938,CLE,ATL,final
2252493,2026-04-12,823479,ARI,PHI,final
2250223,2026-04-13,823153,HOU,SEA,final
2250224,2026-04-13,823400,WSH,PIT,final
2250225,2026-04-13,823481,CHC,PHI,final
2250226,2026-04-13,823563,LAA,NYY,final
2250227,2026-04-13,824937,MIA,ATL,final
2250228,2026-04-13,823725,BOS,MIN,final
2250229,2026-04-13,823073,CLE,STL,final
2250230,2026-04-13,825024,TEX,ATH,final
2250231,2026-04-13,823964,NYM,LAD,final
2252508,2026-04-13,824856,ARI,BAL,final
2250232,2026-04-14,824292,KC,DET,final
2250233,2026-04-14,823398,WSH,PIT,final
2250234,2026-04-14,824531,SF,CIN,final
2250235,2026-04-14,823478,CHC,PHI,final
2250236,2026-04-14,823562,LAA,NYY,final
2250237,2026-04-14,824935,MIA,ATL,final
2250238,2026-04-14,823723,BOS,MIN,final
2250239,2026-04-14,824616,TB,CWS,final
2250240,2026-04-14,823802,TOR,MIL,final
2250241,2026-04-14,823072,CLE,STL,final
2250242,2026-04-14,824210,COL,HOU,final
2250243,2026-04-14,823315,SEA,SD,final
2250244,2026-04-14,825022,TEX,ATH,final
2250245,2026-04-14,823965,NYM,LAD,final
2252517,2026-04-14,824853,ARI,BAL,final
2250246,2026-04-15,823071,CLE,STL,final
2250247,2026-04-15,823722,BOS,MIN,final
2250248,2026-04-15,824291,KC,DET,final
2250249,2026-04-15,823399,WSH,PIT,final
2250250,2026-04-15,824532,SF,CIN,final
2250251,2026-04-15,823477,CHC,PHI,final
2250252,2026-04-15,823561,LAA,NYY,final
2250253,2026-04-15,824936,MIA,ATL,final
2250254,2026-04-15,824615,TB,CWS,final
2250255,2026-04-15,823803,TOR,MIL,final
2250256,2026-04-15,824209,COL,HOU,final
2250257,2026-04-15,823314,SEA,SD,final
2250258,2026-04-15,825021,TEX,ATH,final
2250259,2026-04-15,823963,NYM,LAD,final
2252532,2026-04-15,824855,ARI,BAL,final
2250260,2026-04-16,823396,WSH,PIT,final
2250261,2026-04-16,824530,SF,CIN,final
2250262,2026-04-16,824289,KC,DET,final
2250263,2026-04-16,823560,LAA,NYY,final
2250264,2026-04-16,823801,TOR,MIL,final
2250265,2026-04-16,824614,TB,CWS,final
2250266,2026-04-16,825023,TEX,ATH,final
2250267,2026-04-16,824453,BAL,CLE,final
2250268,2026-04-16,824208,COL,HOU,final
2250269,2026-04-16,823313,SEA,SD,final
2250270,2026-04-17,824693,NYM,CHC,final
2250271,2026-04-17,824454,BAL,CLE,final
2250272,2026-04-17,823476,ATL,PHI,final
2250273,2026-04-17,822752,SF,WSH,final
2250274,2026-04-17,823397,TB,PIT,final
2250275,2026-04-17,823559,KC,NYY,final
2250276,2026-04-17,823883,MIL,MIA,final
2250277,2026-04-17,824778,DET,BOS,final
2250278,2026-04-17,824207,STL,HOU,final
2250279,2026-04-17,823720,CIN,MIN,final
2250280,2026-04-17,824373,LAD,COL,final
2250281,2026-04-17,824048,SD,LAA,final
2250282,2026-04-17,823152,TEX,SEA,final
2250283,2026-04-17,825019,CWS,ATH,final
2252570,2026-04-17,825101,TOR,ARI,final
2250284,2026-04-18,823558,KC,NYY,final
2250285,2026-04-18,823721,CIN,MIN,final
2250286,2026-04-18,824694,NYM,CHC,final
2250287,2026-04-18,822751,SF,WSH,final
2250288,2026-04-18,823394,TB,PIT,final
2250289,2026-04-18,825020,CWS,ATH,final
2250290,2026-04-18,824775,DET,BOS,final
2250291,2026-04-18,823882,MIL,MIA,final
2250292,2026-04-18,824451,BAL,CLE,final
2250293,2026-04-18,824206,STL,HOU,final
2250294,2026-04-18,823151,TEX,SEA,final
2250295,2026-04-18,823474,ATL,PHI,final
2250296,2026-04-18,824372,LAD,COL,final
2250297,2026-04-18,824049,SD,LAA,final
2252585,2026-04-18,825098,TOR,ARI,final
2250298,2026-04-19,824777,DET,BOS,final
2250299,2026-04-19,822750,SF,WSH,final
2250300,2026-04-19,823393,TB,PIT,final
2250301,2026-04-19,823556,KC,NYY,final
2250302,2026-04-19,824452,BAL,CLE,final
2250303,2026-04-19,823881,MIL,MIA,final
2250304,2026-04-19,824205,STL,HOU,final
2250305,2026-04-19,823718,CIN,MIN,final
2250306,2026-04-19,824691,NYM,CHC,final
2250307,2026-04-19,824371,LAD,COL,final
2250308,2026-04-19,825018,CWS,ATH,final
2250309,2026-04-19,824047,SD,LAA,final
2250310,2026-04-19,823150,TEX,SEA,final
2250311,2026-04-19,823475,ATL,PHI,final
2252600,2026-04-19,825100,TOR,ARI,final
2250312,2026-04-20,824776,DET,BOS,final
2250313,2026-04-20,824450,HOU,CLE,final
2250314,2026-04-20,822994,CIN,TB,final
2250315,2026-04-20,823879,STL,MIA,final
2250316,2026-04-20,822749,ATL,WSH,final
2250317,2026-04-20,824125,BAL,KC,final
2250318,2026-04-20,824692,PHI,CHC,final
2250319,2026-04-20,824370,LAD,COL,final
2250320,2026-04-20,824046,TOR,LAA,final
2250321,2026-04-20,823149,ATH,SEA,final
2250322,2026-04-21,824448,HOU,CLE,final
2250323,2026-04-21,822995,CIN,TB,final
2250324,2026-04-21,823880,STL,MIA,final
2250325,2026-04-21,824290,MIL,DET,final
2250326,2026-04-21,822747,ATL,WSH,final
2250327,2026-04-21,824773,NYY,BOS,final
2250328,2026-04-21,823640,MIN,NYM,final
2250329,2026-04-21,824127,BAL,KC,final
2250330,2026-04-21,824690,PHI,CHC,final
2250331,2026-04-21,822914,PIT,TEX,final
2250332,2026-04-21,824369,SD,COL,final
2250333,2026-04-21,824045,TOR,LAA,final
2250334,2026-04-21,823148,ATH,SEA,final
2250335,2026-04-21,823236,LAD,SF,final
2252625,2026-04-21,825099,CWS,ARI,final
2250336,2026-04-22,823878,STL,MIA,final
2250337,2026-04-22,824449,HOU,CLE,final
2250338,2026-04-22,822993,CIN,TB,final
2250339,2026-04-22,824123,BAL,KC,final
2250340,2026-04-22,824044,TOR,LAA,final
2250341,2026-04-22,823147,ATH,SEA,final
2250342,2026-04-22,824286,MIL,DET,final
2250343,2026-04-22,822748,ATL,WSH,final
2250344,2026-04-22,824774,NYY,BOS,final
2250345,2026-04-22,823641,MIN,NYM,final
2250346,2026-04-22,824688,PHI,CHC,final
2250347,2026-04-22,822913,PIT,TEX,final
2250348,2026-04-22,824367,SD,COL,final
2250349,2026-04-22,823231,LAD,SF,final
2252640,2026-04-22,825097,CWS,ARI,final
2250350,2026-04-23,822745,ATL,WSH,final
2250351,2026-04-23,824288,MIL,DET,final
2250352,2026-04-23,824689,PHI,CHC,final
2250353,2026-04-23,824368,SD,COL,final
2250354,2026-04-23,823233,LAD,SF,final
2250355,2026-04-23,824770,NYY,BOS,final
2250356,2026-04-23,823639,MIN,NYM,final
2250357,2026-04-23,822912,PIT,TEX,final
2252646,2026-04-23,825096,CWS,ARI,final
2250358,2026-04-24,824529,DET,CIN,final
2250359,2026-04-24,824854,BOS,BAL,final
2250360,2026-04-24,822827,CLE,TOR,final
2250361,2026-04-24,823638,COL,NYM,final
2250362,2026-04-24,822992,MIN,TB,final
2250363,2026-04-24,824932,PHI,ATL,final
