modelVersion,gameId,gameDate,side,mlbamId,playerName,projValue,line,pOver,mu_used,k_factor,expected_projValue,projValue_abs_diff,expected_pOver,abs_diff,check
wf-19288f01-p1,2250041,2026-03-29,home,641778,Eric Lauer,7.8987,4.5,0.85000,7.8987,,,,0.85,0.0,PASS
wf-19288f01-p1,2250042,2026-03-29,away,813349,Connelly Early,10.1899,,,,,,,,,
wf-19288f01-p1,2250042,2026-03-29,home,695076,Rhett Lowder,4.9869,4.5,0.55721,4.9869,,,,0.557205,4.91e-06,PASS
wf-19288f01-p1,2250043,2026-03-29,away,669387,Carmen Mlodzinski,7.8836,,,,,,,,,
wf-19288f01-p1,2250043,2026-03-29,home,690997,Nolan McLean,9.8105,6.5,0.85000,9.8105,,,,0.85,0.0,PASS
wf-19288f01-p1,2250044,2026-03-29,away,500779,Jose Quintana,3.4476,3.5,0.45202,3.4476,,,,0.452019,9.7e-07,PASS
wf-19288f01-p1,2250044,2026-03-29,home,676974,Max Meyer,5.0147,5.5,0.38662,5.0147,,,,0.386619,1.3e-06,PASS
wf-19288f01-p1,2250045,2026-03-29,away,686799,Jack Kochanowicz,2.2688,2.5,0.39567,2.2688,,,,0.395671,1.07e-06,PASS
wf-19288f01-p1,2250045,2026-03-29,home,837227,Tatsuya Imai,4.8575,,,,,,,,,
wf-19288f01-p1,2250046,2026-03-29,away,641743,Anthony Kay,4.7196,,,,,,,,,
wf-19288f01-p1,2250046,2026-03-29,home,687075,Brandon Sproat,6.0380,4.5,0.72000,6.038,,,,0.719998,2.31e-06,PASS
wf-19288f01-p1,2250047,2026-03-29,away,571927,Steven Matz,5.4505,,,,,,,,,
wf-19288f01-p1,2250047,2026-03-29,home,669160,Dustin May,4.7527,4.5,0.51511,4.7527,,,,0.515098,1.218e-05,PASS
wf-19288f01-p1,2250048,2026-03-29,away,663623,Jake Irvin,2.8074,3.5,0.30970,2.8074,,,,0.309709,9.38e-06,PASS
wf-19288f01-p1,2250048,2026-03-29,home,684007,Shota Imanaga,4.3098,4.5,0.43145,4.3098,,,,0.431455,5.42e-06,PASS
wf-19288f01-p1,2250049,2026-03-29,away,677944,Slade Cecconi,4.2742,4.5,0.42457,4.2742,,,,0.424571,7.9e-07,PASS
wf-19288f01-p1,2250049,2026-03-29,home,676106,Emerson Hancock,3.3232,3.5,0.42479,3.3232,,,,0.424781,8.57e-06,PASS
wf-19288f01-p1,2250050,2026-03-30,away,680573,Simeon Woods Richardson,4.4465,3.5,0.64860,4.4465,,,,0.648597,2.68e-06,PASS
wf-19288f01-p1,2250050,2026-03-30,home,663460,Kris Bubic,8.0472,4.5,0.85000,8.0472,,,,0.85,0.0,PASS
wf-19288f01-p1,2250051,2026-03-30,away,683004,Jack Leiter,5.1483,5.5,0.41004,5.1483,,,,0.410042,2.37e-06,PASS
