state,fold,game_pk,hash_recovered,hash_committed,hash_match,p_home_recovered,p_home_committed,p_home_match_6dp,n_traj,gates
C,2023,716668,f1bdbc67de32b4ad,f1bdbc67de32b4ad,True,0.652393,0.652393,True,400000,PASS
C,2023,717780,4b17b7ab9fc75820,4b17b7ab9fc75820,True,0.575565,0.575565,True,400000,PASS
C,2024,745602,f919737a2ee1b8a5,f919737a2ee1b8a5,True,0.431437,0.431437,True,400000,PASS
C,2024,716904,6855d1522a3c128f,6855d1522a3c128f,True,0.572277,0.572277,True,400000,PASS
C,2024,745838,a87a187deea4431d,a87a187deea4431d,True,0.46039,0.46039,True,400000,PASS
C,2024,716390,b0ba339818c029fc,b0ba339818c029fc,True,0.361055,0.361055,True,400000,PASS
C,2024,717302,489864af634b5c17,489864af634b5c17,True,0.366187,0.366187,True,400000,PASS
C,2025,777430,818aa48c39a702d5,818aa48c39a702d5,True,0.364812,0.364812,True,400000,PASS
C,2025,776148,0eccdff73c134349,0eccdff73c134349,True,0.38748,0.38748,True,400000,PASS
C,2025,776537,4e7772c401fa4d1f,4e7772c401fa4d1f,True,0.394078,0.394078,True,400000,PASS
C,2025,777534,82a0d7d60eb852d8,82a0d7d60eb852d8,True,0.33877,0.33877,True,400000,PASS
C,2025,745281,9ecc2336524bb41f,9ecc2336524bb41f,True,0.475973,0.475973,True,400000,PASS
C,2026,776315,eb0a614c0d17c902,eb0a614c0d17c902,True,0.404905,0.404905,True,400000,PASS
C,2026,777355,80a6c9122374c650,80a6c9122374c650,True,0.588117,0.588117,True,400000,PASS
C,2026,776657,e665c22c9fb67778,e665c22c9fb67778,True,0.47118,0.47118,True,400000,PASS
C,2026,824186,6bc31564fe10a6af,6bc31564fe10a6af,True,0.440368,0.440368,True,400000,PASS
C,2026,776660,bb62a6d59587f64c,bb62a6d59587f64c,True,0.187665,0.187665,True,400000,PASS
