gameId,gameDate,month,bookTotal,f5Total_book,modelF5Total_synth,synth_reconstructed,diff_synth_book
2250051,2026-03-30,2026-03,9.0,5.5,5.0,5.0,-0.5
2250052,2026-03-30,2026-03,8.5,4.5,4.5,4.5,0.0
2250053,2026-03-30,2026-03,9.0,5.5,5.0,5.0,-0.5
2250054,2026-03-30,2026-03,8.0,4.5,4.5,4.5,0.0
2250055,2026-03-30,2026-03,8.0,4.5,4.5,4.5,0.0
2250056,2026-03-30,2026-03,9.0,4.5,5.0,5.0,0.5
2250057,2026-03-30,2026-03,10.0,5.5,5.5,5.5,0.0
2250058,2026-03-30,2026-03,8.0,4.5,4.5,4.5,0.0
2250059,2026-03-30,2026-03,9.0,4.5,5.0,5.0,0.5
2250060,2026-03-30,2026-03,8.5,4.5,4.5,4.5,0.0
2250061,2026-03-30,2026-03,8.5,4.5,4.5,4.5,0.0
2250062,2026-03-30,2026-03,7.5,4.5,4.0,4.0,-0.5
2250063,2026-03-30,2026-03,9.0,4.5,5.0,5.0,0.5
2250064,2026-03-31,2026-03,8.5,4.5,4.5,4.5,0.0
2250065,2026-03-31,2026-03,9.0,4.5,5.0,5.0,0.5
2250066,2026-03-31,2026-03,9.5,5.5,5.5,5.5,0.0
2250067,2026-03-31,2026-03,8.5,4.5,4.5,4.5,0.0
2250068,2026-03-31,2026-03,8.0,4.5,4.5,4.5,0.0
2250069,2026-03-31,2026-03,9.0,5.5,5.0,5.0,-0.5
2250077,2026-04-01,2026-04,7.5,4.5,4.0,4.0,-0.5
2250078,2026-04-01,2026-04,8.5,4.5,4.5,4.5,0.0
2250079,2026-04-01,2026-04,7.5,3.5,4.0,4.0,0.5
2250080,2026-04-01,2026-04,8.0,4.5,4.5,4.5,0.0
2250081,2026-04-01,2026-04,7.5,4.5,4.0,4.0,-0.5
2250082,2026-04-01,2026-04,7.5,4.5,4.0,4.0,-0.5
2250083,2026-04-01,2026-04,7.5,4.5,4.0,4.0,-0.5
2250084,2026-04-01,2026-04,7.0,3.5,4.0,4.0,0.5
2250085,2026-04-01,2026-04,7.0,3.5,4.0,4.0,0.5
2250086,2026-04-01,2026-04,6.0,3.5,3.5,3.5,0.0
2250087,2026-04-01,2026-04,8.0,4.5,4.5,4.5,0.0
2250088,2026-04-01,2026-04,7.0,3.5,4.0,4.0,0.5
2250089,2026-04-01,2026-04,8.0,3.5,4.5,4.5,1.0
2250090,2026-04-01,2026-04,8.0,4.5,4.5,4.5,0.0
2250091,2026-04-02,2026-04,9.5,5.5,5.5,5.5,0.0
2250093,2026-04-02,2026-04,8.0,4.5,4.5,4.5,0.0
2250094,2026-04-03,2026-04,9.5,4.5,5.5,5.5,1.0
2250095,2026-04-03,2026-04,8.0,4.5,4.5,4.5,0.0
2250096,2026-04-03,2026-04,8.0,4.5,4.5,4.5,0.0
2250097,2026-04-03,2026-04,8.5,4.5,4.5,4.5,0.0
2250098,2026-04-03,2026-04,8.0,4.5,4.5,4.5,0.0
2250099,2026-04-03,2026-04,7.5,3.5,4.0,4.0,0.5
2250100,2026-04-03,2026-04,7.5,4.5,4.0,4.0,-0.5
