gameId,gameDate,calib_month,T_f5,league_env_mult,f5_total_sd,stored_pF5AwayMl,recomputed_pF5AwayMl,absdiff_pF5AwayMl,MISMATCH_pF5AwayMl,stored_projF5Total,recomputed_projF5Total,absdiff_projF5Total,MISMATCH_projF5Total,stored_pF5Over,recomputed_pF5Over,absdiff_pF5Over,MISMATCH_pF5Over,stored_pF5AwayRl,recomputed_pF5AwayRl,absdiff_pF5AwayRl,MISMATCH_pF5AwayRl
2250088,2026-04-01,2026-04,1.0,1.0,2.9,0.4357,0.4357,0.0,0,3.933,3.933,0.0,0,0.4255,0.4255,0.0,0,0.6156,0.6156,0.0,0
2250089,2026-04-01,2026-04,1.0,1.0,2.9,0.4073,0.4073,0.0,0,4.251,4.251,0.0,0,0.4011,0.4011,0.0,0,0.5781,0.5781,0.0,0
2250090,2026-04-01,2026-04,1.0,1.0,2.9,0.3598,0.3598,0.0,0,4.434,4.434,0.0,0,0.4252,0.4252,0.0,0,0.525,0.525,0.0,0
2250091,2026-04-02,2026-04,1.0,1.0,2.9,0.3912,0.3912,0.0,0,4.519,4.519,0.0,0,0.3204,0.3204,0.0,0,0.5556,0.5556,0.0,0
2250092,2026-04-03,2026-04,1.0,1.0,2.9,0.4406,0.4406,0.0,0,4.48,4.48,0.0,0,0.431,0.431,0.0,0,0.6042,0.6042,0.0,0
2250093,2026-04-02,2026-04,1.0,1.0,2.9,0.4153,0.4153,0.0,0,4.259,4.259,0.0,0,0.4017,0.4017,0.0,0,0.5856,0.5856,0.0,0
2250094,2026-04-03,2026-04,1.0,1.0,2.9,0.5212,0.5212,0.0,0,5.299,5.299,0.0,0,0.4136,0.4136,0.0,0,0.666,0.666,0.0,0
2250095,2026-04-03,2026-04,1.0,1.0,2.9,0.4032,0.4032,0.0,0,4.406,4.406,0.0,0,0.4203,0.4203,0.0,0,0.5685,0.5685,0.0,0
2250096,2026-04-03,2026-04,1.0,1.0,2.9,0.4311,0.4311,0.0,0,4.643,4.643,0.0,0,0.4525,0.4525,0.0,0,0.5911,0.5911,0.0,0
2250097,2026-04-03,2026-04,1.0,1.0,2.9,0.4271,0.4271,0.0,0,4.346,4.346,0.0,0,0.4137,0.4137,0.0,0,0.5953,0.5953,0.0,0
2250098,2026-04-03,2026-04,1.0,1.0,2.9,0.453,0.453,0.0,0,4.272,4.272,0.0,0,0.4036,0.4036,0.0,0,0.6221,0.6221,0.0,0
2250099,2026-04-03,2026-04,1.0,1.0,2.9,0.4448,0.4448,0.0,0,4.023,4.023,0.0,0,0.438,0.438,0.0,0,0.6206,0.6206,0.0,0
2250100,2026-04-03,2026-04,1.0,1.0,2.9,0.4339,0.4339,0.0,0,4.946,4.946,0.0,0,0.557,0.557,0.0,0,0.5878,0.5878,0.0,0
2250101,2026-04-03,2026-04,1.0,1.0,2.9,0.4152,0.4152,0.0,0,6.508,6.508,0.0,0,0.5468,0.5468,0.0,0,0.5445,0.5445,0.0,0
2250102,2026-04-03,2026-04,1.0,1.0,2.9,0.4637,0.4637,0.0,0,4.647,4.647,0.0,0,0.4535,0.4535,0.0,0,0.6236,0.6236,0.0,0
2250103,2026-04-04,2026-04,1.0,1.0,2.9,0.4813,0.4813,0.0,0,4.53,4.53,0.0,0,0.3796,0.3796,0.0,0,0.6434,0.6434,0.0,0
2250104,2026-04-03,2026-04,1.0,1.0,2.9,0.4521,0.4521,0.0,0,4.19,4.19,0.0,0,0.3925,0.3925,0.0,0,0.6238,0.6238,0.0,0
2250105,2026-04-03,2026-04,1.0,1.0,2.9,0.4313,0.4313,0.0,0,5.742,5.742,0.0,0,0.4654,0.4654,0.0,0,0.5715,0.5715,0.0,0
2250106,2026-04-03,2026-04,1.0,1.0,2.9,0.4248,0.4248,0.0,0,3.984,3.984,0.0,0,0.4321,0.4321,0.0,0,0.6026,0.6026,0.0,0
2250107,2026-04-04,2026-04,1.0,1.0,2.9,0.3925,0.3925,0.0,0,4.508,4.508,0.0,0,0.5031,0.5031,0.0,0,0.5567,0.5567,0.0,0
2250108,2026-04-04,2026-04,1.0,1.0,2.9,0.469,0.469,0.0,0,4.21,4.21,0.0,0,0.3953,0.3953,0.0,0,0.6395,0.6395,0.0,0
