gameId,gameDate,away,home,f5Total,bookTotal,f5AwayRunLine,f5HomeRunLine,issues
2251439,2026-07-22,LAD,PHI,3.5,9.5,-0.5,-1.5,f5Total/bookTotal=0.37;rl_not_mirrored(-0.5/-1.5)
2251442,2026-07-22,SD,ATL,4.5,8.5,1.5,-1.5,abs(f5RL)==abs(fgRL)
2251446,2026-07-23,SD,ATL,4.5,8.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2251449,2026-07-23,KC,DET,0.5,8.5,0.5,-0.5,f5Total/bookTotal=0.06
2251450,2026-07-24,COL,MIL,4.5,8.5,1.5,-1.5,abs(f5RL)==abs(fgRL)
2251451,2026-07-24,KC,DET,3.5,7.5,1.5,-1.5,abs(f5RL)==abs(fgRL)
2251452,2026-07-24,CHC,PIT,0.5,8.0,0.5,-0.5,f5Total/bookTotal=0.06
2251454,2026-07-24,ATL,BAL,4.5,8.5,2.5,-0.5,rl_not_mirrored(2.5/-0.5)
2251455,2026-07-24,LAD,NYM,2.5,9.0,-0.5,0.5,f5Total/bookTotal=0.28
2251458,2026-07-24,SD,MIA,3.5,9.0,1.5,-0.5,f5Total/bookTotal=0.39;rl_not_mirrored(1.5/-0.5);abs(f5RL)==abs(fgRL)
2252284,2026-03-26,ARI,LAD,4.5,9.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2252307,2026-03-28,ARI,LAD,4.5,8.5,1.5,-1.5,abs(f5RL)==abs(fgRL)
2252971,2026-05-17,ARI,COL,5.5,10.5,-2.5,0.5,rl_not_mirrored(-2.5/0.5)
2253067,2026-05-24,COL,ARI,7.5,9.0,0.5,-0.5,f5Total/bookTotal=0.83
2253491,2026-07-23,ARI,STL,5.5,8.0,-0.5,-0.5,rl_not_mirrored(-0.5/-0.5)
2253711,2026-07-11,ARI,LAD,4.5,8.5,1.5,-1.5,abs(f5RL)==abs(fgRL)
2253825,2026-07-24,ARI,WSH,5.5,9.5,-1.5,1.5,abs(f5RL)==abs(fgRL)
