sliceType,sliceKey,n,actual_mean,p1_proj_mean,p1_bias,p1_bias_se,p1_bias_pct,p2_proj_mean,p2_bias,p2_bias_se,p2_bias_pct,live_n,live_bias,live_bias_se,p2atlive_bias
park,NYM(pf=1.024),50,5.240,4.808,-0.432,0.526,-8.24,4.897,-0.343,0.525,-6.54,50,-0.614,0.530,-0.343
park,NYY(pf=1.018),49,4.980,4.678,-0.302,0.472,-6.05,4.779,-0.200,0.475,-4.02,48,-0.050,0.486,-0.256
park,PHI(pf=1.048),53,5.396,5.040,-0.357,0.482,-6.61,5.135,-0.262,0.484,-4.85,52,-0.343,0.475,-0.161
park,PIT(pf=1.051),52,5.942,4.745,-1.197,0.568,-20.14,4.846,-1.096,0.564,-18.45,52,-1.393,0.564,-1.096
park,SD(pf=0.894),51,4.431,4.250,-0.182,0.377,-4.10,4.342,-0.090,0.380,-2.03,50,-0.264,0.383,-0.138
park,SEA(pf=0.841),53,3.698,3.836,0.138,0.365,3.73,3.917,0.219,0.367,5.92,53,0.305,0.349,0.219
park,SF(pf=0.941),48,4.562,4.367,-0.196,0.503,-4.29,4.453,-0.110,0.500,-2.40,47,-0.294,0.514,-0.052
park,STL(pf=0.927),54,4.093,4.401,0.308,0.350,7.52,4.494,0.402,0.351,9.82,53,0.488,0.352,0.411
park,TB(pf=0.985),51,4.902,4.457,-0.445,0.379,-9.08,4.557,-0.345,0.380,-7.04,51,-0.435,0.387,-0.345
park,TEX(pf=0.883),50,5.160,4.113,-1.047,0.399,-20.29,4.203,-0.957,0.398,-18.55,49,-1.434,0.407,-0.942
park,TOR(pf=1.003),56,4.464,4.669,0.205,0.408,4.59,4.754,0.289,0.409,6.48,56,0.291,0.399,0.289
park,WSH(pf=1.153),52,6.231,5.564,-0.667,0.483,-10.71,5.692,-0.539,0.486,-8.65,51,-0.616,0.504,-0.517
month,2026-03,76,4.645,4.527,-0.117,0.360,-2.53,4.527,-0.117,0.360,-2.53,75,0.078,0.359,-0.081
month,2026-04,392,4.946,4.648,-0.298,0.152,-6.03,4.648,-0.298,0.152,-6.03,388,-0.194,0.154,-0.309
month,2026-05,419,4.931,4.709,-0.222,0.154,-4.50,4.924,-0.007,0.154,-0.14,405,-0.313,0.159,-0.004
month,2026-06,394,5.261,4.771,-0.491,0.169,-9.33,4.845,-0.417,0.169,-7.92,394,-0.629,0.170,-0.417
month,2026-07,274,5.193,4.791,-0.402,0.207,-7.74,4.917,-0.277,0.207,-5.33,274,-0.535,0.208,-0.277
ALL,ALL,1555,5.051,4.715,-0.336,0.082,-6.65,4.814,-0.237,0.082,-4.69,1536,-0.385,0.083,-0.239
