rgId,gameId,gameDate,market,source,modelVersion,pick,prob,projValue,line,actual,stored_result,stored_correct,stored_brier,stored_signedError,f5_actual,issues,status
582,2250087,2026-04-01,f5_ml,live_pregame,live,HOME,0.3831,,+126,HOME,WIN,1,0.146766,,0-2,,ok
589,2250088,2026-04-01,f5_ml,live_pregame,live,HOME,0.4543,,-106,AWAY,LOSS,0,0.297788,,1-0,,ok
596,2250089,2026-04-01,f5_ml,live_pregame,live,HOME,0.405,,-124,HOME,WIN,1,0.164025,,1-5,,ok
603,2250090,2026-04-01,f5_ml,live_pregame,live,HOME,0.3357,,+215,AWAY,LOSS,0,0.441294,,2-0,,ok
617,2250091,2026-04-02,f5_ml,live_pregame,live,HOME,0.4041,,+130,AWAY,LOSS,0,0.355097,,1-0,,ok
624,2250093,2026-04-02,f5_ml,live_pregame,live,HOME,0.4192,,-128,HOME,WIN,1,0.175729,,2-6,,ok
638,2250094,2026-04-03,f5_ml,live_pregame,live,AWAY,0.5423,,-260,AWAY,WIN,1,0.209489,,11-4,,ok
645,2250095,2026-04-03,f5_ml,live_pregame,live,HOME,0.4096,,+150,HOME,WIN,1,0.167772,,0-3,,ok
652,2250096,2026-04-03,f5_ml,live_pregame,live,HOME,0.4315,,+116,HOME,WIN,1,0.186192,,2-4,,ok
659,2250097,2026-04-03,f5_ml,live_pregame,live,HOME,0.4355,,+102,TIE,PUSH,,,,2-2,,ok
666,2250098,2026-04-03,f5_ml,live_pregame,live,HOME,0.417,,+134,TIE,PUSH,,,,2-2,,ok
673,2250099,2026-04-03,f5_ml,live_pregame,live,HOME,0.4472,,-106,TIE,PUSH,,,,1-1,,ok
680,2250100,2026-04-03,f5_ml,live_pregame,live,HOME,0.4222,,-104,TIE,PUSH,,,,3-3,,ok
687,2250101,2026-04-03,f5_ml,live_pregame,live,HOME,0.4899,,-188,AWAY,LOSS,0,0.260202,,10-1,,ok
694,2250102,2026-04-03,f5_ml,live_pregame,live,HOME,0.4638,,-118,HOME,WIN,1,0.21511,,2-5,,ok
701,2250104,2026-04-03,f5_ml,live_pregame,live,HOME,0.4931,,-160,TIE,PUSH,,,,0-0,,ok
708,2250105,2026-04-03,f5_ml,live_pregame,live,HOME,0.423,,-110,HOME,WIN,1,0.178929,,1-11,,ok
715,2250106,2026-04-03,f5_ml,live_pregame,live,HOME,0.444,,-140,AWAY,LOSS,0,0.309136,,5-0,,ok
729,2250107,2026-04-04,f5_ml,live_pregame,live,HOME,0.379,,+116,HOME,WIN,1,0.143641,,6-8,,ok
736,2250108,2026-04-04,f5_ml,live_pregame,live,HOME,0.4517,,-140,HOME,WIN,1,0.204033,,0-1,,ok
743,2250109,2026-04-04,f5_ml,live_pregame,live,AWAY,0.5533,,-290,AWAY,WIN,1,0.199541,,9-2,,ok
750,2250110,2026-04-04,f5_ml,live_pregame,live,HOME,0.3944,,+104,AWAY,LOSS,0,0.366751,,7-0,,ok
757,2250111,2026-04-04,f5_ml,live_pregame,live,HOME,0.4337,,-114,AWAY,LOSS,0,0.320696,,2-1,,ok
764,2250112,2026-04-04,f5_ml,live_pregame,live,HOME,0.4073,,+134,AWAY,LOSS,0,0.351293,,2-1,,ok
771,2250113,2026-04-04,f5_ml,live_pregame,live,HOME,0.4387,,-118,AWAY,LOSS,0,0.315058,,5-0,,ok
778,2250114,2026-04-04,f5_ml,live_pregame,live,HOME,0.4422,,+116,AWAY,LOSS,0,0.311141,,2-0,,ok
785,2250115,2026-04-04,f5_ml,live_pregame,live,HOME,0.3628,,+148,AWAY,LOSS,0,0.406024,,4-2,,ok
792,2250116,2026-04-04,f5_ml,live_pregame,live,HOME,0.4948,,-106,AWAY,LOSS,0,0.255227,,6-1,,ok
827,2250117,2026-04-05,f5_ml,live_pregame,live,HOME,0.467,,-150,AWAY,LOSS,0,0.284089,,1-0,,ok
799,2250118,2026-04-04,f5_ml,live_pregame,live,HOME,0.4666,,-225,AWAY,LOSS,0,0.284516,,2-1,,ok
806,2250119,2026-04-04,f5_ml,live_pregame,live,HOME,0.471,,-112,AWAY,LOSS,0,0.279841,,8-0,,ok
813,2250120,2026-04-04,f5_ml,live_pregame,live,AWAY,0.5342,,-150,HOME,LOSS,0,0.28537,,0-1,,ok
834,2250121,2026-04-05,f5_ml,live_pregame,live,HOME,0.4705,,-152,HOME,WIN,1,0.22137,,1-6,,ok
841,2250122,2026-04-05,f5_ml,live_pregame,live,HOME,0.4205,,-104,HOME,WIN,1,0.17682,,1-6,,ok
848,2250123,2026-04-05,f5_ml,live_pregame,live,HOME,0.423,,+158,AWAY,LOSS,0,0.332929,,6-4,,ok
855,2250124,2026-04-05,f5_ml,live_pregame,live,HOME,0.348,,+240,HOME,WIN,1,0.121104,,2-4,,ok
862,2250125,2026-04-05,f5_ml,live_pregame,live,HOME,0.4223,,-150,TIE,PUSH,,,,0-0,,ok
869,2250126,2026-04-05,f5_ml,live_pregame,live,HOME,0.4027,,+112,TIE,PUSH,,,,1-1,,ok
876,2250127,2026-04-05,f5_ml,live_pregame,live,HOME,0.4417,,-148,HOME,WIN,1,0.195099,,0-3,,ok
883,2250128,2026-04-05,f5_ml,live_pregame,live,HOME,0.4259,,+108,AWAY,LOSS,0,0.329591,,4-2,,ok
890,2250129,2026-04-05,f5_ml,live_pregame,live,HOME,0.4172,,-108,AWAY,LOSS,0,0.339656,,1-0,,ok
897,2250130,2026-04-05,f5_ml,live_pregame,live,HOME,0.4948,,-132,HOME,WIN,1,0.244827,,1-4,,ok
904,2250131,2026-04-05,f5_ml,live_pregame,live,HOME,0.3486,,-140,HOME,WIN,1,0.121522,,3-5,,ok
911,2250132,2026-04-05,f5_ml,live_pregame,live,HOME,0.4298,,+104,AWAY,LOSS,0,0.325128,,1-0,,ok
918,2250133,2026-04-05,f5_ml,live_pregame,live,HOME,0.4986,,-166,HOME,WIN,1,0.248602,,5-6,,ok
925,2250134,2026-04-05,f5_ml,live_pregame,live,HOME,0.4503,,+106,AWAY,LOSS,0,0.30217,,4-2,,ok
939,2250135,2026-04-06,f5_ml,live_pregame,live,HOME,0.4506,,+114,HOME,WIN,1,0.20304,,2-4,,ok
946,2250136,2026-04-06,f5_ml,live_pregame,live,HOME,0.4026,,-104,TIE,PUSH,,,,1-1,,ok
953,2250137,2026-04-06,f5_ml,live_pregame,live,HOME,0.3606,,+118,AWAY,LOSS,0,0.408832,,3-0,,ok
960,2250138,2026-04-06,f5_ml,live_pregame,live,HOME,0.4069,,+110,AWAY,LOSS,0,0.351768,,1-0,,ok
967,2250139,2026-04-06,f5_ml,live_pregame,live,HOME,0.3996,,-108,HOME,WIN,1,0.15968,,1-2,,ok
974,2250140,2026-04-06,f5_ml,live_pregame,live,HOME,0.4647,,-128,TIE,PUSH,,,,5-5,,ok
981,2250141,2026-04-06,f5_ml,live_pregame,live,AWAY,0.5013,,-135,AWAY,WIN,1,0.248702,,6-1,,ok
988,2250142,2026-04-06,f5_ml,live_pregame,live,HOME,0.4249,,+110,HOME,WIN,1,0.18054,,3-5,,ok
995,2250143,2026-04-06,f5_ml,live_pregame,live,HOME,0.4143,,-135,AWAY,LOSS,0,0.343044,,1-0,,ok
1002,2250144,2026-04-06,f5_ml,live_pregame,live,HOME,0.4152,,-106,TIE,PUSH,,,,1-1,,ok
1009,2250145,2026-04-06,f5_ml,live_pregame,live,HOME,0.4713,,-148,HOME,WIN,1,0.222124,,3-8,,ok
1016,2250146,2026-04-06,f5_ml,live_pregame,live,HOME,0.4873,,-172,HOME,WIN,1,0.237461,,1-6,,ok
1023,2250147,2026-04-06,f5_ml,live_pregame,live,HOME,0.4399,,-118,HOME,WIN,1,0.193512,,2-4,,ok
1030,2250148,2026-04-07,f5_ml,live_pregame,live,HOME,0.4284,,-112,TIE,PUSH,,,,1-1,,ok
1037,2250149,2026-04-07,f5_ml,live_pregame,live,HOME,0.4226,,+136,HOME,WIN,1,0.178591,,0-2,,ok
1044,2250150,2026-04-07,f5_ml,live_pregame,live,HOME,0.4437,,-111,AWAY,LOSS,0,0.30947,,4-0,,ok
1051,2250151,2026-04-07,f5_ml,live_pregame,live,HOME,0.4308,,+106,HOME,WIN,1,0.185589,,0-2,,ok
1058,2250152,2026-04-07,f5_ml,live_pregame,live,HOME,0.4577,,-113,HOME,WIN,1,0.209489,,2-4,,ok
1065,2250153,2026-04-07,f5_ml,live_pregame,live,HOME,0.4059,,+154,TIE,PUSH,,,,0-0,,ok
1072,2250154,2026-04-07,f5_ml,live_pregame,live,HOME,0.3644,,+172,AWAY,LOSS,0,0.403987,,3-1,,ok
1079,2250155,2026-04-07,f5_ml,live_pregame,live,HOME,0.4716,,-152,AWAY,LOSS,0,0.279207,,3-0,,ok
1086,2250156,2026-04-07,f5_ml,live_pregame,live,HOME,0.4773,,-192,HOME,WIN,1,0.227815,,0-4,,ok
1093,2250157,2026-04-07,f5_ml,live_pregame,live,HOME,0.4615,,-150,HOME,WIN,1,0.212982,,1-2,,ok
1100,2250158,2026-04-07,f5_ml,live_pregame,live,HOME,0.3713,,-116,HOME,WIN,1,0.137864,,2-3,,ok
1107,2250159,2026-04-07,f5_ml,live_pregame,live,HOME,0.4636,,-170,HOME,WIN,1,0.214925,,1-3,,ok
1114,2250160,2026-04-07,f5_ml,live_pregame,live,HOME,0.4546,,-128,AWAY,LOSS,0,0.297461,,4-2,,ok
1121,2250161,2026-04-07,f5_ml,live_pregame,live,HOME,0.5,,-148,HOME,WIN,1,0.25,,0-3,,ok
1135,2250162,2026-04-08,f5_ml,live_pregame,live,HOME,0.4336,,-128,TIE,PUSH,,,,0-0,,ok
1142,2250163,2026-04-08,f5_ml,live_pregame,live,HOME,0.4014,,-148,HOME,WIN,1,0.161122,,2-5,,ok
1149,2250164,2026-04-08,f5_ml,live_pregame,live,HOME,0.4612,,+124,HOME,WIN,1,0.212705,,0-3,,ok
1156,2250165,2026-04-08,f5_ml,live_pregame,live,AWAY,0.5048,,-168,HOME,LOSS,0,0.254823,,2-3,,ok
1163,2250166,2026-04-08,f5_ml,live_pregame,live,HOME,0.4712,,-124,HOME,WIN,1,0.222029,,0-3,,ok
1170,2250167,2026-04-08,f5_ml,live_pregame,live,HOME,0.4802,,-156,TIE,PUSH,,,,1-1,,ok
1177,2250168,2026-04-08,f5_ml,live_pregame,live,HOME,0.4613,,-130,HOME,WIN,1,0.212798,,1-7,,ok
1184,2250169,2026-04-08,f5_ml,live_pregame,live,HOME,0.4125,,-130,TIE,PUSH,,,,0-0,,ok
1191,2250170,2026-04-08,f5_ml,live_pregame,live,HOME,0.4336,,-122,AWAY,LOSS,0,0.320809,,3-1,,ok
1198,2250171,2026-04-08,f5_ml,live_pregame,live,HOME,0.4384,,-112,AWAY,LOSS,0,0.315395,,7-2,,ok
1205,2250172,2026-04-08,f5_ml,live_pregame,live,HOME,0.4514,,-112,AWAY,LOSS,0,0.300962,,6-1,,ok
1212,2250173,2026-04-08,f5_ml,live_pregame,live,HOME,0.3966,,+112,HOME,WIN,1,0.157292,,4-6,,ok
1219,2250174,2026-04-08,f5_ml,live_pregame,live,HOME,0.4134,,+140,TIE,PUSH,,,,2-2,,ok
1226,2250175,2026-04-08,f5_ml,live_pregame,live,HOME,0.4303,,-164,HOME,WIN,1,0.185158,,0-7,,ok
1240,2250176,2026-04-09,f5_ml,live_pregame,live,HOME,0.4453,,+102,HOME,WIN,1,0.198292,,1-4,,ok
