gameId,gameDate,matchup,mlbGamePk,actualF5Away,actualF5Home,actualF5Total,lsF5,f5AwayRunLine,f5Total,modelF5AwayWinPct,modelF5HomeWinPct,modelF5AwayRLCoverPct,modelF5AwayScore,modelF5HomeScore,modelF5OverRate,stored_f5MlResult,derived_f5MlResult,f5Ml_status,stored_f5MlCorrect,derived_f5MlCorrect,stored_f5RlResult,derived_f5Rl_probConv,derived_f5Rl_marginConv,f5Rl_status,f5Rl_convDisagree,stored_f5RlCorrect,derived_f5RlCorrect_probConv,derived_f5RlCorrect_marginConv,stored_f5TotalResult,derived_f5TotalResult,f5Total_status,stored_f5TotalCorrect,derived_f5TotalCorrect,stored_brierF5Ml,derived_brierF5Ml_away,derived_brierF5Ml_home,brierF5Ml_status,stored_brierF5Total,derived_brierF5Total,brierF5Total_status,f5BacktestRunAt
2250028,2026-03-28,TEX@PHI 2026-03-28,823488,3,0,3,3-0,0.5,4.5,43.4,41.47,51.22,2.57,2.49,0.57,LOSS,LOSS,match,0,0,WIN,WIN,WIN,match-both-conv,0,1,1,1,UNDER,UNDER,match,0,0,0.320356,0.320356,0.171976,match-away-base,0.3249,0.3249,match,1784992359459
2250029,2026-03-28,BOS@CIN 2026-03-28,824540,3,5,8,3-5,-0.5,3.5,39.87,44.5,47.17,2.29,2.48,0.54,WIN,WIN,match,1,1,WIN,WIN,WIN,match-both-conv,0,1,1,1,OVER,OVER,match,1,1,0.158962,0.158962,0.308025,match-away-base,0.2116,0.2116,match,1784992359459
2250030,2026-03-28,PIT@NYM 2026-03-28,823651,0,0,0,0-0,0.5,3.5,41.75,43.1,49.26,2.5,2.56,0.57,PUSH,PUSH,match,,,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,0,0,,,,both-null,0.3249,0.3249,match,1784992359459
2250031,2026-03-28,COL@MIA 2026-03-28,823892,3,3,6,3-3,0.5,4.5,35.13,48.77,41.84,1.96,2.49,0.5,PUSH,PUSH,match,,,LOSS,LOSS,LOSS,match-both-conv,0,0,0,0,OVER,OVER,match,0,0,,,,both-null,0.25,0.25,match,1784992359459
2250032,2026-03-28,LAA@HOU 2026-03-28,824213,6,3,9,6-3,0.5,4.5,41.54,42.47,49.5,2.25,2.28,0.38,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,OVER,OVER,match,0,0,0.341757,0.341757,0.18037,match-away-base,0.3844,0.3844,match,1784992359459
2250033,2026-03-28,CWS@MIL 2026-03-28,823811,1,4,5,1-4,0.5,4.5,35.61,49.73,41.67,2.37,2.99,0.54,WIN,WIN,match,1,1,WIN,WIN,WIN,match-both-conv,0,1,1,1,OVER,OVER,match,1,1,0.126807,0.126807,0.252707,match-away-base,0.2116,0.2116,match,1784992359459
2250034,2026-03-28,KC@ATL 2026-03-28,824945,0,0,0,0-0,0.5,4.5,40.07,44,47.62,2.22,2.37,0.45,PUSH,PUSH,match,,,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,1,1,,,,both-null,0.2025,0.2025,match,1784992359459
2250035,2026-03-28,NYY@SF 2026-03-28,823241,3,1,4,3-1,-0.5,4.5,40.43,42.76,48.54,2.02,2.1,0.38,LOSS,LOSS,match,0,0,LOSS,LOSS,LOSS,match-both-conv,0,0,0,0,UNDER,UNDER,match,1,1,0.354858,0.354858,0.182842,match-away-base,0.1444,0.1444,match,1784992359459
2250036,2026-03-28,DET@SD 2026-03-28,823323,0,3,3,0-3,-0.5,4.5,40.23,43.26,48.08,2.08,2.2,0.4,WIN,WIN,match,1,1,WIN,WIN,WIN,match-both-conv,0,1,1,1,UNDER,UNDER,match,1,1,0.161845,0.161845,0.321943,match-away-base,0.16,0.16,match,1784992359459
2250037,2026-03-28,CLE@SEA 2026-03-28,823161,0,2,2,0-2,0.5,3.5,37.66,44.83,45.66,1.78,2.03,0.41,WIN,WIN,match,1,1,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,UNDER,UNDER,match,1,1,0.141828,0.141828,0.304373,match-away-base,0.1681,0.1681,match,1784992359459
2252307,2026-03-28,ARI@LAD 2026-03-28,823973,2,0,2,2-0,1.5,4.5,35,49.02,41.67,1.97,2.52,0.43,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,1,1,0.4225,0.4225,0.240296,match-away-base,0.1849,0.1849,match,1784992359459
