gameId,matchup,f5AwayRunLine,f5Total,graded_rl,graded_total
2250412,SF@PHI 2026-04-28,0.5,1.5,WIN,UNDER
2250414,WSH@NYM 2026-04-28,1.5,4.5,WIN,OVER
2250421,MIA@LAD 2026-04-28,1.5,4.5,LOSS,UNDER
2250438,STL@PIT 2026-04-30,1.5,3.5,LOSS,OVER
2250442,KC@ATH 2026-04-30,3.5,7.5,LOSS,UNDER
3270003,HOU@BAL 2026-04-30 G2,-5.5,5.5,LOSS,OVER
2250446,MIL@WSH 2026-05-01,-2.5,2.5,WIN,OVER
2250447,BAL@NYY 2026-05-01,4.5,4.5,LOSS,OVER
2250449,SF@TB 2026-05-01,1.5,4.5,LOSS,UNDER
2250475,BAL@NYY 2026-05-03,1.5,4.5,LOSS,OVER
2250535,COL@PHI 2026-05-08,0.5,2.5,LOSS,OVER
2250537,LAA@TOR 2026-05-08,0.5,2.5,WIN,UNDER
2250553,COL@PHI 2026-05-09,3.5,4.5,WIN,OVER
2250557,SEA@CWS 2026-05-09,1.5,5.5,LOSS,OVER
2250558,NYY@MIL 2026-05-09,-0.5,2.5,WIN,UNDER
2250565,COL@PHI 2026-05-10,1.5,4.5,WIN,OVER
2250575,DET@KC 2026-05-10,-2.5,6.5,WIN,UNDER
2250576,LAA@CLE 2026-05-11,0.5,7.5,LOSS,UNDER
2250578,TB@TOR 2026-05-11,-3.5,3.5,WIN,OVER
2250617,CHC@ATL 2026-05-14,0.5,1.5,WIN,UNDER
2250621,BAL@WSH 2026-05-15,-0.5,1.5,LOSS,UNDER
2250623,CIN@CLE 2026-05-15,-1.5,4.5,LOSS,UNDER
2250639,CIN@CLE 2026-05-16,1.5,4.5,LOSS,OVER
2250642,MIL@MIN 2026-05-16,0.5,2.5,WIN,UNDER
2250661,SD@SEA 2026-05-17,-0.5,2.5,LOSS,UNDER
2252971,ARI@COL 2026-05-17,-2.5,5.5,WIN,OVER
2250666,NYM@WSH 2026-05-18,-1.5,4.5,LOSS,OVER
2250725,PIT@TOR 2026-05-23,0.5,1.5,LOSS,UNDER
2250730,MIN@BOS 2026-05-23,-1.5,5.5,WIN,UNDER
2250748,ATH@SD 2026-05-24,-2.5,4.5,LOSS,UNDER
2250749,WSH@ATL 2026-05-24,0.5,1.5,LOSS,UNDER
2253067,COL@ARI 2026-05-24,0.5,7.5,WIN,UNDER
2250758,PHI@SD 2026-05-25,-0.5,1.5,WIN,UNDER
2250759,HOU@TEX 2026-05-25,-0.5,2.5,LOSS,OVER
2250761,COL@LAD 2026-05-25,1.5,4.5,LOSS,UNDER
2250779,STL@MIL 2026-05-27,0.5,1.5,LOSS,UNDER
2250780,SEA@ATH 2026-05-27,-2.5,4.5,LOSS,OVER
2250790,COL@LAD 2026-05-27,1.5,4.5,WIN,UNDER
2250837,PHI@LAD 2026-05-31,1.5,4.5,WIN,OVER
2251323,KC@BAL 2026-07-10,2.5,5.5,LOSS,UNDER
2251342,PHI@DET 2026-07-11,-4.5,3.5,WIN,OVER
2251343,KC@BAL 2026-07-11,1.5,4.5,WIN,UNDER
2251344,HOU@TEX 2026-07-11,-5.5,8.5,WIN,UNDER
2251345,CHC@CIN 2026-07-11,1.5,3.5,WIN,UNDER
2251346,ATL@STL 2026-07-11,3.5,5.5,LOSS,UNDER
2253711,ARI@LAD 2026-07-11,1.5,4.5,LOSS,UNDER
2251362,NYM@PHI 2026-07-16,-0.5,1.5,WIN,UNDER
2251363,LAD@NYY 2026-07-17,0.5,2.5,WIN,UNDER
2251364,CWS@TOR 2026-07-17,0.5,8.5,LOSS,OVER
2251403,LAD@NYY 2026-07-19 G2,1.5,3.5,LOSS,UNDER
2251404,MIN@CLE 2026-07-20,-0.5,10.5,LOSS,OVER
2251405,PIT@NYY 2026-07-20,0.5,11.5,WIN,OVER
2251406,TB@TOR 2026-07-20,-1.5,3.5,LOSS,OVER
2251408,LAD@PHI 2026-07-20,4.5,4.5,WIN,OVER
2251411,NYM@MIL 2026-07-20,2.5,3.5,WIN,OVER
2251423,SD@ATL 2026-07-21,1.5,5.5,LOSS,OVER
