gameId,gamePk,gameDate,month,away,home,series,market,prob,proj_value,proj_exp,line,actual_f5_away,actual_f5_home,actual_value,actual_side,pick,pick_alt,result,correct,correct_alt,brier,brier_abs,logloss,signed_error,signed_error_exp,is_push,graded,has_proj,has_line,has_actual,actual_src,quarantined,line_source_match
2250009,824704,2026-03-26,2026-03,WSH,CHC,wf-19288f01-p2,f5_total,0.523,4.669,4.669,3.5,7.0,3.0,10.0,OVER,OVER,,WIN,1,,0.22752899999999998,,0.6481738149172142,-5.331,-5.331,0,1,1,1,1,games,0,0
2250010,824865,2026-03-26,2026-03,MIN,BAL,live,f5_ml,0.35969999999999996,,,+102,0.0,0.0,TIE,PUSH,HOME,HOME,PUSH,,,,0.12938408999999998,,,,1,1,1,1,1,games,1,
2250010,824865,2026-03-26,2026-03,MIN,BAL,live,f5_rl,0.4292,,,0.5,0.0,0.0,AWAY,AWAY,HOME,,LOSS,0,,0.32581264,,0.8458322682255935,,,0,1,1,1,1,games,1,
2250010,824865,2026-03-26,2026-03,MIN,BAL,live,f5_total,0.42,4.5,4.42,4.5,0.0,0.0,0.0,UNDER,UNDER,,WIN,1,,0.17639999999999997,,0.5447271754416719,4.5,4.42,0,1,1,1,1,games,1,1
2250010,824865,2026-03-26,2026-03,MIN,BAL,wf-19288f01-p1,f5_ml,0.3716,,,+102,0.0,0.0,TIE,PUSH,HOME,HOME,PUSH,,,,0.13808656,,,,1,1,1,1,1,games,0,
2250010,824865,2026-03-26,2026-03,MIN,BAL,wf-19288f01-p1,f5_rl,0.5422,,,0.5,0.0,0.0,AWAY,AWAY,AWAY,,WIN,1,,0.20958084,,0.6121203419175719,,,0,1,1,1,1,games,0,
2250010,824865,2026-03-26,2026-03,MIN,BAL,wf-19288f01-p1,f5_total,0.4026,4.268,4.268,4.5,0.0,0.0,0.0,UNDER,UNDER,,WIN,1,,0.16208676000000002,,0.5151683732001278,4.268,4.268,0,1,1,1,1,games,0,1
2250010,824865,2026-03-26,2026-03,MIN,BAL,wf-19288f01-p2,f5_ml,0.3716,,,+102,0.0,0.0,TIE,PUSH,HOME,HOME,PUSH,,,,0.13808656,,,,1,1,1,1,1,games,0,
2250010,824865,2026-03-26,2026-03,MIN,BAL,wf-19288f01-p2,f5_rl,0.5422,,,0.5,0.0,0.0,AWAY,AWAY,AWAY,,WIN,1,,0.20958084,,0.6121203419175719,,,0,1,1,1,1,games,0,
2250010,824865,2026-03-26,2026-03,MIN,BAL,wf-19288f01-p2,f5_total,0.4026,4.268,4.268,4.5,0.0,0.0,0.0,UNDER,UNDER,,WIN,1,,0.16208676000000002,,0.5151683732001278,4.268,4.268,0,1,1,1,1,games,0,1
2250011,824541,2026-03-26,2026-03,BOS,CIN,live,f5_ml,0.4571,,,-180,0.0,0.0,TIE,PUSH,HOME,AWAY,PUSH,,,,0.20894041,,,,1,1,1,1,1,games,1,
2250011,824541,2026-03-26,2026-03,BOS,CIN,live,f5_rl,0.5475,,,-0.5,0.0,0.0,HOME,HOME,AWAY,,LOSS,0,,0.29975625,,0.7929675158421562,,,0,1,1,1,1,games,1,
