gameId,gameDate,p1_projF5Total,p1_projTotal,ratio_p1,ratio_p2,ratio_p2_minus_p1,outside_engine_bounds
2250139,2026-04-06,5.335,9.99,0.53403,0.53403,0.0,0
2250140,2026-04-06,4.11,7.66,0.53655,0.53655,0.0,0
2250141,2026-04-06,4.932,9.06,0.54437,0.54437,0.0,0
2250142,2026-04-06,4.635,8.68,0.53399,0.53399,0.0,0
2250143,2026-04-06,4.637,8.74,0.53055,0.53055,0.0,0
2250144,2026-04-06,4.026,7.62,0.52835,0.52835,0.0,0
2250145,2026-04-06,7.329,13.46,0.5445,0.5445,0.0,0
2250146,2026-04-06,3.466,6.62,0.52356,0.52356,0.0,0
2250147,2026-04-06,4.457,8.36,0.53313,0.53313,0.0,0
2250148,2026-04-07,3.658,6.98,0.52407,0.52407,0.0,0
2250149,2026-04-07,4.095,7.73,0.52975,0.52975,0.0,0
2250150,2026-04-07,4.456,8.34,0.53429,0.53429,0.0,0
2250151,2026-04-07,3.727,7.11,0.52419,0.52419,0.0,0
2250152,2026-04-07,5.451,10.15,0.53704,0.53704,0.0,0
2250153,2026-04-07,3.808,7.15,0.53259,0.53259,0.0,0
2250154,2026-04-07,4.016,7.55,0.53192,0.53192,0.0,0
2250155,2026-04-07,3.741,7.06,0.52989,0.52989,0.0,0
2250156,2026-04-07,3.951,7.42,0.53248,0.53248,0.0,0
2250157,2026-04-07,3.801,7.22,0.52645,0.52645,0.0,0
2250158,2026-04-07,3.547,6.77,0.52393,0.52393,0.0,0
2250159,2026-04-07,7.058,13.0,0.54292,0.54292,0.0,0
2250160,2026-04-07,4.313,8.08,0.53379,0.53379,0.0,0
2250161,2026-04-07,3.808,7.18,0.53036,0.53036,0.0,0
2250162,2026-04-08,4.377,8.25,0.53055,0.53055,0.0,0
2250163,2026-04-08,4.282,8.12,0.52734,0.52734,0.0,0
2250164,2026-04-08,4.557,8.49,0.53675,0.53675,0.0,0
2250165,2026-04-08,4.09,7.72,0.52979,0.52979,0.0,0
2250166,2026-04-08,3.205,6.14,0.52199,0.52199,0.0,0
2250167,2026-04-08,4.748,8.76,0.54201,0.54201,0.0,0
2250168,2026-04-08,6.231,11.47,0.54324,0.54324,0.0,0
2250169,2026-04-08,4.148,7.82,0.53043,0.53043,0.0,0
2250170,2026-04-08,4.917,9.17,0.53621,0.53621,0.0,0
2250171,2026-04-08,3.944,7.44,0.53011,0.53011,0.0,0
2250172,2026-04-08,4.166,7.86,0.53003,0.53003,0.0,0
2250173,2026-04-08,4.388,8.23,0.53317,0.53317,0.0,0
2250174,2026-04-08,4.655,8.66,0.53753,0.53753,0.0,0
2250175,2026-04-08,4.645,8.62,0.53886,0.53886,0.0,0
2250176,2026-04-09,4.252,7.94,0.53552,0.53552,0.0,0
2250177,2026-04-09,4.372,8.12,0.53842,0.53842,0.0,0
2250178,2026-04-09,5.206,9.65,0.53948,0.53948,0.0,0
