gameId,gameDate,month,awayTeam,homeTeam,mlbGamePk,actualAway,actualHome,fg_actual_source,actualF5Away,actualF5Home,f5_actual_source,book_f5Total,book_f5AwayRunLine,book_f5AwayML,book_bookTotal,live_pushPct,live_pushRaw,live_awayWinPct,live_homeWinPct,live_awayRlCoverPct,p1_pF5AwayMl,p1_projF5Total,p1_pF5Over,p1_pF5AwayRl,p1_projTotal,p1_projAwayScore,p1_projHomeScore,p1_pAwayMl,p1_pOver,p2_pF5AwayMl,p2_projF5Total,p2_pF5Over,p2_pF5AwayRl,p2_projTotal,calib_month,calib_seed,calib_league_env_mult,calib_T_f5,calib_f5_total_sd
2250042,2026-03-29,2026-03,BOS,CIN,824538,2,3,games,2,0,games,4.5,-0.5,-140,8.5,0.1617,0.1691,46.16,37.67,55.16,0.44220,4.508,0.43470,0.60540,8.400,4.160,4.240,0.46230,0.43880,0.44220,4.508,0.43470,0.60540,8.400,2026-03,True,1.0,1.0,2.9
2250043,2026-03-29,2026-03,PIT,NYM,823647,4,3,games,2,2,games,4.5,0.5,+146,7.5,0.1601,0.1663,34.86,49.14,41.49,0.37450,4.423,0.49160,0.54100,8.320,3.690,4.630,0.38450,0.51100,0.37450,4.423,0.49160,0.54100,8.320,2026-03,True,1.0,1.0,2.9
2250044,2026-03-29,2026-03,COL,MIA,823891,3,4,games,3,2,games,4.5,0.5,+138,8.0,0.1589,0.1644,43.61,40.50,51.92,0.48030,4.781,0.46990,0.63650,8.960,4.730,4.230,0.51270,0.52640,0.48030,4.781,0.46990,0.63650,8.960,2026-03,True,1.0,1.0,2.9
2250045,2026-03-29,2026-03,LAA,HOU,824215,7,9,games,6,6,games,4.5,0.5,+138,9.0,0.1471,0.1448,35.20,50.08,41.32,0.35290,5.165,0.45820,0.50240,9.700,4.030,5.670,0.33820,0.50000,0.35290,5.165,0.45820,0.50240,9.700,2026-03,True,1.0,1.0,2.9
2250046,2026-03-29,2026-03,CWS,MIL,823810,7,9,games,7,2,games,4.5,0.5,+130,7.5,0.1482,0.1465,34.86,50.32,40.98,0.39620,4.241,0.46760,0.56660,8.000,3.720,4.280,0.41740,0.48220,0.39620,4.241,0.46760,0.56660,8.000,2026-03,True,1.0,1.0,2.9
2250047,2026-03-29,2026-03,TB,STL,823079,11,7,games,6,4,games,4.5,-0.5,-116,7.5,0.1533,0.1550,48.23,36.44,56.90,0.46210,4.298,0.47490,0.63020,8.100,4.150,3.950,0.48890,0.49160,0.46210,4.298,0.47490,0.63020,8.100,2026-03,True,1.0,1.0,2.9
2250048,2026-03-29,2026-03,WSH,CHC,824700,6,3,games,3,2,games,5.5,1.5,+182,9.0,0.1552,0.1583,33.95,50.52,40.16,0.36960,4.690,0.39910,0.52850,8.790,3.800,4.990,0.36650,0.42760,0.36960,4.690,0.39910,0.52850,8.790,2026-03,True,1.0,1.0,2.9
2250049,2026-03-29,2026-03,CLE,SEA,823160,0,8,games,0,6,games,4.5,0.5,+112,7.5,0.1631,0.1713,40.84,42.85,48.78,0.42720,4.077,0.44500,0.60260,7.700,3.750,3.950,0.45110,0.45430,0.42720,4.077,0.44500,0.60260,7.700,2026-03,True,1.0,1.0,2.9
2250050,2026-03-30,2026-03,MIN,KC,824135,1,3,games,1,2,games,5.5,0.5,+126,10.0,0.1708,0.1842,42.00,40.92,50.74,0.38690,4.475,0.31490,0.55160,8.430,3.770,4.660,0.39440,0.31860,0.38690,4.475,0.31490,0.55160,8.430,2026-03,True,1.0,1.0,2.9
2250051,2026-03-30,2026-03,TEX,BAL,824863,5,2,games,4,2,games,5.5,0.5,+102,9.0,0.1569,0.1610,42.24,42.07,50.00,0.42610,4.909,0.42660,0.57990,9.160,4.400,4.760,0.43940,0.45830,0.42610,4.909,0.42660,0.57990,9.160,2026-03,True,1.0,1.0,2.9
