cohort,series,market,month,n_pop,n_graded,n_decided,n_push,hits,hit_rate,hit_ci_lo,hit_ci_hi,brier,logloss,avg_prob,obs_rate,brier_abs,alt_hit_rate,mae,bias,bias_ci_lo,bias_ci_hi,mae_exp,bias_exp,bias_exp_ci_lo,bias_exp_ci_hi
all,wf-19288f01-p2,f5_rl,MAR+APR,468,382,382,0,188,0.4921,0.4423,0.5421,0.2597,0.7132,0.5795,0.4921,,,,,,,,,,
all,wf-19288f01-p2,f5_rl,ALL,1555,843,843,0,426,0.5053,0.4716,0.539,0.2575,0.7087,0.579,0.5042,,,,,,,,,,
all,wf-19288f01-p2,f5_total,2026-03,76,68,68,0,28,0.4118,0.3026,0.5304,0.2562,0.7056,0.4418,0.5,,,2.64,-0.215,-0.978,0.547,2.64,-0.215,-0.978,0.547
all,wf-19288f01-p2,f5_total,2026-04,392,315,315,0,155,0.4921,0.4373,0.547,0.2567,0.7073,0.4454,0.5302,,,2.455,-0.34,-0.681,0.001,2.455,-0.34,-0.681,0.001
all,wf-19288f01-p2,f5_total,2026-05,419,280,280,0,153,0.5464,0.4879,0.6037,0.2465,0.6861,0.4764,0.4821,,,2.506,0.011,-0.362,0.383,2.506,0.011,-0.362,0.383
all,wf-19288f01-p2,f5_total,2026-06,394,24,24,0,11,0.4583,0.2789,0.6493,0.2652,0.7237,0.4762,0.625,,,2.587,-1.23,-2.499,0.039,2.587,-1.23,-2.499,0.039
all,wf-19288f01-p2,f5_total,2026-07,274,157,157,0,82,0.5223,0.4446,0.599,0.2484,0.6903,0.4491,0.4586,,,2.43,0.186,-0.289,0.662,2.43,0.186,-0.289,0.662
all,wf-19288f01-p2,f5_total,MAR+APR,468,383,383,0,183,0.4778,0.4282,0.5278,0.2566,0.707,0.4448,0.5248,,,2.488,-0.318,-0.629,-0.007,2.488,-0.318,-0.629,-0.007
all,wf-19288f01-p2,f5_total,ALL,1555,844,844,0,429,0.5083,0.4746,0.5419,0.252,0.6974,0.4569,0.5012,,,2.486,-0.141,-0.352,0.07,2.486,-0.141,-0.352,0.07
common-clean,live,f5_ml,2026-03,0,0,0,0,0,,,,,,,,,,,,,,,,,
common-clean,live,f5_ml,2026-04,181,181,155,26,80,0.5161,0.438,0.5935,0.2564,0.7066,0.421,0.4774,0.2447,0.5226,,,,,,,,
common-clean,live,f5_ml,2026-05,385,385,334,51,183,0.5479,0.4943,0.6004,0.2472,0.6877,0.4235,0.4701,0.2371,0.521,,,,,,,,
common-clean,live,f5_ml,2026-06,360,360,299,61,154,0.5151,0.4586,0.5711,0.2532,0.6996,0.4192,0.495,0.2406,0.5351,,,,,,,,
common-clean,live,f5_ml,2026-07,264,264,225,39,112,0.4978,0.433,0.5626,0.2506,0.6943,0.4186,0.48,0.2398,0.5511,,,,,,,,
common-clean,live,f5_ml,MAR+APR,181,181,155,26,80,0.5161,0.438,0.5935,0.2564,0.7066,0.421,0.4774,0.2447,0.5226,,,,,,,,
common-clean,live,f5_ml,ALL,1190,1190,1013,177,529,0.5222,0.4914,0.5528,0.2511,0.6956,0.4207,0.4808,0.2399,0.5321,,,,,,,,
common-clean,live,f5_rl,2026-03,0,0,0,0,0,,,,,,,,,,,,,,,,,
common-clean,live,f5_rl,2026-04,111,111,111,0,54,0.4865,0.3955,0.5784,0.2544,0.7021,0.4951,0.4955,,,,,,,,,,
common-clean,live,f5_rl,2026-05,263,263,263,0,132,0.5019,0.4419,0.5619,0.2499,0.6929,0.4998,0.4905,,,,,,,,,,
common-clean,live,f5_rl,2026-06,23,23,23,0,11,0.4783,0.2924,0.6704,0.2497,0.6924,0.4791,0.6087,,,,,,,,,,
common-clean,live,f5_rl,2026-07,155,155,155,0,76,0.4903,0.4128,0.5683,0.2552,0.7037,0.4952,0.5484,,,,,,,,,,
common-clean,live,f5_rl,MAR+APR,111,111,111,0,54,0.4865,0.3955,0.5784,0.2544,0.7021,0.4951,0.4955,,,,,,,,,,
common-clean,live,f5_rl,ALL,552,552,552,0,273,0.4946,0.453,0.5362,0.2523,0.6978,0.4967,0.5127,,,,,,,,,,
common-clean,live,f5_total,2026-03,0,0,0,0,0,,,,,,,,,,,,,,,,,
common-clean,live,f5_total,2026-04,111,111,111,0,61,0.5495,0.4569,0.6389,0.2464,0.6853,0.4611,0.4865,,,2.212,-0.266,-0.811,0.28,2.24,-0.062,-0.595,0.471
common-clean,live,f5_total,2026-05,263,263,263,0,135,0.5133,0.4531,0.5731,0.2561,0.7059,0.4336,0.4943,,,2.546,-0.397,-0.786,-0.009,2.569,-0.401,-0.794,-0.007
common-clean,live,f5_total,2026-06,23,23,23,0,8,0.3478,0.1881,0.5511,0.2745,0.7429,0.4478,0.6087,,,2.696,-1.522,-2.851,-0.192,2.759,-1.414,-2.747,-0.081
common-clean,live,f5_total,2026-07,155,155,155,0,85,0.5484,0.4698,0.6246,0.2503,0.6944,0.419,0.4581,,,2.429,0.087,-0.396,0.57,2.413,-0.044,-0.527,0.438
common-clean,live,f5_total,MAR+APR,111,111,111,0,61,0.5495,0.4569,0.6389,0.2464,0.6853,0.4611,0.4865,,,2.212,-0.266,-0.811,0.28,2.24,-0.062,-0.595,0.471
common-clean,live,f5_total,ALL,552,552,552,0,289,0.5236,0.4819,0.5649,0.2533,0.7001,0.4356,0.4873,,,2.452,-0.282,-0.543,-0.021,2.467,-0.275,-0.536,-0.013
common-clean,wf-19288f01-p1,f5_ml,2026-03,0,0,0,0,0,,,,,,,,,,,,,,,,,
common-clean,wf-19288f01-p1,f5_ml,2026-04,181,181,155,26,81,0.5226,0.4444,0.5997,0.2455,0.6843,0.4207,0.4774,0.2355,0.6323,,,,,,,,
common-clean,wf-19288f01-p1,f5_ml,2026-05,385,385,334,51,182,0.5449,0.4913,0.5975,0.2496,0.6923,0.4244,0.4701,0.2404,0.515,,,,,,,,
common-clean,wf-19288f01-p1,f5_ml,2026-06,360,360,299,61,157,0.5251,0.4685,0.581,0.2518,0.697,0.4217,0.495,0.2392,0.5284,,,,,,,,
common-clean,wf-19288f01-p1,f5_ml,2026-07,264,264,225,39,121,0.5378,0.4725,0.6017,0.2459,0.6847,0.42,0.48,0.2349,0.5867,,,,,,,,
common-clean,wf-19288f01-p1,f5_ml,MAR+APR,181,181,155,26,81,0.5226,0.4444,0.5997,0.2455,0.6843,0.4207,0.4774,0.2355,0.6323,,,,,,,,
common-clean,wf-19288f01-p1,f5_ml,ALL,1190,1190,1013,177,541,0.5341,0.5033,0.5646,0.2488,0.6908,0.4221,0.4808,0.2381,0.5528,,,,,,,,
common-clean,wf-19288f01-p1,f5_rl,2026-03,0,0,0,0,0,,,,,,,,,,,,,,,,,
common-clean,wf-19288f01-p1,f5_rl,2026-04,111,111,111,0,51,0.4595,0.3697,0.552,0.255,0.7036,0.5786,0.4955,,,,,,,,,,
common-clean,wf-19288f01-p1,f5_rl,2026-05,263,263,263,0,129,0.4905,0.4306,0.5506,0.2613,0.7164,0.5819,0.4905,,,,,,,,,,
common-clean,wf-19288f01-p1,f5_rl,2026-06,23,23,23,0,14,0.6087,0.4079,0.7784,0.2386,0.6704,0.5667,0.6087,,,,,,,,,,
common-clean,wf-19288f01-p1,f5_rl,2026-07,155,155,155,0,85,0.5484,0.4698,0.6246,0.2477,0.6886,0.5736,0.5484,,,,,,,,,,
common-clean,wf-19288f01-p1,f5_rl,MAR+APR,111,111,111,0,51,0.4595,0.3697,0.552,0.255,0.7036,0.5786,0.4955,,,,,,,,,,
common-clean,wf-19288f01-p1,f5_rl,ALL,552,552,552,0,279,0.5054,0.4638,0.547,0.2552,0.7041,0.5783,0.5127,,,,,,,,,,
common-clean,wf-19288f01-p1,f5_total,2026-03,0,0,0,0,0,,,,,,,,,,,,,,,,,
common-clean,wf-19288f01-p1,f5_total,2026-04,111,111,111,0,55,0.4955,0.4042,0.5871,0.2507,0.6941,0.4473,0.4865,,,2.262,-0.184,-0.725,0.356,2.262,-0.184,-0.725,0.356
common-clean,wf-19288f01-p1,f5_total,2026-05,263,263,263,0,139,0.5285,0.4682,0.588,0.2498,0.6929,0.4484,0.4943,,,2.519,-0.291,-0.678,0.096,2.519,-0.291,-0.678,0.096
common-clean,wf-19288f01-p1,f5_total,2026-06,23,23,23,0,9,0.3913,0.2216,0.5921,0.2684,0.7302,0.4658,0.6087,,,2.683,-1.335,-2.658,-0.012,2.683,-1.335,-2.658,-0.012
common-clean,wf-19288f01-p1,f5_total,2026-07,155,155,155,0,80,0.5161,0.438,0.5935,0.2479,0.6891,0.4345,0.4581,,,2.409,0.079,-0.4,0.558,2.409,0.079,-0.4,0.558
common-clean,wf-19288f01-p1,f5_total,MAR+APR,111,111,111,0,55,0.4955,0.4042,0.5871,0.2507,0.6941,0.4473,0.4865,,,2.262,-0.184,-0.725,0.356,2.262,-0.184,-0.725,0.356
common-clean,wf-19288f01-p1,f5_total,ALL,552,552,552,0,283,0.5127,0.471,0.5541,0.2502,0.6936,0.445,0.4873,,,2.443,-0.209,-0.468,0.05,2.443,-0.209,-0.468,0.05
common-clean,wf-19288f01-p2,f5_ml,2026-03,0,0,0,0,0,,,,,,,,,,,,,,,,,
common-clean,wf-19288f01-p2,f5_ml,2026-04,181,181,155,26,81,0.5226,0.4444,0.5997,0.2455,0.6843,0.4207,0.4774,0.2355,0.6323,,,,,,,,
common-clean,wf-19288f01-p2,f5_ml,2026-05,385,385,334,51,182,0.5449,0.4913,0.5975,0.2479,0.6889,0.4485,0.4701,0.2416,0.5299,,,,,,,,
common-clean,wf-19288f01-p2,f5_ml,2026-06,360,360,299,61,157,0.5251,0.4685,0.581,0.2492,0.6915,0.4497,0.495,0.2411,0.5385,,,,,,,,
common-clean,wf-19288f01-p2,f5_ml,2026-07,264,264,225,39,121,0.5378,0.4725,0.6017,0.2455,0.684,0.4513,0.48,0.2387,0.5067,,,,,,,,
common-clean,wf-19288f01-p2,f5_ml,MAR+APR,181,181,155,26,81,0.5226,0.4444,0.5997,0.2455,0.6843,0.4207,0.4774,0.2355,0.6323,,,,,,,,
common-clean,wf-19288f01-p2,f5_ml,ALL,1190,1190,1013,177,541,0.5341,0.5033,0.5646,0.2474,0.6879,0.4452,0.4808,0.2399,0.5429,,,,,,,,
common-clean,wf-19288f01-p2,f5_rl,2026-03,0,0,0,0,0,,,,,,,,,,,,,,,,,
common-clean,wf-19288f01-p2,f5_rl,2026-04,111,111,111,0,51,0.4595,0.3697,0.552,0.255,0.7036,0.5786,0.4955,,,,,,,,,,
common-clean,wf-19288f01-p2,f5_rl,2026-05,263,263,263,0,129,0.4905,0.4306,0.5506,0.2613,0.7164,0.5819,0.4905,,,,,,,,,,
common-clean,wf-19288f01-p2,f5_rl,2026-06,23,23,23,0,14,0.6087,0.4079,0.7784,0.2386,0.6704,0.5667,0.6087,,,,,,,,,,
common-clean,wf-19288f01-p2,f5_rl,2026-07,155,155,155,0,85,0.5484,0.4698,0.6246,0.2477,0.6886,0.5736,0.5484,,,,,,,,,,
common-clean,wf-19288f01-p2,f5_rl,MAR+APR,111,111,111,0,51,0.4595,0.3697,0.552,0.255,0.7036,0.5786,0.4955,,,,,,,,,,
common-clean,wf-19288f01-p2,f5_rl,ALL,552,552,552,0,279,0.5054,0.4638,0.547,0.2552,0.7041,0.5783,0.5127,,,,,,,,,,
common-clean,wf-19288f01-p2,f5_total,2026-03,0,0,0,0,0,,,,,,,,,,,,,,,,,
common-clean,wf-19288f01-p2,f5_total,2026-04,111,111,111,0,55,0.4955,0.4042,0.5871,0.2507,0.6941,0.4473,0.4865,,,2.262,-0.184,-0.725,0.356,2.262,-0.184,-0.725,0.356
common-clean,wf-19288f01-p2,f5_total,2026-05,263,263,263,0,142,0.5399,0.4795,0.5992,0.2479,0.6889,0.4761,0.4943,,,2.53,-0.076,-0.463,0.311,2.53,-0.076,-0.463,0.311
common-clean,wf-19288f01-p2,f5_total,2026-06,23,23,23,0,10,0.4348,0.2563,0.6319,0.2659,0.7252,0.4751,0.6087,,,2.677,-1.262,-2.586,0.061,2.677,-1.262,-2.586,0.061
common-clean,wf-19288f01-p2,f5_total,2026-07,155,155,155,0,81,0.5226,0.4444,0.5997,0.2475,0.6884,0.4498,0.4581,,,2.433,0.203,-0.276,0.683,2.433,0.203,-0.276,0.683
common-clean,wf-19288f01-p2,f5_total,MAR+APR,111,111,111,0,55,0.4955,0.4042,0.5871,0.2507,0.6941,0.4473,0.4865,,,2.262,-0.184,-0.725,0.356,2.262,-0.184,-0.725,0.356
common-clean,wf-19288f01-p2,f5_total,ALL,552,552,552,0,288,0.5217,0.4801,0.5631,0.2491,0.6913,0.4629,0.4873,,,2.455,-0.069,-0.328,0.19,2.455,-0.069,-0.328,0.19
