gameId,month,book_line,p_stored_plus05,p_correct_for_book_event,y_book_event
2250252,2026-04,2.5,0.5787,,1.0
2250253,2026-04,0.5,0.4586,0.4586,0.0
2250254,2026-04,0.5,0.5986,0.5986,1.0
2250255,2026-04,-0.5,0.5762,0.4115511335281624,1.0
2250256,2026-04,0.5,0.6171,0.6171,0.0
2250257,2026-04,0.5,0.6411,0.6411,1.0
2250258,2026-04,0.5,0.4993,0.4993,1.0
2250259,2026-04,0.5,0.5344,0.5344,0.0
2250260,2026-04,0.5,0.581,0.581,1.0
2250261,2026-04,0.5,0.6155,0.6155,1.0
2250262,2026-04,-0.5,0.579,0.3686631445966282,0.0
2250263,2026-04,1.5,0.4894,,1.0
2250264,2026-04,0.5,0.675,0.675,1.0
2250265,2026-04,-0.5,0.6493,0.4651776073808842,0.0
2250266,2026-04,-0.5,0.6371,0.518174953071479,0.0
2250267,2026-04,0.5,0.5072,0.5072,0.0
2250268,2026-04,0.5,0.6005,0.6005,1.0
2250269,2026-04,-0.5,0.5233,0.35967703411103236,0.0
2250270,2026-04,0.5,0.4908,0.4908,0.0
2250271,2026-04,0.5,0.5367,0.5367,1.0
2250272,2026-04,-0.5,0.721,0.5877268551660099,1.0
2250273,2026-04,-0.5,0.6121,0.4756366153688626,1.0
2250274,2026-04,0.5,0.6296,0.6296,0.0
2250275,2026-04,0.5,0.6077,0.6077,0.0
2250276,2026-04,0.5,0.6012,0.6012,1.0
2250277,2026-04,0.5,0.5829,0.5829,1.0
2250278,2026-04,0.5,0.5294,0.5294,1.0
2250279,2026-04,0.5,0.5361,0.5361,1.0
2250280,2026-04,-1.5,0.5669,,1.0
2250281,2026-04,0.5,0.4231,0.4231,0.0
2250282,2026-04,0.5,0.606,0.606,1.0
2250283,2026-04,0.5,0.5432,0.5432,1.0
2250298,2026-04,0.5,0.6029,0.6029,1.0
2250299,2026-04,-0.5,0.6206,0.4696431756579411,0.0
2250300,2026-04,-0.5,0.6294,0.4517857578468411,0.0
2250301,2026-04,0.5,0.57,0.57,0.0
2250302,2026-04,0.5,0.5953,0.5953,0.0
2250303,2026-04,-0.5,0.6663,0.5036170751145638,0.0
2250304,2026-04,0.5,0.5993,0.5993,1.0
2250305,2026-04,0.5,0.5092,0.5092,0.0
2250306,2026-04,0.5,0.627,0.627,1.0
2250307,2026-04,-0.5,0.5803,0.47659580976016,0.0
2250308,2026-04,0.5,0.475,0.475,1.0
2250309,2026-04,-0.5,0.6317,0.4590224979868812,1.0
2250310,2026-04,0.5,0.5908,0.5908,0.0
2250311,2026-04,0.5,0.6198,0.6198,1.0
2250312,2026-04,0.5,0.5983,0.5983,1.0
2250313,2026-04,0.5,0.5881,0.5881,1.0
2250314,2026-04,-0.5,0.6245,0.4595667829101538,1.0
2250315,2026-04,0.5,0.6456,0.6456,0.0
2250316,2026-04,2.5,0.6752,,1.0
2250317,2026-04,-0.5,0.5134,0.34889388119677345,0.0
2250318,2026-04,-0.5,0.559,0.39069128622775506,0.0
2250319,2026-04,-1.5,0.6675,,1.0
2250320,2026-04,-0.5,0.5842,0.402131056376505,0.0
2250321,2026-04,0.5,0.5789,0.5789,0.0
2250336,2026-04,0.5,0.5549,0.5549,0.0
2250337,2026-04,0.5,0.6194,0.6194,1.0
2250338,2026-04,0.5,0.5893,0.5893,0.0
2250339,2026-04,0.5,0.4262,0.4262,0.0
2250340,2026-04,0.5,0.4693,0.4693,0.0
2250341,2026-04,0.5,0.5746,0.5746,1.0
2250342,2026-04,0.5,0.6248,0.6248,0.0
2250343,2026-04,-0.5,0.5696,0.45680706904122276,1.0
2250344,2026-04,-0.5,0.6243,0.43627890088903865,1.0
2250345,2026-04,0.5,0.5451,0.5451,0.0
