package,version,channel,md5_actual,md5_index_primary,md5_index_mirror2,sha256_primary,sha256_mirror2,verdict
data.table,1.18.4,current,8802d3e9516d5b38dd4aa1a473e2ac6e,8802d3e9516d5b38dd4aa1a473e2ac6e,8802d3e9516d5b38dd4aa1a473e2ac6e,d65256f0050a6443770d5982b5098a2a8c894f9675ed17053416c7815cbddeb9,d65256f0050a6443770d5982b5098a2a8c894f9675ed17053416c7815cbddeb9,PASS
digest,0.6.39,current,2b7268922b0f86dbc8064ff8e3a1ca1b,2b7268922b0f86dbc8064ff8e3a1ca1b,2b7268922b0f86dbc8064ff8e3a1ca1b,8bf048b49b2d17077138fae758bda56bbd53278d9437f2fdeaedf979c90a13c9,8bf048b49b2d17077138fae758bda56bbd53278d9437f2fdeaedf979c90a13c9,PASS
dplyr,1.2.1,current,1c6ba2499c7a08d081bdb530423ab22c,1c6ba2499c7a08d081bdb530423ab22c,1c6ba2499c7a08d081bdb530423ab22c,18d66fe2f24cda8b619c177326d39dd015229ab99695fa67d3fa31e4569390e0,18d66fe2f24cda8b619c177326d39dd015229ab99695fa67d3fa31e4569390e0,PASS
evaluate,1.0.5,current,64d96fee3845fd96d1eafaba37adf00e,64d96fee3845fd96d1eafaba37adf00e,64d96fee3845fd96d1eafaba37adf00e,47aac79f889a828a5f8b4756cb972d7c2966bb984cbae17a4bd2389a73270794,47aac79f889a828a5f8b4756cb972d7c2966bb984cbae17a4bd2389a73270794,PASS
farver,2.1.2,current,1fa98878bb985e28d968630c7e7597b6,1fa98878bb985e28d968630c7e7597b6,1fa98878bb985e28d968630c7e7597b6,528823b95daab4566137711f1c842027a952bea1b2ae6ff098e2ca512b17fe25,528823b95daab4566137711f1c842027a952bea1b2ae6ff098e2ca512b17fe25,PASS
fastmap,1.2.0,current,f53773acd6ba9a86413e8c2dc6441544,f53773acd6ba9a86413e8c2dc6441544,f53773acd6ba9a86413e8c2dc6441544,b1da04a2915d1d057f3c2525e295ef15016a64e6667eac83a14641bbd83b9246,b1da04a2915d1d057f3c2525e295ef15016a64e6667eac83a14641bbd83b9246,PASS
fastrmodels,2.1.0,current,b166a1adef43ca8a70c1503f8bb94c26,b166a1adef43ca8a70c1503f8bb94c26,b166a1adef43ca8a70c1503f8bb94c26,512e87003bc3cdb07efd956ff5181089962b32948a24766017119e4c48ba2761,512e87003bc3cdb07efd956ff5181089962b32948a24766017119e4c48ba2761,PASS
fontawesome,0.5.3,current,95b072a27418b962792410dfb21c3d2b,95b072a27418b962792410dfb21c3d2b,95b072a27418b962792410dfb21c3d2b,1b1909d0fad5ec4c658f5c628a195b9bd93d544afa957e68e897224cfb81fb4f,1b1909d0fad5ec4c658f5c628a195b9bd93d544afa957e68e897224cfb81fb4f,PASS
fs,2.1.0,current,6011a5e758c21acc297ed8bbcf97e7d9,6011a5e758c21acc297ed8bbcf97e7d9,6011a5e758c21acc297ed8bbcf97e7d9,7088af1117d65c4ceb144b532e323f197fc8243b1d704bf6edf40774789829cd,7088af1117d65c4ceb144b532e323f197fc8243b1d704bf6edf40774789829cd,PASS
furrr,0.4.0,current,a18b1988e46dd7fd96c94272699d1a70,a18b1988e46dd7fd96c94272699d1a70,a18b1988e46dd7fd96c94272699d1a70,82f8d18078fdde968bdf8ea978a91b936a8bc5d0b3f41ce0f6e2c6bc0efce714,82f8d18078fdde968bdf8ea978a91b936a8bc5d0b3f41ce0f6e2c6bc0efce714,PASS
future,1.75.0,current,ab6672f254e977c420487eb8c72ad5b5,ab6672f254e977c420487eb8c72ad5b5,ab6672f254e977c420487eb8c72ad5b5,9cc444d36e0d0a7935ac76a027f807a44d505eed7eacccde0dd79a82c7f36ca1,9cc444d36e0d0a7935ac76a027f807a44d505eed7eacccde0dd79a82c7f36ca1,PASS
generics,0.1.4,current,dda54b65216fe3c53571d2adaddc7461,dda54b65216fe3c53571d2adaddc7461,dda54b65216fe3c53571d2adaddc7461,bbe95a097792d38fc3b7e677738af1b95b66ea5e5017e33b8beac6a6088d0801,bbe95a097792d38fc3b7e677738af1b95b66ea5e5017e33b8beac6a6088d0801,PASS
ggpath,1.1.1,current,312a776d98df81586ce86cec9d3edc84,312a776d98df81586ce86cec9d3edc84,312a776d98df81586ce86cec9d3edc84,aa2f544f196bd518d9191a7c4f9b4c388e5ab16ce5a9cdf63546de6194bce969,aa2f544f196bd518d9191a7c4f9b4c388e5ab16ce5a9cdf63546de6194bce969,PASS
ggplot2,4.0.3,current,c50d6864f6226ed9759e5deaa0a25e7f,c50d6864f6226ed9759e5deaa0a25e7f,c50d6864f6226ed9759e5deaa0a25e7f,690224bd61642b6222adb109470988e87f786e193cca77a15c0923cf9da73fa5,690224bd61642b6222adb109470988e87f786e193cca77a15c0923cf9da73fa5,PASS
globals,0.19.1,current,3e96c6372abae8ed950705203c1bcd85,3e96c6372abae8ed950705203c1bcd85,3e96c6372abae8ed950705203c1bcd85,b58d7ea423eb8772aa1be615d97722a6babf836360e01e533d176e108c216979,b58d7ea423eb8772aa1be615d97722a6babf836360e01e533d176e108c216979,PASS
glue,1.8.1,current,24e3cd382f52015c929538a5208d11aa,24e3cd382f52015c929538a5208d11aa,24e3cd382f52015c929538a5208d11aa,1c55905d3efc3d5c199ceb0bd12218e97f0d4c64df6038ff41ecef415478a122,1c55905d3efc3d5c199ceb0bd12218e97f0d4c64df6038ff41ecef415478a122,PASS
gsubfn,0.7,current,7c3ac3d87b367aaf06a8add353fb162a,7c3ac3d87b367aaf06a8add353fb162a,7c3ac3d87b367aaf06a8add353fb162a,89351df9e65722d2862f26a0a3985666de3c86e8400808ced8a6eb6e165a4602,89351df9e65722d2862f26a0a3985666de3c86e8400808ced8a6eb6e165a4602,PASS
gt,1.3.0,current,81c2eb281461bb8423faaca8dbd1b640,81c2eb281461bb8423faaca8dbd1b640,81c2eb281461bb8423faaca8dbd1b640,10e730a7ffd1fd41147ecd7ec8abcd1c8037103ca9fe26d3bb8b1090d4323f5c,10e730a7ffd1fd41147ecd7ec8abcd1c8037103ca9fe26d3bb8b1090d4323f5c,PASS
gtable,0.3.6,current,545f07ada570ec8e3f4b22843974ac6d,545f07ada570ec8e3f4b22843974ac6d,545f07ada570ec8e3f4b22843974ac6d,d305a5fa11278b649d2d8edc5288bf28009be888a42be58ff8714018e49de0ef,d305a5fa11278b649d2d8edc5288bf28009be888a42be58ff8714018e49de0ef,PASS
highr,0.12,current,006fcfa8e16c72ecd1adffdf0cf87e43,006fcfa8e16c72ecd1adffdf0cf87e43,006fcfa8e16c72ecd1adffdf0cf87e43,e8e1d6460022a9948799602d6b95dc78fbfa318ff6f0627e95c20b7190fc612b,e8e1d6460022a9948799602d6b95dc78fbfa318ff6f0627e95c20b7190fc612b,PASS
hms,1.1.4,current,f63240ba5139ec2a20bd1ac56bae8243,f63240ba5139ec2a20bd1ac56bae8243,f63240ba5139ec2a20bd1ac56bae8243,efc525f797b62b3740d06c6fa8202593ab5aa4fc1edeefb76b6eb9be89e87b94,efc525f797b62b3740d06c6fa8202593ab5aa4fc1edeefb76b6eb9be89e87b94,PASS
htmltools,0.5.9,current,f4a0cac920fb54b5c5ea94e175e20067,f4a0cac920fb54b5c5ea94e175e20067,f4a0cac920fb54b5c5ea94e175e20067,19308618da485818f69dcfeeadd2ddc81d43a736a74519df7b3fd98e13128afd,19308618da485818f69dcfeeadd2ddc81d43a736a74519df7b3fd98e13128afd,PASS
htmlwidgets,1.6.4,current,e1ea7f9774ad7a79fcf31e52c2074fd1,e1ea7f9774ad7a79fcf31e52c2074fd1,e1ea7f9774ad7a79fcf31e52c2074fd1,7cb08f0b30485dac26f72e4056ec4ed8825d1398e8b9f25ed63db228fe3a0ed0,7cb08f0b30485dac26f72e4056ec4ed8825d1398e8b9f25ed63db228fe3a0ed0,PASS
isoband,0.3.0,current,0b811a225740b6e4ae0afcdd64f11407,0b811a225740b6e4ae0afcdd64f11407,0b811a225740b6e4ae0afcdd64f11407,fe8d3d58ca75bbee32f389152ac0058818f3f76f09c9867949531de7abc424ac,fe8d3d58ca75bbee32f389152ac0058818f3f76f09c9867949531de7abc424ac,PASS
janitor,2.2.1,current,602dd5f791aa6a7d92bf029e1035d185,602dd5f791aa6a7d92bf029e1035d185,602dd5f791aa6a7d92bf029e1035d185,27c401302a62cafe8e68e66a51073834bc7930872282e0feb151d13629ae6cdf,27c401302a62cafe8e68e66a51073834bc7930872282e0feb151d13629ae6cdf,PASS
jquerylib,0.1.4,current,3607a34ac45ff420bc325d84eab4b0cb,3607a34ac45ff420bc325d84eab4b0cb,3607a34ac45ff420bc325d84eab4b0cb,f0bcc11dcde3a6ff180277e45c24642d3da3c8690900e38f44495efbc9064411,f0bcc11dcde3a6ff180277e45c24642d3da3c8690900e38f44495efbc9064411,PASS
jsonlite,2.0.0,current,3e54e6fbc0c9063936e3d01e91419c14,3e54e6fbc0c9063936e3d01e91419c14,3e54e6fbc0c9063936e3d01e91419c14,75eb910c82b350ec33f094779da0f87bff154c232e4ae39c9896a9b89f3ac82d,75eb910c82b350ec33f094779da0f87bff154c232e4ae39c9896a9b89f3ac82d,PASS
juicyjuice,0.1.0,current,bf3db84d36b3734e9c323eb0e9b0b4a3,bf3db84d36b3734e9c323eb0e9b0b4a3,bf3db84d36b3734e9c323eb0e9b0b4a3,64f5418b2a4794b47f0525baaf101beb4f1374ea22f38d7d604f5118bdb6e12a,64f5418b2a4794b47f0525baaf101beb4f1374ea22f38d7d604f5118bdb6e12a,PASS
knitr,1.51,current,79f32f24b572fe198baca8882d6aa87f,79f32f24b572fe198baca8882d6aa87f,79f32f24b572fe198baca8882d6aa87f,bcfa3081677ff5c3881c7cef35f3305bbf6714b01320c81a523772663741ca11,bcfa3081677ff5c3881c7cef35f3305bbf6714b01320c81a523772663741ca11,PASS
labeling,0.4.3,current,915e6c823c1d8243641ce97253389f14,915e6c823c1d8243641ce97253389f14,915e6c823c1d8243641ce97253389f14,c62f4fc2cc74377d7055903c5f1913b7295f7587456fe468592738a483e264f2,c62f4fc2cc74377d7055903c5f1913b7295f7587456fe468592738a483e264f2,PASS
lifecycle,1.0.5,current,bce35a7a89fe4108f262db3e441cccae,bce35a7a89fe4108f262db3e441cccae,bce35a7a89fe4108f262db3e441cccae,61841e3e6edba056a88355a3f1d6698ab8d5d9cb3c05f2af0ec5a44ab516f8ee,61841e3e6edba056a88355a3f1d6698ab8d5d9cb3c05f2af0ec5a44ab516f8ee,PASS
listenv,1.0.0,current,3ba721b1dc3b5fcb83a2b4c0af0c0804,3ba721b1dc3b5fcb83a2b4c0af0c0804,3ba721b1dc3b5fcb83a2b4c0af0c0804,b12c71b839638b324857e134e31e7de4fc7595e00af5e7c634a78374bd1cd2aa,b12c71b839638b324857e134e31e7de4fc7595e00af5e7c634a78374bd1cd2aa,PASS
litedown,0.10,current,96d248854e0275893e575842a9b31d79,96d248854e0275893e575842a9b31d79,96d248854e0275893e575842a9b31d79,67bf33b205989ece20c02ee0082d042067a2c47a820f9e4e164e9b2edc4f4fba,67bf33b205989ece20c02ee0082d042067a2c47a820f9e4e164e9b2edc4f4fba,PASS
lubridate,1.9.5,current,09977b7de6710ca05886412c6aa3a5a3,09977b7de6710ca05886412c6aa3a5a3,09977b7de6710ca05886412c6aa3a5a3,0bc5d10e5a34285d4f9e9c572c058c386b9e1515d8faebc1496b2680138280a8,0bc5d10e5a34285d4f9e9c572c058c386b9e1515d8faebc1496b2680138280a8,PASS
magick,2.9.1,current,012ecba2c6bffc0d79f56658b3cb808c,012ecba2c6bffc0d79f56658b3cb808c,012ecba2c6bffc0d79f56658b3cb808c,26ac6072279def657f7fef2875b23cff330dc1ab22a410f10daea56ed425219d,26ac6072279def657f7fef2875b23cff330dc1ab22a410f10daea56ed425219d,PASS
magrittr,2.0.5,current,4ee23a88bc1589527696d777d7e68dfc,4ee23a88bc1589527696d777d7e68dfc,4ee23a88bc1589527696d777d7e68dfc,3f5b5b1d4e6d12807a95c50b6c88cb1d8af2c5eb5213f08bfe58f278eca2ed23,3f5b5b1d4e6d12807a95c50b6c88cb1d8af2c5eb5213f08bfe58f278eca2ed23,PASS
markdown,2.0,current,c282c06e61ae9df4fe66d484792fe2b7,c282c06e61ae9df4fe66d484792fe2b7,c282c06e61ae9df4fe66d484792fe2b7,a560de75fb6878901e38febfef3ea8d21cb63af63de0e583019867d189bf9541,a560de75fb6878901e38febfef3ea8d21cb63af63de0e583019867d189bf9541,PASS
memoise,2.0.1,current,89da4ce771967d851db47132b762ce6f,89da4ce771967d851db47132b762ce6f,89da4ce771967d851db47132b762ce6f,f85034ee98c8ca07fb3cd826142c1cd1e1e5747075a94c75a45783bbc4fe2deb,f85034ee98c8ca07fb3cd826142c1cd1e1e5747075a94c75a45783bbc4fe2deb,PASS
mime,0.13,current,45c3868fb2f5a7f3817d54d1c75799f9,45c3868fb2f5a7f3817d54d1c75799f9,45c3868fb2f5a7f3817d54d1c75799f9,7132834cf3c3388eff12bad376d69fbcf8275acc37d36c290e59174fe3c7f3eb,7132834cf3c3388eff12bad376d69fbcf8275acc37d36c290e59174fe3c7f3eb,PASS
nfl4th,1.0.7,current,41aa46c545a11ea164bd49ce611811e8,41aa46c545a11ea164bd49ce611811e8,41aa46c545a11ea164bd49ce611811e8,d12968cdb4b4a23284c11ad7e15f31037c37f0a1856a0cddc9960288bb532cdb,d12968cdb4b4a23284c11ad7e15f31037c37f0a1856a0cddc9960288bb532cdb,PASS
nflfastR,5.2.0,current,320988c9401dd7d4d8d43f4f27b71562,320988c9401dd7d4d8d43f4f27b71562,320988c9401dd7d4d8d43f4f27b71562,4d276a1a626d40f4360d915442ae172035f81d8d23e9876b21f6ed3e479c6042,4d276a1a626d40f4360d915442ae172035f81d8d23e9876b21f6ed3e479c6042,PASS
nflplotR,1.6.0,current,617e2de21b58baedf8aa115bf5bd7c0a,617e2de21b58baedf8aa115bf5bd7c0a,617e2de21b58baedf8aa115bf5bd7c0a,c1854f9984a4ff8ee1ef28e6fc2f6c4dcb3c9d4e2555a6f4f012281e4bf121a4,c1854f9984a4ff8ee1ef28e6fc2f6c4dcb3c9d4e2555a6f4f012281e4bf121a4,PASS
nflreadr,1.5.1,current,5aac9861d6cfbdb05a7983d216b3ed20,5aac9861d6cfbdb05a7983d216b3ed20,5aac9861d6cfbdb05a7983d216b3ed20,4641e81bb8812f1251f4222a3fb4fb586261260e15539bed33cc483a164e723d,4641e81bb8812f1251f4222a3fb4fb586261260e15539bed33cc483a164e723d,PASS
nflseedR,2.0.2,current,96980c9cf1e2149a54f10e25aeb35964,96980c9cf1e2149a54f10e25aeb35964,96980c9cf1e2149a54f10e25aeb35964,cc11d6f5fcc65b3f88c1b936d82719fb328cfa128fe4fcf7b65626ce2160b6e9,cc11d6f5fcc65b3f88c1b936d82719fb328cfa128fe4fcf7b65626ce2160b6e9,PASS
nflverse,1.0.3,current,889602c5d8ca1ef2425a204357837fe6,889602c5d8ca1ef2425a204357837fe6,889602c5d8ca1ef2425a204357837fe6,79bc327978649a2a8852012e6c368c6164ddcd8050ffb154596fa005d09b55dd,79bc327978649a2a8852012e6c368c6164ddcd8050ffb154596fa005d09b55dd,PASS
parallelly,1.48.0,current,09d3363a41dbd28101ad838d9c0d2825,09d3363a41dbd28101ad838d9c0d2825,09d3363a41dbd28101ad838d9c0d2825,58fe71ccee8e4dc95591958c5428c5000350937024373b99b258a76da0927636,58fe71ccee8e4dc95591958c5428c5000350937024373b99b258a76da0927636,PASS
pillar,1.11.1,current,eb84af558b1ac0d743a4790e99acad6e,eb84af558b1ac0d743a4790e99acad6e,eb84af558b1ac0d743a4790e99acad6e,056ce154238c9b5b8d5dcbcb52e1bc51d33870ce08c8a9ca9496478bd59f4653,056ce154238c9b5b8d5dcbcb52e1bc51d33870ce08c8a9ca9496478bd59f4653,PASS
pkgconfig,2.0.3,current,7b9ca1d45d941238381cb55d13ff4d68,7b9ca1d45d941238381cb55d13ff4d68,7b9ca1d45d941238381cb55d13ff4d68,330fef440ffeb842a7dcfffc8303743f1feae83e8d6131078b5a44ff11bc3850,330fef440ffeb842a7dcfffc8303743f1feae83e8d6131078b5a44ff11bc3850,PASS
progressr,1.0.0,current,c3672e20ef7ae91d8c14eedbf6e0a5a3,c3672e20ef7ae91d8c14eedbf6e0a5a3,c3672e20ef7ae91d8c14eedbf6e0a5a3,00907ab12441583e59e910690a335c6a0e9bea9d1c0280a84fbe3459323f02a7,00907ab12441583e59e910690a335c6a0e9bea9d1c0280a84fbe3459323f02a7,PASS
proto,1.0.0,current,ba74c21febd5282d73e97ccaf5ebbb84,ba74c21febd5282d73e97ccaf5ebbb84,ba74c21febd5282d73e97ccaf5ebbb84,9294d9a3b2b680bb6fac17000bfc97453d77c87ef68cfd609b4c4eb6d11d04d1,9294d9a3b2b680bb6fac17000bfc97453d77c87ef68cfd609b4c4eb6d11d04d1,PASS
purrr,1.2.2,current,1b554060b57fdfe3ba6544c557b0f8d8,1b554060b57fdfe3ba6544c557b0f8d8,1b554060b57fdfe3ba6544c557b0f8d8,ac3bc0fc0e789510042522e6c4294336c71447be8f6921b5ef78b9a9fb86617d,ac3bc0fc0e789510042522e6c4294336c71447be8f6921b5ef78b9a9fb86617d,PASS
R6,2.6.1,current,f01b1787f12797c29194d63c9afd5d70,f01b1787f12797c29194d63c9afd5d70,f01b1787f12797c29194d63c9afd5d70,59c6eba8b1b912eb7e104f65053235604be853425ee67c152ac4e86a1f2073b4,59c6eba8b1b912eb7e104f65053235604be853425ee67c152ac4e86a1f2073b4,PASS
rappdirs,0.3.4,current,a990a3ddcfa9eb422cd406f78084fbd8,a990a3ddcfa9eb422cd406f78084fbd8,a990a3ddcfa9eb422cd406f78084fbd8,2320ebc9ef3b1a32a1e63f94a6ce2c1c34d66782221a6531e786804f681abc66,2320ebc9ef3b1a32a1e63f94a6ce2c1c34d66782221a6531e786804f681abc66,PASS
RColorBrewer,1.1-3,current,9b687595bbe02a7e43fc195ba33f065c,9b687595bbe02a7e43fc195ba33f065c,9b687595bbe02a7e43fc195ba33f065c,4f42f5423c45688b39f492c7892d93f37b4541831c8ffb140364d2bd89031ac0,4f42f5423c45688b39f492c7892d93f37b4541831c8ffb140364d2bd89031ac0,PASS
Rcpp,1.1.2,current,353d35176db9c570705a0a324c06fdca,353d35176db9c570705a0a324c06fdca,353d35176db9c570705a0a324c06fdca,2746cf2fb188e5f0a84dbf5c8f68915b54564ed33e5754572f174e7b32e7f4f3,2746cf2fb188e5f0a84dbf5c8f68915b54564ed33e5754572f174e7b32e7f4f3,PASS
reactable,0.4.5,current,5cd4cc9b65f88e5c7cfe3a611c6ad553,5cd4cc9b65f88e5c7cfe3a611c6ad553,5cd4cc9b65f88e5c7cfe3a611c6ad553,6bdd74fb37561de32500f7e855003ced9533f4e61f4026752c204f430c10cd36,6bdd74fb37561de32500f7e855003ced9533f4e61f4026752c204f430c10cd36,PASS
reactR,0.6.1,current,cdec5a3166bc410e898710b295b26a5e,cdec5a3166bc410e898710b295b26a5e,cdec5a3166bc410e898710b295b26a5e,9b690d7d4de54cbecca16deea9684f1d4aba91b2b280b38ea13c63eb5e57d892,9b690d7d4de54cbecca16deea9684f1d4aba91b2b280b38ea13c63eb5e57d892,PASS
rlang,1.3.0,current,b52c165e43f4d7fe5cfa15c5c9467ff4,b52c165e43f4d7fe5cfa15c5c9467ff4,b52c165e43f4d7fe5cfa15c5c9467ff4,80aa537d49e72265f443a15e8936128af583caa5e572086518b503cbf064279c,80aa537d49e72265f443a15e8936128af583caa5e572086518b503cbf064279c,PASS
rmarkdown,2.31,current,8f7a4eef6b62e7f2284550c3134f28c8,8f7a4eef6b62e7f2284550c3134f28c8,8f7a4eef6b62e7f2284550c3134f28c8,0c5baed4a447292f15507794d2dde6b18bae1fa6c45ea6ada8bcd99ca211fcbc,0c5baed4a447292f15507794d2dde6b18bae1fa6c45ea6ada8bcd99ca211fcbc,PASS
rstudioapi,0.19.0,current,4cbb808adec83c594391db9be1f7ebf4,4cbb808adec83c594391db9be1f7ebf4,4cbb808adec83c594391db9be1f7ebf4,f1e3bb445a90aadc07b043493022d120493eba7ff30c0b3055442d8b77d8069a,f1e3bb445a90aadc07b043493022d120493eba7ff30c0b3055442d8b77d8069a,PASS
S7,0.2.2,current,6a40d3eae470be0f06a03737b9391269,6a40d3eae470be0f06a03737b9391269,6a40d3eae470be0f06a03737b9391269,6f33245dde05b74265b1c4d379e034bc3a8923d41e7b52e6e75a75ce97d42af7,6f33245dde05b74265b1c4d379e034bc3a8923d41e7b52e6e75a75ce97d42af7,PASS
sass,0.4.10,current,16054a7117a81ba75893fec17da62209,16054a7117a81ba75893fec17da62209,16054a7117a81ba75893fec17da62209,4adb4c243f74d811276529e346deaa064bce28dbfbb837208fc85f2c47b79b30,4adb4c243f74d811276529e346deaa064bce28dbfbb837208fc85f2c47b79b30,PASS
scales,1.4.0,current,6dd61123ecc2be3e3777aa77c172261d,6dd61123ecc2be3e3777aa77c172261d,6dd61123ecc2be3e3777aa77c172261d,d55ef5f08c92652d7a95cfa27584024723ab17873f1b2577dd488cb7c883ceee,d55ef5f08c92652d7a95cfa27584024723ab17873f1b2577dd488cb7c883ceee,PASS
snakecase,0.11.1,current,3e5cbad0056783cff60d05eb75881f62,3e5cbad0056783cff60d05eb75881f62,3e5cbad0056783cff60d05eb75881f62,2a5f9791337ca42e392f23fb873eb44f74810583e9aa7c62fda2f28f9e750821,2a5f9791337ca42e392f23fb873eb44f74810583e9aa7c62fda2f28f9e750821,PASS
stringi,1.8.7,current,e8d621e4b35873cd406271d3fe8c3281,e8d621e4b35873cd406271d3fe8c3281,e8d621e4b35873cd406271d3fe8c3281,0526decdcd41b7c42278aca96945394c2cb66ba6fdd47fd917b5d3d38ed5c8c6,0526decdcd41b7c42278aca96945394c2cb66ba6fdd47fd917b5d3d38ed5c8c6,PASS
stringr,1.6.0,current,e6d638f79f82b1c39fc88e7295ba1c9d,e6d638f79f82b1c39fc88e7295ba1c9d,e6d638f79f82b1c39fc88e7295ba1c9d,24f2fc5df980a7eb888659e22b9744d2316c558624015c7a7cd8c3ce3e370064,24f2fc5df980a7eb888659e22b9744d2316c558624015c7a7cd8c3ce3e370064,PASS
tibble,3.3.1,current,97ff25ebdd1460ec152d48e9bb54fa43,97ff25ebdd1460ec152d48e9bb54fa43,97ff25ebdd1460ec152d48e9bb54fa43,fb309f8a1939021b237c7e85ff7ad6e8ff5acd57a6230d220a452094b492b28f,fb309f8a1939021b237c7e85ff7ad6e8ff5acd57a6230d220a452094b492b28f,PASS
tidyr,1.3.2,current,f8e976221d4ed9092c734cf86abcdba9,f8e976221d4ed9092c734cf86abcdba9,f8e976221d4ed9092c734cf86abcdba9,04c0e6daf0af682af73763a42c027d7171761cdbdbf9ff7a77a0e421343d665a,04c0e6daf0af682af73763a42c027d7171761cdbdbf9ff7a77a0e421343d665a,PASS
tidyselect,1.2.1,current,49c581292e819a2a39aac321f27ab0a8,49c581292e819a2a39aac321f27ab0a8,49c581292e819a2a39aac321f27ab0a8,169e97ba0bbfbcdf4a80534322751f87a04370310c40e27f04aac6525d45903c,169e97ba0bbfbcdf4a80534322751f87a04370310c40e27f04aac6525d45903c,PASS
timechange,0.4.0,current,4cabacecbed68e3beb00e47d42fc9fca,4cabacecbed68e3beb00e47d42fc9fca,4cabacecbed68e3beb00e47d42fc9fca,6dc8ff9d339d3c4cff7ddf3800383f3e94f41c021f6c7bacccf971e187f73feb,6dc8ff9d339d3c4cff7ddf3800383f3e94f41c021f6c7bacccf971e187f73feb,PASS
tinytex,0.60,current,c680dc21cfd948a22a4f72427967e3e0,c680dc21cfd948a22a4f72427967e3e0,c680dc21cfd948a22a4f72427967e3e0,a48f0e88a6cf0cd196e950dba8743df8916918a67c472923257c82bcb8a471e8,a48f0e88a6cf0cd196e950dba8743df8916918a67c472923257c82bcb8a471e8,PASS
utf8,1.2.6,current,12037c186ddded4d9b289762b69fc435,12037c186ddded4d9b289762b69fc435,12037c186ddded4d9b289762b69fc435,4589f8b72291329e70b7f3a8c20f2feb4e7764eebad2e6976bc9a3eee7686ce9,4589f8b72291329e70b7f3a8c20f2feb4e7764eebad2e6976bc9a3eee7686ce9,PASS
